symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,rsi14,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,explosive_verdict,is_new_signal_3d
NFLX,Communication Services,Netflix,2026-09-03,82.67,11.51,1.41,-14.85,-4.2,0.667,27276695,41371887,40415686,-43.59,4.85,-6.57,P+V-,P+V+,P-V-,➡️ 中性,2,15,18,9.1,1.45,-1.4,False,True,75.29,5.64,1.134,False,126.71,126.71,-34.76,3.54,12.19,9.0,11.0,29173633.0,25724654.0,0.818,24006400.0,25145300.0,26912566.0,0.892,90.85,63.65,擴散,頭頭高·底底低,多頭確認,19,12,14,15.2,16,剛爆發,,False
T,Communication Services,AT&T,2026-09-03,26.19,10.09,12.7,-4.25,3.57,0.667,31578745,60769132,50188715,-59.21,53.43,12.74,P+V-,P+V+,P-V+,➡️ 中性,3,6,14,6.1,10.49,3.42,False,True,23.41,4.92,0.93,False,28.75,29.79,-8.9,2.99,10.46,15.0,5.0,30997026.0,33323900.0,3.0,32839800.0,29745430.0,30057766.0,1.093,100.0,69.23,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,10,1,5,5.4,3,剛爆發,,False
NWSA,Communication Services,News Corp (Class A),2026-09-03,30.95,8.52,18.81,29.66,21.66,1.0,3573300,4725030,4588338,-2.95,6.14,15.7,P+V-,P+V+,P+V+,⚠️ 頂部背離,5,1,2,3.2,51.24,5.46,False,True,28.35,6.07,0.794,False,31.66,31.66,-2.24,-0.77,4.31,14.0,6.0,3314721.0,4176650.0,2.333,3809600.0,3831700.0,3568706.0,1.068,100.0,66.12,多頭,頭頭高·底底高,空轉多預警,2,1,6,2.4,1,,,False
CMG,Consumer Discretionary,Chipotle Mexican Grill,2026-09-03,37.57,14.58,30.72,2.4,12.52,1.0,15024985,18915170,17748953,-24.37,14.07,-12.78,P+V-,P+V+,P+V-,⚠️ 量能背離,1,5,19,5.8,3.96,1.4,False,True,34.78,9.35,1.233,False,42.94,42.94,-12.51,0.94,11.45,9.0,10.0,16572688.0,13440730.0,0.9,8867400.0,13320040.0,14336086.0,0.619,92.32,58.89,多頭,頭頭高·底底高,,6,6,24,9.6,7,,,False
BBY,Consumer Discretionary,Best Buy,2026-09-03,87.49,6.7,23.59,46.13,30.64,1.0,4049980,3851150,4235403,14.67,-16.64,4.59,P+V+,P+V-,P+V+,➡️ 中性,3,6,1,3.5,6.53,4.32,False,True,83.75,14.33,0.863,False,91.27,91.27,-4.14,4.7,9.34,13.0,7.0,3836092.0,4447200.0,1.857,3363700.0,5168050.0,4466120.0,0.753,100.0,55.86,空頭,頭頭低·底底低,多轉空預警,1,1,19,4.6,2,,,False
F,Consumer Discretionary,Ford Motor Company,2026-09-03,14.41,4.19,-7.28,10.15,4.3,0.667,40211535,49777463,55199381,-27.97,-17.89,-26.5,P+V-,P-V-,P+V-,⚠️ 量能背離,4,34,15,15.2,21.27,256.64,False,True,14.01,5.84,1.087,False,17.59,17.78,-18.08,3.3,5.63,11.0,9.0,41716045.0,38372688.0,1.222,40628400.0,43043410.0,41955066.0,0.968,92.05,56.12,收斂,頭頭低·底底高,,17,7,8,11.2,11,剛爆發,,False
EL,Consumer Staples,Estée Lauder Companies (The),2026-09-03,100.86,14.55,23.34,1.4,10.17,1.0,3877915,3222010,3867341,85.89,-28.6,5.81,P+V+,P+V-,P+V+,➡️ 中性,1,5,14,4.8,22.12,40.2,False,True,87.78,12.1,1.629,False,120.38,121.64,-16.22,-4.71,18.38,9.0,11.0,4923633.0,3022327.0,0.818,2127400.0,3687760.0,4261893.0,0.499,99.92,63.09,多頭,頭頭高·底底高,,5,4,24,8.4,5,,,False
BG,Consumer Staples,Bunge Global,2026-09-03,120.12,11.53,-8.02,0.82,1.29,0.667,1353110,1538789,1656141,-1.39,-13.23,-2.41,P+V-,P-V-,P+V-,⚠️ 量能背離,2,33,16,14.1,2.89,109.39,False,True,112.97,14.99,0.952,False,134.02,134.87,-10.37,7.66,10.9,12.0,8.0,1326558.0,1392937.0,1.5,1621500.0,1744630.0,1457746.0,1.112,98.77,60.13,收斂,頭頭低·底底高,空轉多預警 / 多頭確認,18,5,5,10.2,9,剛爆發,,False
ADM,Consumer Staples,Archer Daniels Midland,2026-09-03,84.38,10.87,0.96,22.79,14.35,1.0,3583375,3642695,3828213,-5.69,-9.24,8.64,P+V-,P+V-,P+V+,⚠️ 頂部背離,3,22,2,8.5,28.02,7.8,False,True,80.42,12.59,0.95,False,87.9,88.46,-4.01,6.68,9.55,11.0,9.0,3500881.0,3684200.0,1.222,2604000.0,3608710.0,3468933.0,0.751,93.37,60.22,收斂,頭頭低·底底高,多轉空預警 / 多頭確認,3,8,18,8.0,4,,,False
MPC,Energy,Marathon Petroleum,2026-09-03,387.71,30.37,45.49,86.0,61.96,1.0,2574185,2372669,2479716,22.27,-8.28,17.85,P+V+,P+V-,P+V+,➡️ 中性,1,1,1,1.0,27.08,120.63,False,True,318.64,13.73,1.098,False,398.52,398.52,-2.71,6.65,29.92,15.0,5.0,2633060.0,2397560.0,3.0,2135500.0,2417160.0,2448753.0,0.872,100.0,77.86,多頭,頭頭高·底底高,多頭確認,1,1,9,2.6,2,,,False
