symbol,name,sector,as_of_date,t_price,prev_price,daily_drop_pct,ma50,ma200,ma50_up,ma200_up,rsi_14,vol_today,vol_20d_avg,vol_ratio_vs_20d
CTVA,Corteva,Materials,2026-07-31,78.71,89.34,-11.9,81.97,74.99,True,True,34.6,11529500,3444265,3.35
LYV,Live Nation Entertainment,Communication Services,2026-07-31,174.13,183.56,-5.14,174.48,156.1,True,True,35.2,5029400,1880120,2.68
