supply_chain,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,node_count,resonance_pct,z_point,z_capital,cpd,cpd_quadrant
Environmental Infrastructure,2026-08-28,2,145.77,50.0,1,2,-275.5,-137.75,2,100.0,2.5,-0.36,-2.86,⚠️ Price Leading
Passive Components,2026-08-28,3,139.61,100.0,3,3,-78084.8,-26028.27,3,100.0,2.35,-2.27,-4.62,⚠️ Price Leading
CCL / High-Speed Materials,2026-08-28,6,114.07,100.0,6,6,14481.3,2413.55,5,100.0,1.7,-0.0,-1.7,⚠️ Price Leading
Display & Optical,2026-08-28,4,84.66,100.0,4,4,2210.2,552.55,2,100.0,0.95,-0.3,-1.25,⚠️ Price Leading
PCB / HDI / IC Substrate,2026-08-28,10,57.75,90.0,9,10,55254.1,5525.41,7,100.0,0.26,1.0,0.74,🚀 Confirmed
Thermal / Liquid Cooling,2026-08-28,5,53.59,100.0,5,5,53345.0,10669.0,3,100.0,0.16,0.95,0.8,🚀 Confirmed
Advanced Packaging,2026-08-28,9,47.4,88.9,8,9,53659.7,5962.19,3,100.0,-0.0,0.96,0.96,💰 Capital Leading
AI / HPC Semiconductor,2026-08-28,9,44.06,100.0,9,9,41990.8,4665.64,8,100.0,-0.09,0.68,0.76,💰 Capital Leading
Biotech / Innovative Drug / CDMO,2026-08-28,2,39.08,50.0,1,2,2901.3,1450.65,2,50.0,-0.21,-0.28,-0.07,❄️ Weak
Optical Communication / AI Networking,2026-08-28,6,36.52,83.3,5,6,-2925.1,-487.52,5,100.0,-0.28,-0.43,-0.15,❄️ Weak
AI Server / ODM,2026-08-28,22,35.76,86.4,19,22,33731.9,1533.27,15,93.3,-0.3,0.47,0.77,💰 Capital Leading
Memory / HBM,2026-08-28,7,35.51,100.0,7,7,129044.6,18434.94,6,100.0,-0.3,2.81,3.12,💰 Capital Leading
Cloud / Data Center / Cybersecurity,2026-08-28,5,34.79,60.0,3,5,-4220.8,-844.16,3,100.0,-0.32,-0.46,-0.14,❄️ Weak
Semiconductor Equipment & Materials,2026-08-28,14,31.41,64.3,9,14,-17496.9,-1249.78,10,100.0,-0.41,-0.78,-0.38,❄️ Weak
Robotics / Automation,2026-08-28,6,26.62,83.3,5,6,9711.5,1618.58,3,100.0,-0.53,-0.12,0.41,❄️ Weak
Data Center Power / PSU,2026-08-28,5,25.88,100.0,5,5,9111.4,1822.28,5,80.0,-0.55,-0.13,0.42,❄️ Weak
EV / Auto Electronics,2026-08-28,4,24.19,75.0,3,4,-36143.7,-9035.92,3,100.0,-0.59,-1.24,-0.65,❄️ Weak
Solar / Wind Renewable,2026-08-28,1,22.9,100.0,1,1,102.9,102.9,1,,-0.62,-0.35,0.27,❄️ Weak
Shipping / Logistics,2026-08-28,5,17.12,60.0,3,5,52091.5,10418.3,2,100.0,-0.77,0.92,1.69,💰 Capital Leading
Steel,2026-08-28,2,11.33,100.0,2,2,5407.7,2703.85,2,50.0,-0.92,-0.22,0.7,❄️ Weak
Energy Storage / Battery,2026-08-28,3,8.38,100.0,3,3,-13700.4,-4566.8,3,100.0,-0.99,-0.69,0.3,❄️ Weak
Smart Grid / Transformer,2026-08-28,6,7.27,100.0,6,6,8431.7,1405.28,3,66.7,-1.02,-0.15,0.87,❄️ Weak
