symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,mom_12m_1m,weekly_vol_ann,spmo_score,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,rsi14,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,explosive_verdict,is_new_signal_3d
NWSA,Communication Services,News Corp (Class A),2026-09-04,30.39,6.67,13.23,28.17,19.06,1.0,3546800,4731704,4586499,-6.68,6.54,15.25,P+V-,P+V+,P+V+,⚠️ 頂部背離,-2.39,26.78,-0.089,4,5,2,3.9,51.24,5.46,False,True,28.46,4.67,0.811,False,31.66,31.66,-4.01,-1.87,6.56,14.0,6.0,3314721.0,4088316.0,2.333,4012900.0,3904470.0,3692206.0,1.087,100.0,58.02,多頭,頭頭高·底底高,空轉多預警,1,1,7,2.2,2,,,False
T,Communication Services,AT&T,2026-09-04,25.68,6.78,14.29,-8.28,1.13,0.667,31141695,60372735,50087754,-59.39,51.68,12.41,P+V-,P+V+,P-V+,➡️ 中性,-15.81,29.37,-0.538,3,3,15,5.4,10.49,3.42,False,True,23.48,4.76,0.956,False,28.75,29.79,-10.68,-1.27,7.94,14.0,6.0,30719171.0,32127583.0,2.333,26146000.0,29323700.0,29993546.0,0.872,100.0,60.18,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,12,1,14,8.0,3,剛爆發,,False
VZ,Communication Services,Verizon,2026-09-04,50.14,6.61,13.65,1.75,5.94,1.0,16678965,26375804,25455546,-37.96,7.5,-9.09,P+V-,P+V+,P+V-,⚠️ 量能背離,13.28,25.65,0.518,5,4,10,5.7,2.71,5.81,False,True,46.28,3.61,1.061,False,50.93,51.68,-1.55,0.08,6.54,11.0,9.0,17125200.0,16133566.0,1.222,13418500.0,18541920.0,17312140.0,0.775,90.87,63.02,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,5,7,18,8.4,5,,,False
BBY,Consumer Discretionary,Best Buy,2026-09-04,90.27,9.51,28.85,40.81,30.0,1.0,4058780,3822763,4200300,14.67,-16.49,2.88,P+V+,P+V-,P+V+,➡️ 中性,13.66,37.38,0.365,2,6,1,3.0,6.53,4.32,False,True,84.02,16.54,0.866,False,91.27,91.27,-1.1,9.5,10.09,13.0,7.0,3849630.0,4447200.0,1.857,3954700.0,5306090.0,4535053.0,0.872,100.0,60.35,空頭,頭頭低·底底低,多轉空預警 / 多頭確認,1,1,11,3.0,1,,,False
GPC,Consumer Discretionary,Genuine Parts Company,2026-09-04,138.08,3.43,42.62,21.94,22.48,1.0,1095975,1629367,1751018,-32.34,-12.99,41.74,P+V-,P+V-,P+V+,⚠️ 頂部背離,-0.02,30.93,-0.001,6,1,5,4.3,3.47,1.26,False,True,128.31,4.34,0.869,False,147.43,151.57,-6.34,1.2,2.6,11.0,9.0,1026354.0,1181066.0,1.222,737200.0,1027230.0,1080753.0,0.682,85.58,62.8,多頭,頭頭高·底底高,,4,11,22,10.4,8,吃老本,,False
CMG,Consumer Discretionary,Chipotle Mexican Grill,2026-09-04,36.96,15.0,31.16,0.08,11.58,1.0,14590765,18667772,17709031,-27.56,11.45,-13.11,P+V-,P+V+,P+V-,⚠️ 量能背離,-20.14,46.0,-0.438,1,5,20,6.0,3.96,1.4,False,True,34.87,6.82,1.318,False,42.82,42.82,-13.69,-2.81,12.72,9.0,10.0,16572688.0,12572290.0,0.9,9779500.0,12256430.0,14007953.0,0.698,93.07,55.4,多頭,頭頭高·底底高,,7,4,21,8.6,5,,,False
TGT,Consumer Staples,Target Corporation,2026-09-04,164.44,9.0,33.79,38.47,29.93,1.0,4878760,4404918,5076263,40.09,-23.36,-30.59,P+V+,P+V-,P+V-,➡️ 中性,65.91,32.37,2.036,3,1,1,2.0,75.83,17.31,False,True,146.36,6.43,1.018,False,170.75,170.75,-3.7,0.77,10.69,13.0,7.0,4909215.0,4822200.0,1.857,2865600.0,4260950.0,5085333.0,0.564,100.0,63.61,多頭,頭頭高·底底高,,1,1,24,5.6,2,,,False
EL,Consumer Staples,Estée Lauder Companies (The),2026-09-04,103.86,19.52,25.71,5.98,14.3,1.0,4007660,3202349,3863247,89.14,-29.22,5.43,P+V+,P+V-,P+V+,➡️ 中性,0.12,53.78,0.002,1,4,11,3.9,22.12,40.2,False,True,88.23,8.99,1.724,False,120.38,121.64,-13.73,0.8,17.95,9.0,11.0,5211955.0,3022327.0,0.818,4712900.0,3556960.0,4452973.0,1.058,100.0,67.33,多頭,頭頭高·底底高,,4,1,9,3.8,1,,,False
SJM,Consumer Staples,J.M. Smucker Company (The),2026-09-04,126.08,7.78,25.85,14.53,15.67,1.0,1328220,1519840,1705616,-6.19,-19.64,-12.4,P+V-,P+V-,P+V-,⚠️ 量能衰竭,10.16,27.86,0.365,5,3,3,4.0,46.18,5.01,False,True,118.75,9.36,1.142,False,135.89,135.89,-7.22,-4.73,5.91,13.0,7.0,1388815.0,1215685.0,1.857,1111100.0,1595750.0,1430860.0,0.777,99.5,54.57,多頭,頭頭高·底底高,,2,5,16,6.0,3,,,False
MPC,Energy,Marathon Petroleum,2026-09-04,388.9,21.74,46.03,84.67,59.27,1.0,2552905,2365606,2465123,20.21,-7.76,16.29,P+V+,P+V-,P+V+,➡️ 中性,67.71,36.03,1.879,1,1,1,1.0,27.08,120.63,False,True,321.36,13.63,1.068,False,398.52,398.52,-2.41,5.44,30.77,16.0,4.0,2585662.0,2421875.0,4.0,1874700.0,2381310.0,2427860.0,0.772,100.0,78.24,多頭,頭頭高·底底高,多頭確認,1,1,15,3.8,2,,,False
