supply_chain,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,node_count,resonance_pct,z_point,z_capital,cpd,cpd_quadrant
Environmental Infrastructure,2026-08-26,2,183.21,100.0,2,2,-206.7,-103.35,2,100.0,3.12,-0.32,-3.44,⚠️ Price Leading
Passive Components,2026-08-26,3,123.92,100.0,3,3,-68106.3,-22702.1,3,100.0,1.71,-1.97,-3.69,⚠️ Price Leading
CCL / High-Speed Materials,2026-08-26,6,123.21,100.0,6,6,-360.3,-60.05,5,100.0,1.7,-0.33,-2.02,⚠️ Price Leading
Display & Optical,2026-08-26,4,76.11,100.0,4,4,-12010.2,-3002.55,2,100.0,0.58,-0.61,-1.19,⚠️ Price Leading
PCB / HDI / IC Substrate,2026-08-26,10,64.52,90.0,9,10,40043.2,4004.32,7,100.0,0.31,0.66,0.35,🚀 Confirmed
Advanced Packaging,2026-08-26,9,53.93,100.0,9,9,83473.8,9274.87,3,100.0,0.06,1.72,1.66,🚀 Confirmed
Thermal / Liquid Cooling,2026-08-26,5,50.31,100.0,5,5,46453.6,9290.72,3,100.0,-0.03,0.81,0.84,💰 Capital Leading
Biotech / Innovative Drug / CDMO,2026-08-26,2,48.9,100.0,2,2,3137.9,1568.95,2,50.0,-0.06,-0.24,-0.18,❄️ Weak
Memory / HBM,2026-08-26,7,46.65,100.0,7,7,112110.7,16015.81,6,100.0,-0.12,2.41,2.53,💰 Capital Leading
AI / HPC Semiconductor,2026-08-26,9,45.69,100.0,9,9,48925.0,5436.11,8,100.0,-0.14,0.87,1.01,💰 Capital Leading
Cloud / Data Center / Cybersecurity,2026-08-26,5,39.07,100.0,5,5,-12074.9,-2414.98,3,100.0,-0.3,-0.61,-0.32,❄️ Weak
AI Server / ODM,2026-08-26,22,38.71,100.0,22,22,46689.2,2122.24,15,93.3,-0.3,0.82,1.12,💰 Capital Leading
Optical Communication / AI Networking,2026-08-26,6,37.92,100.0,6,6,-5445.6,-907.6,5,100.0,-0.32,-0.45,-0.13,❄️ Weak
Semiconductor Equipment & Materials,2026-08-26,14,35.17,100.0,14,14,-16561.0,-1182.93,10,100.0,-0.39,-0.72,-0.33,❄️ Weak
Robotics / Automation,2026-08-26,6,32.61,100.0,6,6,10746.6,1791.1,3,100.0,-0.45,-0.06,0.39,❄️ Weak
Data Center Power / PSU,2026-08-26,5,30.66,100.0,5,5,156.7,31.34,5,80.0,-0.5,-0.31,0.18,❄️ Weak
Solar / Wind Renewable,2026-08-26,1,26.82,100.0,1,1,305.0,305.0,1,,-0.59,-0.31,0.28,❄️ Weak
EV / Auto Electronics,2026-08-26,4,22.18,75.0,3,4,-42605.5,-10651.38,3,100.0,-0.7,-1.35,-0.66,❄️ Weak
Shipping / Logistics,2026-08-26,5,21.25,80.0,4,5,59935.1,11987.02,2,100.0,-0.72,1.14,1.86,💰 Capital Leading
Steel,2026-08-26,2,14.04,100.0,2,2,6404.0,3202.0,2,50.0,-0.89,-0.16,0.73,❄️ Weak
Smart Grid / Transformer,2026-08-26,6,10.63,100.0,6,6,6542.2,1090.37,3,100.0,-0.97,-0.16,0.81,❄️ Weak
Energy Storage / Battery,2026-08-26,3,8.77,100.0,3,3,-21093.0,-7031.0,3,66.7,-1.01,-0.83,0.18,❄️ Weak
