sector,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,z_point,z_capital,cpd,cpd_quadrant
綠能環保,2026-08-21,2,239.62,50.0,1,2,-12.6,-6.3,4.46,-0.43,-4.89,⚠️ Price Leading
電子零組件業,2026-08-21,15,77.74,73.3,11,15,22144.5,1476.3,1.02,0.57,-0.45,🚀 Confirmed
半導體業,2026-08-21,2,70.7,100.0,2,2,17755.0,8877.5,0.87,0.37,-0.5,🚀 Confirmed
塑膠工業,2026-08-21,3,55.14,33.3,1,3,-15728.4,-5242.8,0.54,-1.14,-1.68,⚠️ Price Leading
化學生技醫療,2026-08-21,2,48.78,100.0,2,2,2779.4,1389.7,0.4,-0.31,-0.71,⚠️ Price Leading
油電燃氣業,2026-08-21,1,40.4,0.0,0,1,-1240.5,-1240.5,0.23,-0.49,-0.71,⚠️ Price Leading
電子工業,2026-08-21,53,34.75,50.9,27,53,4401.6,83.05,0.11,-0.23,-0.34,⚠️ Price Leading
電腦及週邊設備業,2026-08-21,14,30.97,71.4,10,14,90580.7,6470.05,0.02,3.67,3.64,🚀 Confirmed
航運業,2026-08-21,5,27.23,80.0,4,5,63955.1,12791.02,-0.05,2.46,2.52,💰 Capital Leading
生技醫療業,2026-08-21,2,25.28,100.0,2,2,1914.6,957.3,-0.1,-0.35,-0.25,❄️ Weak
金融保險,2026-08-21,19,23.29,57.9,11,19,37701.8,1984.31,-0.14,1.27,1.41,💰 Capital Leading
電子通路業,2026-08-21,3,22.92,33.3,1,3,-5310.4,-1770.13,-0.15,-0.67,-0.53,❄️ Weak
建材營造,2026-08-21,1,20.33,100.0,1,1,2187.1,2187.1,-0.2,-0.33,-0.13,❄️ Weak
電機機械,2026-08-21,9,15.95,66.7,6,9,4181.3,464.59,-0.29,-0.24,0.05,❄️ Weak
鋼鐵工業,2026-08-21,2,13.98,100.0,2,2,7503.5,3751.75,-0.34,-0.09,0.24,❄️ Weak
其他電子業,2026-08-21,2,13.09,50.0,1,2,-5763.9,-2881.95,-0.35,-0.69,-0.34,❄️ Weak
其他,2026-08-21,2,12.89,100.0,2,2,3122.3,1561.15,-0.36,-0.29,0.07,❄️ Weak
汽車工業,2026-08-21,1,7.06,100.0,1,1,860.4,860.4,-0.48,-0.39,0.09,❄️ Weak
食品工業,2026-08-21,2,6.81,100.0,2,2,13005.8,6502.9,-0.49,0.16,0.64,💰 Capital Leading
電器電纜,2026-08-21,1,6.68,100.0,1,1,4634.1,4634.1,-0.49,-0.22,0.27,❄️ Weak
橡膠工業,2026-08-21,1,5.89,100.0,1,1,-36.8,-36.8,-0.51,-0.43,0.07,❄️ Weak
水泥工業,2026-08-21,2,4.33,100.0,2,2,2323.2,1161.6,-0.54,-0.33,0.21,❄️ Weak
貿易百貨,2026-08-21,1,3.62,0.0,0,1,2378.9,2378.9,-0.56,-0.32,0.23,❄️ Weak
玻璃陶瓷,2026-08-21,1,2.4,100.0,1,1,545.0,545.0,-0.58,-0.41,0.17,❄️ Weak
居家生活,2026-08-21,1,0.45,0.0,0,1,199.6,199.6,-0.62,-0.42,0.2,❄️ Weak
紡織纖維,2026-08-21,2,0.29,50.0,1,2,4252.3,2126.15,-0.63,-0.24,0.39,❄️ Weak
運動休閒,2026-08-21,1,-6.12,100.0,1,1,-253.2,-253.2,-0.76,-0.44,0.32,❄️ Weak
