symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,mom_12m_1m,weekly_vol_ann,spmo_score,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,rsi14,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,explosive_verdict,is_new_signal_3d
T,Communication Services,AT&T,2026-09-10,25.55,3.95,14.01,-8.65,0.17,0.667,31885085,59450824,50015546,-56.02,46.5,11.52,P+V-,P+V+,P-V+,➡️ 中性,-13.04,26.55,-0.491,3,1,16,5.0,10.49,3.42,False,True,23.72,6.37,0.827,False,28.75,29.79,-11.13,-1.54,5.36,13.0,7.0,29710200.0,35924157.0,1.857,34185700.0,33718500.0,31616213.0,1.081,94.93,56.85,多頭,頭頭高·底底高,空轉多預警,13,3,8,8.0,7,剛爆發,,False
VZ,Communication Services,Verizon,2026-09-10,49.97,3.63,11.01,0.91,4.12,1.0,17488425,26097315,25264389,-31.85,6.82,-10.67,P+V-,P+V+,P+V-,⚠️ 量能背離,15.4,27.21,0.566,4,2,11,4.8,2.71,5.81,False,True,46.67,4.21,0.997,False,50.93,51.68,-1.88,-0.5,6.36,12.0,8.0,17464558.0,17524225.0,1.5,18475800.0,18094890.0,18008693.0,1.026,93.56,59.3,多頭,頭頭高·底底高,空轉多預警,5,4,11,5.8,2,,,False
NWSA,Communication Services,News Corp (Class A),2026-09-10,29.38,1.86,8.38,20.24,12.68,1.0,3596535,4731386,4600761,-7.8,5.84,15.03,P+V-,P+V+,P+V+,⚠️ 頂部背離,0.07,27.35,0.003,5,4,1,3.9,51.24,5.46,False,True,28.63,8.18,0.82,False,31.55,31.66,-6.89,-3.82,2.82,12.0,8.0,3305908.0,4032475.0,1.5,3371100.0,4224960.0,3734266.0,0.903,87.01,47.35,多頭,頭頭高·底底高,空轉多預警,1,7,20,7.2,4,吃老本,,False
GPC,Consumer Discretionary,Genuine Parts Company,2026-09-10,134.16,-0.11,36.01,18.31,18.13,0.667,1034380,1608796,1744797,-33.06,-14.46,41.13,P-V-,P+V-,P+V+,➡️ 中性,-1.21,36.21,-0.033,7,1,4,4.6,3.47,1.26,False,True,129.41,4.33,0.915,False,147.43,151.57,-9.0,-1.42,0.89,11.0,9.0,992981.0,1084977.0,1.222,944200.0,949080.0,1077960.0,0.876,84.32,52.8,多頭,頭頭高·底底高,,2,6,13,5.8,1,,,False
ABNB,Consumer Discretionary,Airbnb,2026-09-10,167.65,-9.44,27.64,25.84,17.47,0.667,4729370,4422824,4042740,-4.29,20.75,-17.51,P-V-,P+V+,P+V-,➡️ 中性,45.93,37.79,1.215,29,3,2,15.8,9.48,-14.13,False,True,164.48,14.24,0.973,False,193.45,193.45,-13.34,-8.52,-6.91,9.0,11.0,4657711.0,4788000.0,0.818,3954400.0,4921080.0,4834953.0,0.818,71.74,41.0,擴散,頭頭高·底底低,,3,17,17,11.4,9,吃老本,,False
CMG,Consumer Discretionary,Chipotle Mexican Grill,2026-09-10,36.13,10.79,20.92,2.15,9.0,1.0,13612615,17797616,17645233,-30.83,1.74,-13.22,P+V-,P+V+,P+V-,⚠️ 量能背離,-15.68,49.3,-0.318,1,4,17,5.1,3.96,1.4,False,True,35.05,8.66,1.37,False,42.82,42.82,-15.62,-6.2,10.69,9.0,9.0,15720733.0,11475777.0,1.0,9981400.0,10964960.0,12611733.0,0.791,92.91,50.68,多頭,頭頭高·底底高,,6,2,20,7.2,4,,,False
TGT,Consumer Staples,Target Corporation,2026-09-10,155.73,0.14,23.94,31.14,21.59,1.0,4640410,4363101,4898912,29.42,-19.72,-33.84,P+V+,P+V-,P+V-,➡️ 中性,76.51,30.57,2.503,11,1,1,6.0,75.83,17.31,False,True,147.84,7.68,1.157,False,170.75,170.75,-8.8,-4.67,1.12,10.0,10.0,4979060.0,4301760.0,1.0,3209200.0,3320320.0,4277620.0,0.75,84.06,48.09,多頭,頭頭高·底底高,空頭確認,1,13,22,10.0,8,吃老本,,False
DG,Consumer Staples,Dollar General,2026-09-10,122.99,0.75,13.02,-15.11,-4.11,0.667,2578560,2592416,3138274,18.83,-29.63,-5.15,P+V+,P+V-,P-V-,✨ 反彈初期,14.61,38.22,0.382,7,2,28,9.7,23.53,6.22,False,False,123.24,10.01,1.152,False,156.68,158.23,-21.5,-6.04,2.83,12.0,8.0,2722616.0,2362475.0,1.5,2111900.0,3122340.0,2803420.0,0.753,91.95,46.4,多頭,頭頭高·底底高,,19,6,21,14.2,15,剛爆發,,False
EL,Consumer Staples,Estée Lauder Companies (The),2026-09-10,96.47,10.85,11.83,4.8,8.07,1.0,3947060,3167295,3828535,72.77,-29.46,4.37,P+V+,P+V-,P+V+,➡️ 中性,1.37,50.14,0.027,2,3,12,4.3,22.12,40.2,False,True,89.41,11.59,1.794,False,120.38,121.64,-19.86,-4.63,10.4,8.0,12.0,5374687.0,2995308.0,0.667,2266300.0,3331900.0,3664926.0,0.618,95.79,50.65,多頭,頭頭高·底底高,,5,4,23,8.2,5,,,False
VLO,Energy,Valero Energy,2026-09-10,385.43,12.4,52.46,73.07,52.75,1.0,2391575,2854689,3210892,-13.67,-19.97,7.43,P+V-,P+V-,P+V+,⚠️ 頂部背離,112.75,34.77,3.242,2,1,2,1.7,23.84,33.47,False,True,321.95,14.19,1.138,False,393.54,393.54,-2.06,5.28,16.72,13.0,7.0,2497523.0,2194814.0,1.857,3157800.0,2740310.0,2499720.0,1.263,100.0,77.1,空頭,頭頭低·底底低,多轉空預警 / 多頭確認,2,1,5,2.2,1,,,False
