sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert
XLK,資訊科技,Information Technology,2025-12-26,146.17,142.55,138.87,124.73,2.55,5.26,17.19,10.55,1.0,10635830,5052900,9797846,0.516,3.68,3.43,16,4,9395775,13402875,0.701,4.0,100.0,6,2,2,2,8,1,4.0,4,2.8,1,
XLC,通訊服務,Communication Services,2025-12-26,117.29,114.35,117.11,106.34,2.57,0.15,10.29,5.83,1.0,4763510,2849500,5135620,0.555,1.62,3.4,13,7,4814353,5381428,0.895,1.857,96.2,5,8,4,5,4,2,5.7,7,3.6,2,
XLF,金融,Financials,2025-12-26,55.14,52.69,53.21,51.15,4.66,3.63,7.81,5.98,1.0,35867390,20410100,37461986,0.545,2.34,5.41,12,8,36031383,33806725,1.066,1.5,95.33,1,4,6,4,5,3,2.9,1,3.8,3,
XLY,非必需消費,Consumer Discretionary,2025-12-26,121.56,117.53,119.14,108.45,3.44,2.03,12.09,7.41,1.0,8826640,4197000,7978760,0.526,-0.04,4.08,12,8,8301208,8597287,0.966,1.5,91.83,3,6,3,3,7,4,3.9,3,4.2,4,
XLV,醫療保健,Health Care,2025-12-26,154.73,155.65,133.78,131.63,-0.59,15.66,17.55,12.54,0.667,8894410,4439100,10039326,0.442,1.82,-1.08,10,10,10285630,11616420,0.885,1.0,80.58,7,1,1,1,11,8,4.0,4,5.8,5,吃老本
XLI,工業,Industrials,2025-12-26,156.38,152.36,151.26,144.92,2.64,3.39,7.91,5.46,1.0,7862880,4155300,8294460,0.501,2.08,3.24,11,9,8230609,8464766,0.972,1.222,88.13,4,5,5,6,9,5,4.5,6,6.2,6,
XLB,材料,Materials,2025-12-26,45.73,44.11,43.83,43.16,3.69,4.34,5.97,4.99,1.0,8941130,5035800,9244280,0.545,2.61,4.28,11,9,9092654,10162177,0.895,1.222,87.6,2,3,8,7,5,6,3.5,2,6.2,6,
XLP,必需消費,Consumer Staples,2025-12-26,77.26,77.76,76.38,78.38,-0.65,1.15,-1.43,-0.59,0.333,11366960,8761300,12223606,0.717,-0.42,-0.07,11,9,12505709,13699877,0.913,1.222,84.1,8,7,11,10,2,7,8.3,8,7.2,8,
XLE,能源,Energy,2025-12-26,43.6,44.23,44.99,41.36,-1.43,-3.08,5.41,1.58,0.333,28727360,17884500,27355306,0.654,1.01,-0.14,9,10,26131433,27828230,0.939,0.9,80.25,9,11,9,9,3,9,9.6,9,7.8,9,
XLRE,房地產,Real Estate,2025-12-26,39.9,40.59,40.79,39.75,-1.7,-2.19,0.38,-0.78,0.333,7401400,5973000,7279686,0.821,1.19,-1.22,9,11,6575066,7012754,0.938,0.818,78.42,10,10,10,11,1,10,10.0,11,8.6,10,
XLU,公用事業,Utilities,2025-12-26,42.21,44.38,42.51,39.56,-4.89,-0.7,6.7,1.95,0.333,16660640,8436700,18045313,0.468,-0.18,-4.21,8,12,16349812,19062516,0.858,0.667,72.41,11,9,7,8,10,11,9.6,9,9.6,11,
