symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,mom_12m_1m,weekly_vol_ann,spmo_score,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,rsi14,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,explosive_verdict,is_new_signal_3d
ECHO,Communication Services,EchoStar,2026-02-27,115.53,2.04,62.9,290.04,161.26,1.0,4243890,5679689,5508213,-38.64,6.43,74.32,P+V-,P+V+,P+V+,⚠️ 頂部背離,273.1,136.27,2.004,12,1,1,6.5,1.98,-1.75,False,True,114.08,13.39,0.961,False,132.25,132.25,-12.64,4.68,1.82,11.0,9.0,4168618.0,4335888.0,1.222,7897700.0,3356370.0,3599273.0,2.194,88.13,54.26,收斂,頭頭低·底底高,多轉空預警,1,11,4,5.6,2,吃老本,🔥 追高風險,True
GOOGL,Communication Services,Alphabet Inc. (Class A),2026-02-27,311.15,-7.76,-2.08,51.51,23.29,0.333,42003395,36308126,36303610,38.41,0.02,-4.98,P-V+,P-V+,P+V-,➡️ 中性,101.53,30.7,3.307,15,13,3,12.0,7.01,26.88,False,False,319.36,7.55,0.869,False,348.32,349.0,-10.67,-1.02,-7.83,6.0,14.0,37990550.0,43723185.0,0.429,44640600.0,35334860.0,38780460.0,1.151,66.53,45.27,擴散,頭頭高·底底低,,3,19,13,11.4,14,吃老本,,False
GOOG,Communication Services,Alphabet Inc. (Class C),2026-02-27,310.82,-8.01,-2.15,50.89,22.91,0.333,25610285,23162226,23253856,26.01,-0.78,-6.94,P-V+,P-V-,P+V-,➡️ 中性,99.74,30.35,3.286,16,14,4,13.0,6.78,26.88,False,False,319.91,7.31,0.985,False,349.47,350.15,-11.06,-1.1,-8.04,6.0,14.0,25331266.0,25729864.0,0.429,33389200.0,21560640.0,23538046.0,1.419,68.39,44.6,擴散,頭頭高·底底低,,4,16,6,9.2,12,吃老本,,False
TPR,Consumer Discretionary,"Tapestry, Inc.",2026-02-27,154.03,22.5,47.61,57.14,46.1,1.0,2759545,2607764,2964385,30.01,-21.48,-39.22,P+V+,P+V-,P+V-,➡️ 中性,53.46,41.52,1.288,2,1,1,1.5,20.67,8.91,False,True,135.98,7.94,1.316,False,160.47,161.97,-4.01,-1.03,22.1,13.0,7.0,3012892.0,2289042.0,1.857,3056700.0,2270330.0,2505200.0,1.22,100.0,62.15,擴散,頭頭高·底底低,,1,1,11,3.0,2,,,False
ROST,Consumer Discretionary,Ross Stores,2026-02-27,204.8,9.01,18.36,40.35,27.02,1.0,2381260,2524586,2533042,0.66,-0.67,-23.29,P+V+,P+V-,P+V-,➡️ 中性,36.62,26.75,1.369,7,13,2,7.8,10.9,1.36,False,True,189.46,6.51,0.977,False,205.56,206.4,-0.37,2.08,10.26,15.0,4.0,2411680.0,2468850.0,3.75,4422700.0,2268890.0,2295760.0,1.926,100.0,76.19,多頭,頭頭高·底底高,多頭確認,2,1,1,1.4,1,,,False
GM,Consumer Discretionary,General Motors,2026-02-27,78.19,-6.3,11.08,35.47,18.93,0.667,8054580,8913403,8834103,-13.41,1.81,-25.7,P-V-,P+V+,P+V-,➡️ 中性,82.98,34.4,2.412,40,24,3,27.8,10.65,20.55,False,False,81.59,7.51,0.892,False,87.04,87.62,-10.17,-3.44,-8.75,11.0,9.0,7638772.0,8562788.0,1.222,13351400.0,7972830.0,8099426.0,1.648,77.32,42.49,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警 / 空頭確認,5,26,2,12.8,11,吃老本,,False
DG,Consumer Staples,Dollar General,2026-02-27,154.71,8.93,54.3,40.44,36.03,1.0,2683205,3556038,3305975,-20.27,16.37,-13.76,P+V-,P+V+,P+V-,⚠️ 量能背離,95.87,41.64,2.303,17,1,1,9.0,37.55,18.47,False,True,143.71,7.65,1.164,False,156.68,158.23,-1.26,3.72,10.2,14.0,6.0,2801857.0,2406350.0,2.333,3443100.0,2690280.0,2584260.0,1.332,100.0,64.51,多頭,頭頭高·底底高,多頭確認,1,1,9,2.6,2,,,False
BG,Consumer Staples,Bunge Global,2026-02-27,119.18,6.55,29.76,40.32,29.24,1.0,1664195,1529550,1697124,-4.18,-17.97,-9.64,P+V-,P+V-,P+V-,⚠️ 量能衰竭,61.13,38.37,1.593,22,3,2,12.3,9.62,15.32,False,True,105.94,5.55,1.158,False,123.03,124.78,-3.13,-1.07,5.38,10.0,10.0,1785710.0,1542680.0,1.0,1725900.0,1439540.0,1477260.0,1.168,88.06,62.53,擴散,頭頭高·底底低,,2,25,13,13.4,14,吃老本,,False
CASY,Consumer Staples,Casey's,2026-02-27,684.6,13.04,26.89,36.51,28.24,1.0,434115,351861,342370,33.82,5.7,-7.17,P+V+,P+V+,P+V-,🚀 健康多頭,49.92,29.47,1.694,3,6,3,3.9,6.26,14.26,False,True,615.81,5.31,1.657,False,689.0,690.0,-0.64,2.75,12.25,13.0,7.0,504076.0,304185.0,1.857,2365200.0,490190.0,455453.0,5.193,100.0,72.2,多頭,頭頭高·底底高,多頭確認,4,1,1,2.2,1,,🚀 暴漲中,True
HAL,Energy,Halliburton,2026-02-27,35.51,7.4,41.13,63.91,44.09,1.0,11764415,12534566,12669070,-29.12,-2.1,-11.08,P+V-,P+V-,P+V-,⚠️ 量能衰竭,31.73,45.59,0.696,15,3,2,8.8,26.32,16.93,False,True,31.93,8.81,0.999,False,35.7,36.19,-0.53,2.53,7.82,11.0,9.0,11758709.0,11771388.0,1.222,10172700.0,10506120.0,11042673.0,0.921,91.52,63.61,多頭,頭頭高·底底高,多頭確認,2,14,19,10.2,11,吃老本,,False
