symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
ECHO,Communication Services,EchoStar,2025-06-23,28.81,62.49,15.29,27.65,33.27,1.0,1,8,3,3.5,17.98,348.59,False,True,21.64,50.61,0.926,False,32.48,-11.3,14.69,42.84,13.0,7.0,5827423.0,6291257.0,1.857,9332500.0,5790290.0,5366313.0,1.739,100.0,2,1,5,2.2,1,
TKO,Communication Services,TKO Group Holdings,2025-06-23,176.61,13.91,20.08,25.16,21.08,1.0,2,5,5,3.5,24.4,141.28,False,True,160.39,10.64,1.026,False,176.65,-0.02,2.51,14.69,13.0,7.0,996476.0,971485.0,1.857,2282700.0,1222630.0,1036340.0,2.203,100.0,4,1,4,2.8,3,
META,Communication Services,Meta Platforms,2025-06-23,731.23,13.39,27.3,22.51,21.43,1.0,3,2,6,3.3,23.11,18.67,False,True,629.77,8.06,1.211,False,737.27,-0.82,7.52,13.82,10.0,10.0,13998140.0,11561430.0,1.0,18775700.0,13263190.0,12325893.0,1.523,97.49,3,9,7,6.2,6,吃老本
RCL,Consumer Discretionary,Royal Caribbean Group,2025-06-23,304.31,20.79,49.52,33.84,34.5,1.0,1,2,3,1.7,7.02,9.0,False,True,241.91,19.96,1.788,False,305.65,-0.44,13.63,21.99,13.0,7.0,3305184.0,1848371.0,1.857,12060600.0,3550300.0,3006446.0,4.012,100.0,2,1,2,1.6,1,
NKE,Consumer Discretionary,"Nike, Inc.",2025-06-23,70.12,19.69,14.58,-4.62,6.25,0.667,2,16,31,12.0,13.48,94.87,False,True,58.57,24.22,1.941,False,93.42,-24.94,20.49,18.03,11.0,9.0,25601936.0,13193388.0,1.222,117530300.0,27498090.0,22351780.0,5.258,100.0,16,1,1,7.0,7,剛爆發
CCL,Consumer Discretionary,Carnival Corporation,2025-06-23,26.97,17.4,37.19,8.69,17.99,1.0,3,3,15,5.4,45.31,485.06,False,True,21.8,21.34,1.197,False,28.41,-5.08,14.68,17.7,13.0,7.0,29540392.0,24678571.0,1.857,46846200.0,35545100.0,29879906.0,1.568,100.0,6,1,15,5.8,5,
EL,Consumer Staples,Estée Lauder Companies (The),2025-06-23,78.93,19.64,23.05,8.4,14.87,1.0,1,3,10,3.4,108.8,93.85,False,True,64.51,21.5,1.231,False,111.67,-29.31,6.52,17.23,12.0,8.0,5004800.0,4066400.0,1.5,10753400.0,6022940.0,5046260.0,2.131,100.0,5,1,2,2.8,1,
DG,Consumer Staples,Dollar General,2025-06-23,111.6,17.69,33.78,52.97,39.35,1.0,2,2,1,1.8,19.57,-41.96,False,True,98.57,4.84,1.475,False,129.31,-13.69,2.64,17.9,8.0,12.0,5106412.0,3462925.0,0.667,3326500.0,3150800.0,3090333.0,1.076,97.6,1,4,15,5.0,2,
CASY,Consumer Staples,Casey's,2025-06-23,503.87,15.63,17.3,25.58,21.02,1.0,3,5,4,3.8,37.29,12.97,False,True,462.11,3.08,1.4,False,511.97,-1.58,1.18,14.91,10.0,10.0,611540.0,436760.0,1.0,462900.0,400070.0,516653.0,0.896,98.92,4,3,21,7.0,4,
EOG,Energy,EOG Resources,2025-06-23,115.78,11.26,-3.7,1.97,2.88,0.667,1,8,11,5.1,3.54,6.79,False,True,109.64,6.96,1.067,False,130.94,-11.57,-3.61,9.94,12.0,8.0,4617400.0,4326687.0,1.5,4187900.0,5215670.0,4734933.0,0.884,95.7,8,3,15,7.4,8,
