supply_chain,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,node_count,resonance_pct,z_point,z_capital,cpd,cpd_quadrant
Environmental Infrastructure,2026-09-01,2,143.31,50.0,1,2,-215.3,-107.65,2,100.0,2.8,-0.39,-3.2,⚠️ Price Leading
Passive Components,2026-09-01,3,116.12,66.7,2,3,-79364.8,-26454.93,3,100.0,2.05,-2.3,-4.36,⚠️ Price Leading
CCL / High-Speed Materials,2026-09-01,6,94.19,100.0,6,6,30159.3,5026.55,5,100.0,1.45,0.34,-1.11,🚀 Confirmed
Display & Optical,2026-09-01,4,87.02,100.0,4,4,10687.5,2671.88,2,100.0,1.25,-0.13,-1.38,⚠️ Price Leading
PCB / HDI / IC Substrate,2026-09-01,10,46.93,90.0,9,10,55748.7,5574.87,7,100.0,0.15,0.96,0.81,🚀 Confirmed
Thermal / Liquid Cooling,2026-09-01,5,45.49,100.0,5,5,46325.3,9265.06,3,100.0,0.11,0.73,0.62,🚀 Confirmed
AI / HPC Semiconductor,2026-09-01,9,42.69,88.9,8,9,96587.9,10731.99,8,100.0,0.03,1.94,1.91,🚀 Confirmed
Optical Communication / AI Networking,2026-09-01,6,36.78,66.7,4,6,-3693.1,-615.52,5,100.0,-0.13,-0.48,-0.35,❄️ Weak
Advanced Packaging,2026-09-01,9,35.5,100.0,9,9,101911.2,11323.47,3,100.0,-0.17,2.07,2.24,💰 Capital Leading
Cloud / Data Center / Cybersecurity,2026-09-01,5,34.51,60.0,3,5,-4278.6,-855.72,3,100.0,-0.19,-0.49,-0.3,❄️ Weak
AI Server / ODM,2026-09-01,22,31.03,77.3,17,22,11847.6,538.53,15,93.3,-0.29,-0.1,0.19,❄️ Weak
Semiconductor Equipment & Materials,2026-09-01,14,27.85,50.0,7,14,-19382.4,-1384.46,10,100.0,-0.38,-0.86,-0.48,❄️ Weak
Memory / HBM,2026-09-01,7,27.77,100.0,7,7,70135.5,10019.36,6,83.3,-0.38,1.3,1.68,💰 Capital Leading
Robotics / Automation,2026-09-01,6,26.48,50.0,3,6,9700.8,1616.8,3,100.0,-0.42,-0.15,0.26,❄️ Weak
EV / Auto Electronics,2026-09-01,4,20.9,75.0,3,4,-29971.5,-7492.88,3,100.0,-0.57,-1.11,-0.54,❄️ Weak
Solar / Wind Renewable,2026-09-01,1,20.89,100.0,1,1,166.2,166.2,1,,-0.57,-0.38,0.19,❄️ Weak
Data Center Power / PSU,2026-09-01,5,19.11,80.0,4,5,2648.4,529.68,5,80.0,-0.62,-0.32,0.29,❄️ Weak
Shipping / Logistics,2026-09-01,5,18.47,60.0,3,5,52306.5,10461.3,2,100.0,-0.64,0.87,1.51,💰 Capital Leading
Biotech / Innovative Drug / CDMO,2026-09-01,2,17.51,0.0,0,2,-2418.3,-1209.15,2,50.0,-0.66,-0.45,0.22,❄️ Weak
Steel,2026-09-01,2,11.22,100.0,2,2,5758.8,2879.4,2,50.0,-0.84,-0.25,0.59,❄️ Weak
Energy Storage / Battery,2026-09-01,3,5.83,100.0,3,3,-11410.4,-3803.47,3,100.0,-0.98,-0.66,0.32,❄️ Weak
Smart Grid / Transformer,2026-09-01,6,4.68,100.0,6,6,11034.7,1839.12,3,66.7,-1.02,-0.12,0.89,❄️ Weak
