symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
T,Communication Services,AT&T,2025-03-24,26.36,2.81,24.84,31.98,22.9,1.0,3,1,3,2.4,6.81,5.07,False,True,23.97,8.3,0.929,False,26.67,-1.16,4.29,2.81,12.0,8.0,45054683.0,48504225.0,1.5,35085300.0,41450000.0,45637873.0,0.769,92.16,1,3,11,3.8,1,
VZ,Communication Services,Verizon,2025-03-24,40.73,4.25,14.54,3.45,6.42,1.0,2,3,13,4.5,0.32,0.71,False,True,38.12,5.11,1.114,False,42.94,-5.13,2.14,4.25,10.0,10.0,30456800.0,27343750.0,1.0,19530600.0,23539680.0,29144506.0,0.67,87.89,11,6,16,10.0,11,
TTWO,Communication Services,Take-Two Interactive,2025-03-24,210.47,-0.71,12.89,37.52,21.8,0.667,8,4,1,5.4,29.71,1.58,False,True,202.73,8.45,1.073,False,220.93,-4.73,-1.41,-0.71,11.0,9.0,1749281.0,1630900.0,1.222,1439400.0,1664870.0,1607940.0,0.895,86.11,2,7,5,4.6,2,
AZO,Consumer Discretionary,AutoZone,2025-03-24,3771.0,7.96,16.33,17.97,15.06,1.0,1,2,7,2.5,-2.35,-3.73,False,True,3478.31,7.93,1.04,False,3838.0,-1.75,4.57,7.96,10.0,10.0,170430.0,163930.0,1.0,166700.0,147360.0,153940.0,1.083,89.8,4,2,2,2.8,2,
DRI,Consumer Discretionary,Darden Restaurants,2025-03-24,196.03,2.33,10.2,25.1,15.68,1.0,4,4,3,3.8,0.17,0.35,False,True,185.8,13.16,1.155,False,201.64,-2.78,2.6,2.33,13.0,7.0,1487284.0,1287442.0,1.857,798200.0,1567710.0,1504053.0,0.531,100.0,3,1,24,6.4,3,
EBAY,Consumer Discretionary,eBay Inc.,2025-03-24,66.04,4.21,7.41,5.86,5.83,1.0,2,7,14,5.9,4.26,0.84,False,True,65.66,4.71,0.872,False,70.1,-5.79,2.1,4.21,10.0,10.0,5449790.0,6250530.0,1.0,5705500.0,5623500.0,5638913.0,1.012,83.62,9,6,5,7.0,4,
MO,Consumer Staples,Altria,2025-03-24,53.53,5.99,13.02,18.21,13.86,1.0,3,5,3,3.6,0.85,2.25,False,True,49.83,4.36,0.811,False,53.95,-0.79,2.77,5.99,11.0,9.0,10310845.0,12719611.0,1.222,10396600.0,11725110.0,11407600.0,0.911,87.22,2,10,7,6.2,5,吃老本
DG,Consumer Staples,Dollar General,2025-03-24,83.42,16.07,14.34,0.08,7.64,1.0,1,2,13,3.7,11.63,-5.14,False,True,73.67,11.72,1.148,False,155.38,-46.31,2.92,16.07,12.0,8.0,4878375.0,4251237.0,1.5,3901900.0,4198820.0,4823380.0,0.809,100.0,6,1,11,5.0,2,
MNST,Consumer Staples,Monster Beverage,2025-03-24,57.86,5.87,10.1,10.29,9.14,1.0,4,7,5,5.1,-5.49,-6.45,False,True,52.19,7.2,1.012,False,60.55,-4.44,0.96,5.87,13.0,7.0,5897100.0,5829614.0,1.857,4464800.0,5148360.0,5406466.0,0.826,99.47,5,2,10,4.8,1,
EQT,Energy,EQT Corporation,2025-03-24,52.24,10.05,19.96,46.16,30.58,1.0,2,1,2,1.7,31.27,77.17,False,True,50.59,9.13,0.907,False,55.84,-6.44,0.25,10.05,14.0,6.0,7521542.0,8289666.0,2.333,4971100.0,6918630.0,6856053.0,0.725,100.0,1,1,6,2.0,1,
EXE,Energy,Expand Energy,2025-03-24,106.94,12.85,15.5,35.91,25.04,1.0,1,4,3,2.3,17.54,371.42,False,True,100.0,8.49,0.323,False,107.17,-0.21,3.34,12.85,15.0,5.0,4497280.0,13942580.0,3.0,3031200.0,9587440.0,7683140.0,0.395,100.0,3,1,19,5.4,2,
