supply_chain,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,node_count,resonance_pct,z_point,z_capital,cpd,cpd_quadrant
Environmental Infrastructure,2026-08-31,2,143.56,50.0,1,2,-141.2,-70.6,2,100.0,2.71,-0.37,-3.08,⚠️ Price Leading
Passive Components,2026-08-31,3,119.95,66.7,2,3,-83115.1,-27705.03,3,100.0,2.08,-2.37,-4.45,⚠️ Price Leading
CCL / High-Speed Materials,2026-08-31,6,101.35,100.0,6,6,28913.2,4818.87,5,100.0,1.58,0.34,-1.25,🚀 Confirmed
Display & Optical,2026-08-31,4,89.32,100.0,4,4,7745.6,1936.4,2,100.0,1.26,-0.18,-1.44,⚠️ Price Leading
Thermal / Liquid Cooling,2026-08-31,5,50.67,100.0,5,5,57756.8,11551.36,3,100.0,0.23,1.03,0.8,🚀 Confirmed
PCB / HDI / IC Substrate,2026-08-31,10,46.1,90.0,9,10,51427.2,5142.72,7,100.0,0.11,0.88,0.77,🚀 Confirmed
AI / HPC Semiconductor,2026-08-31,9,40.45,88.9,8,9,52498.5,5833.17,8,100.0,-0.04,0.91,0.95,💰 Capital Leading
Advanced Packaging,2026-08-31,9,33.29,77.8,7,9,35463.8,3940.42,3,100.0,-0.24,0.49,0.73,💰 Capital Leading
Optical Communication / AI Networking,2026-08-31,6,33.05,66.7,4,6,-307.9,-51.32,5,100.0,-0.24,-0.37,-0.13,❄️ Weak
AI Server / ODM,2026-08-31,22,32.29,77.3,17,22,19449.3,884.06,15,93.3,-0.26,0.11,0.37,💰 Capital Leading
Cloud / Data Center / Cybersecurity,2026-08-31,5,31.63,60.0,3,5,-9226.5,-1845.3,3,100.0,-0.28,-0.59,-0.31,❄️ Weak
Memory / HBM,2026-08-31,7,31.42,100.0,7,7,135564.0,19366.29,6,100.0,-0.29,2.91,3.2,💰 Capital Leading
Semiconductor Equipment & Materials,2026-08-31,14,25.75,50.0,7,14,-22030.4,-1573.6,10,100.0,-0.44,-0.9,-0.46,❄️ Weak
Biotech / Innovative Drug / CDMO,2026-08-31,2,24.95,50.0,1,2,-1085.4,-542.7,2,50.0,-0.46,-0.39,0.07,❄️ Weak
Robotics / Automation,2026-08-31,6,24.65,66.7,4,6,8278.1,1379.68,3,100.0,-0.47,-0.16,0.3,❄️ Weak
Solar / Wind Renewable,2026-08-31,1,23.45,100.0,1,1,128.2,128.2,1,,-0.5,-0.36,0.14,❄️ Weak
EV / Auto Electronics,2026-08-31,4,18.59,50.0,2,4,-24820.9,-6205.23,3,100.0,-0.63,-0.96,-0.34,❄️ Weak
Shipping / Logistics,2026-08-31,5,18.34,60.0,3,5,51715.0,10343.0,2,100.0,-0.63,0.89,1.52,💰 Capital Leading
Data Center Power / PSU,2026-08-31,5,17.82,80.0,4,5,15380.9,3076.18,5,80.0,-0.65,0.01,0.66,💰 Capital Leading
Steel,2026-08-31,2,10.69,100.0,2,2,5337.5,2668.75,2,50.0,-0.84,-0.23,0.6,❄️ Weak
Energy Storage / Battery,2026-08-31,3,5.13,100.0,3,3,-7584.6,-2528.2,3,66.7,-0.99,-0.55,0.44,❄️ Weak
Smart Grid / Transformer,2026-08-31,6,3.55,100.0,6,6,9695.4,1615.9,3,66.7,-1.03,-0.13,0.9,❄️ Weak
