symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,avg_vol_4w,avg_vol_13w,avg_vol_26w,vol_change_4w,vol_change_13w,vol_change_26w,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,high_52w_raw,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,rsi14,trend_state,trend_pattern,trend_signal,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,explosive_verdict
FOXA,Communication Services,Fox Corporation (Class A),2026-08-28,68.42,16.56,3.93,22.82,16.53,1.0,5492850,6516816,4992320,15.48,87.92,38.05,P+V+,P+V+,P+V+,⭐⭐⭐ 完美多頭,2,12,3,5.2,29.29,36.35,False,True,59.01,5.77,0.961,False,76.02,76.39,-9.99,-0.18,17.5,12.0,7.0,5395858.0,5617485.0,1.714,3622700.0,5288240.0,5189873.0,0.698,100.0,63.05,多頭,頭頭高·底底高,,3,1,17,5.0,5,,🚀 暴漲中
FOX,Communication Services,Fox Corporation (Class B),2026-08-28,61.32,16.53,3.53,19.8,14.92,1.0,1004815,1708349,1591386,-18.64,15.87,-6.11,P+V-,P+V+,P+V-,⚠️ 量能背離,3,13,4,6.2,31.62,22.22,False,True,52.85,4.7,0.866,False,67.81,68.18,-9.57,0.44,18.06,13.0,7.0,953300.0,1100485.0,1.857,943300.0,923530.0,874273.0,1.079,100.0,64.49,多頭,頭頭高·底底高,,4,1,6,3.2,3,,
NFLX,Communication Services,Netflix,2026-08-28,81.72,11.44,-5.37,4.72,3.87,0.667,29108100,42237389,42652406,-40.68,-1.93,3.88,P+V-,P-V-,P+V+,⚠️ 頂部背離,4,16,12,9.2,1.45,-6.93,False,True,74.65,8.75,1.201,False,126.71,126.71,-35.51,2.68,13.96,11.0,9.0,31473654.0,26216866.0,1.222,29048400.0,27890330.0,28178713.0,1.031,98.79,62.64,空頭,頭頭低·底底低,多頭確認,11,11,7,10.2,11,,
ABNB,Consumer Discretionary,Airbnb,2026-08-28,189.43,25.75,40.84,50.75,42.02,1.0,5610565,4285204,4079594,68.08,10.61,-14.92,P+V+,P+V+,P+V-,🚀 健康多頭,1,3,2,1.8,9.48,-14.13,False,True,158.77,7.84,1.439,False,193.45,193.45,-2.08,1.14,25.02,11.0,9.0,6503390.0,4519333.0,1.222,4829400.0,4609240.0,5266500.0,0.917,100.0,67.79,擴散,頭頭高·底底低,多頭確認,2,1,9,3.0,1,,
CVNA,Consumer Discretionary,Carvana,2026-08-28,74.04,11.96,0.75,13.85,10.1,1.0,8760820,10469498,11943889,-17.62,-21.98,-37.15,P+V-,P+V-,P+V-,⚠️ 量能衰竭,3,21,12,10.2,10.09,11.71,False,True,68.06,16.79,0.981,False,97.38,97.38,-23.97,5.91,18.73,13.0,7.0,8701261.0,8871428.0,1.857,4623000.0,9358900.0,8690820.0,0.532,100.0,56.26,多頭,頭頭高·底底高,空轉多預警,10,1,25,9.4,6,剛爆發,
EXPE,Consumer Discretionary,Expedia Group,2026-08-28,329.44,10.7,44.99,67.24,47.54,1.0,1553575,1561581,1794929,5.49,-23.01,-15.64,P+V+,P+V-,P+V-,➡️ 中性,4,2,1,2.8,9.65,42.34,False,True,288.46,7.99,1.021,False,341.51,342.0,-3.53,2.58,11.93,13.0,7.0,1565038.0,1532285.0,1.857,969200.0,1315080.0,1314813.0,0.737,100.0,59.81,多頭,頭頭高·底底高,,1,1,19,4.6,2,,
EL,Consumer Staples,Estée Lauder Companies (The),2026-08-28,103.39,22.09,14.22,-9.69,4.23,0.667,3670810,3290595,3890604,69.17,-26.72,3.16,P+V+,P+V-,P-V+,➡️ 中性,1,5,21,6.2,22.12,40.2,False,True,86.69,24.82,1.672,False,120.79,121.64,-14.41,1.42,23.23,10.0,10.0,4593820.0,2747800.0,1.0,3121700.0,4940870.0,4184486.0,0.746,100.0,69.84,多頭,頭頭高·底底高,多頭確認,10,1,18,8.0,5,剛爆發,
GIS,Consumer Staples,General Mills,2026-08-28,41.55,15.42,24.72,-5.37,7.35,0.667,8034385,9967115,9626800,-17.84,7.33,40.52,P+V-,P+V+,P-V+,➡️ 中性,2,3,17,5.3,19.21,-12.14,False,True,37.05,10.02,1.012,False,48.32,51.33,-14.02,3.95,16.22,16.0,4.0,8053968.0,7956050.0,4.0,8925700.0,8043650.0,7903993.0,1.129,100.0,67.38,空頭,頭頭低·底底低,多轉空預警 / 多頭確認,5,1,6,3.6,2,,
SJM,Consumer Staples,J.M. Smucker Company (The),2026-08-28,132.34,13.69,28.1,23.51,22.2,1.0,1247075,1533318,1862201,-19.78,-30.02,2.13,P+V-,P+V-,P+V+,⚠️ 頂部背離,3,1,2,2.2,46.18,5.01,False,True,116.73,14.65,1.05,False,135.89,135.89,-2.61,6.45,12.01,14.0,6.0,1265128.0,1204950.0,2.333,1449200.0,1502620.0,1341846.0,1.08,100.0,72.68,多頭,頭頭高·底底高,多頭確認,2,1,7,2.6,1,,
MPC,Energy,Marathon Petroleum,2026-08-28,368.83,20.46,47.15,90.1,61.95,1.0,2515740,2371569,2480251,23.9,-8.4,19.67,P+V+,P+V-,P+V+,➡️ 中性,1,1,1,1.0,27.08,120.63,False,True,307.67,5.93,1.067,False,369.12,369.12,-0.08,2.25,16.86,13.0,7.0,2572523.0,2410285.0,1.857,1918600.0,2400650.0,2576446.0,0.745,100.0,71.61,多頭,頭頭高·底底高,空轉多預警 / 多頭確認,1,1,11,3.0,1,,
PSX,Energy,Phillips 66,2026-08-28,244.01,18.97,38.82,60.07,44.48,1.0,2747055,2643533,2881193,8.71,-15.24,18.51,P+V+,P+V-,P+V+,➡️ 中性,2,3,3,2.5,25.45,225.68,False,True,205.06,6.31,0.963,False,246.95,246.95,-1.19,0.47,15.88,11.0,9.0,2701000.0,2803344.0,1.222,1728500.0,2655140.0,2677900.0,0.645,94.91,70.55,擴散,頭頭高·底底低,,3,5,16,6.4,4,,
SLB,Energy,Schlumberger,2026-08-28,57.33,16.26,4.55,11.15,10.78,1.0,9980255,13563401,14929226,-22.53,-16.76,-12.82,P+V-,P+V-,P+V-,⚠️ 量能衰竭,3,13,11,7.6,6.3,1.13,False,True,49.74,10.05,1.166,False,58.51,58.82,-2.02,6.42,15.61,12.0,7.0,10617450.0,9107771.0,1.714,18116900.0,10082060.0,9721500.0,1.864,100.0,70.9,多頭,頭頭高·底底高,多頭確認,8,1,1,3.8,2,剛爆發,
