sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,flow_30d_net_M,flow_30d_gross_M,flow_ratio,flow_up_ratio,dist_20ma_pct,dist_50ma_pct,rsi14_sector,position_20d,resistance_20d,support_20d,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,flow_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert,pct_30d,n_30d,acc_pct_30d,pct_90d,n_90d,acc_pct_90d,pct_365d,n_365d,acc_pct_365d,breadth_pct,breadth_up,breadth_total,breadth_source_date,breadth_30d_up,breadth_30d_down,breadth_30d_ratio,point_5d_avg,acceleration,quadrant,quadrant_zh,quadrant_desc,consecutive_pos_days,health_key,health_emoji,health_zh,health_desc
XLE,能源,Energy,2026-09-01,64.77,57.31,56.89,54.3,13.02,13.85,19.28,16.36,1.0,26311070,33275900,25333800,1.313,4.37,10.68,13,7,25215892,26809928,0.941,1.857,100.0,12236.2,49867.1,0.245,0.633,4.75,10.59,70.58,100.0,64.77,57.31,1,2,2,1,5,1,1,1.5,1,1.8,1,,100.0,9,,100.0,11,,100.0,12,,90.5,19,21,2026-08-31,33,10,76.7,12.5,3.86,leading,領先,資金持續流入、動能未退,15,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLV,醫療保健,Health Care,2026-09-01,171.67,164.16,147.19,156.09,4.57,16.63,9.98,10.29,1.0,8051730,7821200,7610973,1.028,-2.07,5.9,11,9,9107136,6698422,1.36,1.222,94.84,1858.1,43699.0,0.043,0.5,0.9,4.3,57.93,65.2,175.68,164.16,2,1,3,3,11,2,3,1.9,2,4.2,2,,62.5,8,,70.0,10,,63.6,11,,72.9,43,59,2026-08-31,59,6,90.8,10.78,-0.49,weakening,減弱,高位但動能見頂,12,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLB,材料,Materials,2026-09-01,52.07,52.64,50.73,52.57,-1.08,2.64,-0.95,-0.08,0.333,11180190,15500500,10330733,1.5,-2.82,0.13,9,10,11251244,10303960,1.092,0.9,81.56,919.2,17664.9,0.052,0.5,-1.38,0.64,46.45,15.3,53.67,51.78,5,6,6,6,2,4,5,5.5,5,4.4,3,,11.1,9,,9.1,11,,8.3,12,,52.0,13,25,2026-08-31,35,8,81.4,2.94,-3.02,weakening,減弱,高位但動能見頂,0,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLK,資訊科技,Information Technology,2026-09-01,183.64,185.91,195.53,140.67,-1.22,-6.08,30.55,13.45,0.333,6162960,7648700,6037393,1.267,1.05,-1.74,9,11,5782211,6491418,0.891,0.818,77.23,-7416.5,40552.6,-0.183,0.4,-1.17,0.62,49.57,33.5,190.77,180.05,6,11,1,2,7,6,11,6.5,6,4.6,4,,11.1,9,,18.2,11,,25.0,12,,58.9,43,73,2026-08-31,42,19,68.9,16.25,-2.8,weakening,減弱,高位但動能見頂,14,neutral,➡️,中性,無明顯訊號
XLP,必需消費,Consumer Staples,2026-09-01,85.25,85.33,81.46,87.75,-0.09,4.65,-2.85,-0.29,0.333,8904160,9353100,8932626,1.047,-1.47,-0.14,10,10,8782860,8214210,1.069,1.0,83.04,3000.9,25642.1,0.117,0.533,-0.38,0.33,49.02,20.6,87.45,84.68,4,4,9,7,10,3,2,5.0,3,6.0,5,,37.5,8,,30.0,10,,36.4,11,,47.1,16,34,2026-08-31,33,12,73.3,-0.2,-0.09,lagging,落後,資金持續流出,0,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLF,金融,Financials,2026-09-01,57.2,58.0,51.25,52.05,-1.38,11.61,9.9,7.51,0.667,27766420,32396200,27903040,1.161,-1.9,-1.17,9,11,26113855,28380472,0.92,0.818,76.91,-806.2,50009.5,-0.016,0.5,-1.07,1.07,47.9,18.4,58.31,56.95,7,3,4,4,8,7,7,5.2,4,6.0,5,,16.7,9,,31.8,11,,37.5,12,,44.7,34,76,2026-08-31,64,7,90.1,9.98,-2.47,weakening,減弱,高位但動能見頂,19,neutral,➡️,中性,無明顯訊號
XLRE,房地產,Real Estate,2026-09-01,44.04,45.2,42.89,42.96,-2.57,2.67,2.51,1.28,0.667,4637250,6776000,5073426,1.336,-2.91,-2.5,9,10,4566422,5672930,0.805,0.9,74.92,-1582.4,7118.1,-0.222,0.4,-1.7,-1.88,38.54,0.0,45.36,44.04,9,5,5,5,4,10,8,7.0,8,6.8,7,,11.1,9,,9.1,11,,16.7,12,,20.0,6,30,2026-08-31,17,20,45.9,2.33,-1.05,weakening,減弱,高位但動能見頂,12,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLC,通訊服務,Communication Services,2026-09-01,110.88,110.87,115.31,116.05,0.01,-3.84,-4.45,-3.18,0.333,3919300,5152000,4061593,1.268,-2.03,-1.04,10,10,3886840,4254330,0.914,1.0,79.55,-0.7,16666.0,-0.0,0.533,-0.63,0.6,48.64,21.0,113.18,110.27,3,10,10,10,6,5,6,6.5,6,7.2,8,,0.0,9,,18.2,11,,16.7,12,,58.3,14,24,2026-08-31,24,15,61.5,-1.44,-1.74,lagging,落後,資金持續流出,0,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLY,非必需消費,Consumer Discretionary,2026-09-01,114.59,118.64,117.95,116.58,-3.41,-2.85,-1.71,-2.42,0.0,5186650,5883300,5125713,1.148,-2.85,-3.13,7,13,5567357,4783961,1.164,0.538,75.43,1516.0,22142.7,0.068,0.467,-2.65,-1.36,42.51,0.0,119.86,114.59,10,9,7,8,9,8,4,9.1,10,8.2,9,,0.0,9,,9.1,11,,8.3,12,,36.2,17,47,2026-08-31,42,12,77.8,0.4,-2.82,lagging,落後,資金持續流出,0,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLU,公用事業,Utilities,2026-09-01,42.56,43.66,42.83,46.56,-2.52,-0.62,-8.58,-5.08,0.0,19936500,30615800,19077086,1.605,-1.73,-3.51,9,10,18412844,22148950,0.831,0.9,75.25,-4716.9,26564.9,-0.178,0.433,-2.06,-4.56,36.85,15.9,44.31,42.23,8,8,11,11,1,9,10,8.6,9,8.2,9,,38.9,9,,31.8,11,,29.2,12,,9.7,3,31,2026-08-31,10,36,21.7,-5.52,0.44,improving,改善,落後股翻轉候選,0,neutral,➡️,中性,無明顯訊號
