sector,as_of_date,stock_count,point,ret_4w,ret_13w,ret_26w,breadth_pct,breadth_up,breadth_total,inst_net_20d_shares,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,point_5d_avg,acceleration,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
半導體業,2026-09-24,3,67.97,14.52,10.18,123.59,66.7,2,3,25187150.0,101029.40000000001,33676.47,44.93,23.04,1.81,3.41,1.6,🚀 Confirmed,⚠️ Price Leading,⚠️ Price Leading → 🚀 Confirmed,ADVANCING,🚀 Confirmed
塑膠工業,2026-09-24,3,64.92,6.02,36.39,108.63,100.0,3,3,105843735.0,5538.4,1846.13,55.97,8.95,1.68,0.03,-1.66,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
電子零組件業,2026-09-24,13,62.9,0.49,13.59,118.77,38.5,5,13,-61304020.0,-30819.500000000004,-2370.73,47.31,15.59,1.6,-1.26,-2.86,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
油電燃氣業,2026-09-24,1,52.8,22.13,62.99,63.04,100.0,1,1,452221.0,39.4,39.4,49.04,3.76,1.17,-0.17,-1.33,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
化學生技醫療,2026-09-24,1,50.9,-25.24,11.05,108.89,0.0,0,1,-7029535.0,-8119.1,-8119.1,48.76,2.14,1.08,-0.46,-1.54,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
電腦及週邊設備業,2026-09-24,9,36.92,-0.48,26.56,60.81,55.6,5,9,-148962964.0,11509.499999999998,1278.83,31.47,5.45,0.49,0.24,-0.25,🚀 Confirmed,⚠️ Price Leading,⚠️ Price Leading → 🚀 Confirmed,ADVANCING,🚀 Confirmed
電子工業,2026-09-24,34,36.35,3.9,7.46,67.01,61.8,21,34,853711486.0,-37496.700000000004,-1102.84,33.25,3.1,0.46,-1.5,-1.96,⚠️ Price Leading,🚀 Confirmed,🚀 Confirmed → ⚠️ Price Leading,REVERSING,⚠️ Price Leading
金融保險,2026-09-24,15,34.16,10.44,20.31,52.95,100.0,15,15,1158051598.0,52176.1,3478.41,35.44,-1.28,0.37,1.68,1.31,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
電機機械,2026-09-24,4,20.97,3.04,7.77,36.53,25.0,1,4,-9598916.0,1480.1999999999998,370.05,6.44,14.53,-0.19,-0.12,0.07,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
航運業,2026-09-24,5,20.08,2.48,23.52,27.17,80.0,4,5,95206569.0,7641.1,1528.22,16.6,3.48,-0.23,0.1,0.33,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
電子通路業,2026-09-24,3,12.67,10.79,5.72,17.08,100.0,3,3,4748430.0,-1734.7000000000003,-578.23,7.78,4.89,-0.54,-0.23,0.31,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
電器電纜,2026-09-24,1,11.04,-6.03,3.53,23.33,0.0,0,1,-1320388.0,-48.4,-48.4,5.04,6.0,-0.61,-0.17,0.44,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
水泥工業,2026-09-24,1,10.29,3.91,8.15,14.56,100.0,1,1,-2551913.0,-64.4,-64.4,3.92,6.37,-0.65,-0.17,0.47,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
紡織纖維,2026-09-24,1,7.94,0.18,3.59,13.99,100.0,1,1,-6205920.0,-174.7,-174.7,4.15,3.79,-0.75,-0.18,0.57,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
食品工業,2026-09-24,1,6.3,-1.59,3.85,11.47,0.0,0,1,11501920.0,856.9,856.9,5.44,0.86,-0.82,-0.14,0.68,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
汽車工業,2026-09-24,1,6.3,-1.92,6.03,10.55,0.0,0,1,-18019.0,-9.2,-9.2,7.73,-1.43,-0.82,-0.17,0.64,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
其他,2026-09-24,1,3.89,-5.31,1.15,9.86,0.0,0,1,-26417977.0,-2826.7,-2826.7,5.09,-1.2,-0.92,-0.27,0.65,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
玻璃陶瓷,2026-09-24,1,2.4,-3.95,-11.52,12.52,0.0,0,1,3571153.0,208.6,208.6,-6.2,8.6,-0.98,-0.16,0.82,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
貿易百貨,2026-09-24,1,1.62,-2.75,-1.01,5.12,0.0,0,1,-2853742.0,-606.4,-606.4,0.26,1.36,-1.02,-0.19,0.82,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
鋼鐵工業,2026-09-24,1,-1.45,-2.1,-1.07,-1.32,0.0,0,1,-113594353.0,-2118.5,-2118.5,-2.2,0.75,-1.15,-0.25,0.9,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
