supply_chain,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,node_count,resonance_pct,z_point,z_capital,cpd,cpd_quadrant
Environmental Infrastructure,2026-08-27,2,169.49,50.0,1,2,-390.4,-195.2,2,100.0,2.82,-0.4,-3.23,⚠️ Price Leading
Passive Components,2026-08-27,3,137.78,100.0,3,3,-72854.5,-24284.83,3,100.0,2.07,-1.93,-3.99,⚠️ Price Leading
CCL / High-Speed Materials,2026-08-27,6,122.74,100.0,6,6,3645.4,607.57,5,100.0,1.71,-0.32,-2.03,⚠️ Price Leading
Display & Optical,2026-08-27,4,81.18,100.0,4,4,-8509.0,-2127.25,2,100.0,0.72,-0.57,-1.29,⚠️ Price Leading
PCB / HDI / IC Substrate,2026-08-27,10,66.49,90.0,9,10,56194.7,5619.47,7,100.0,0.37,0.79,0.42,🚀 Confirmed
Advanced Packaging,2026-08-27,9,53.64,88.9,8,9,102196.3,11355.14,3,100.0,0.06,1.76,1.69,🚀 Confirmed
Thermal / Liquid Cooling,2026-08-27,5,53.24,100.0,5,5,50811.3,10162.26,3,100.0,0.05,0.67,0.62,🚀 Confirmed
Biotech / Innovative Drug / CDMO,2026-08-27,2,44.98,50.0,1,2,2842.8,1421.4,2,50.0,-0.14,-0.33,-0.19,❄️ Weak
Memory / HBM,2026-08-27,7,43.9,100.0,7,7,135306.3,19329.47,6,100.0,-0.17,2.45,2.62,💰 Capital Leading
AI / HPC Semiconductor,2026-08-27,9,42.17,77.8,7,9,67804.0,7533.78,8,100.0,-0.21,1.03,1.24,💰 Capital Leading
Optical Communication / AI Networking,2026-08-27,6,38.61,83.3,5,6,-5514.6,-919.1,5,100.0,-0.3,-0.51,-0.21,❄️ Weak
AI Server / ODM,2026-08-27,22,36.69,90.9,20,22,65822.9,2991.95,15,93.3,-0.34,0.99,1.33,💰 Capital Leading
Cloud / Data Center / Cybersecurity,2026-08-27,5,36.47,80.0,4,5,10438.3,2087.66,3,100.0,-0.35,-0.18,0.17,❄️ Weak
Semiconductor Equipment & Materials,2026-08-27,14,34.4,64.3,9,14,-19727.2,-1409.09,10,100.0,-0.4,-0.81,-0.41,❄️ Weak
Robotics / Automation,2026-08-27,6,32.42,100.0,6,6,11831.7,1971.95,3,100.0,-0.44,-0.15,0.3,❄️ Weak
Data Center Power / PSU,2026-08-27,5,27.45,80.0,4,5,576.3,115.26,5,80.0,-0.56,-0.38,0.18,❄️ Weak
Solar / Wind Renewable,2026-08-27,1,26.18,100.0,1,1,276.1,276.1,1,,-0.59,-0.39,0.2,❄️ Weak
EV / Auto Electronics,2026-08-27,4,20.91,25.0,1,4,-41987.4,-10496.85,3,100.0,-0.72,-1.28,-0.56,❄️ Weak
Shipping / Logistics,2026-08-27,5,20.42,60.0,3,5,58323.7,11664.74,2,100.0,-0.73,0.83,1.56,💰 Capital Leading
Steel,2026-08-27,2,11.59,100.0,2,2,5820.0,2910.0,2,50.0,-0.94,-0.27,0.67,❄️ Weak
Smart Grid / Transformer,2026-08-27,6,11.53,83.3,5,6,10108.9,1684.82,3,100.0,-0.94,-0.18,0.76,❄️ Weak
Energy Storage / Battery,2026-08-27,3,10.61,100.0,3,3,-20163.7,-6721.23,3,100.0,-0.96,-0.82,0.14,❄️ Weak
