sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert
XLK,資訊科技,Information Technology,2023-12-29,94.76,91.16,80.53,85.22,3.95,17.68,11.19,11.0,1.0,11233680,12190600,14854586,0.821,0.35,4.18,14,6,14890271,14345100,1.038,2.333,100.0,6,2,3,1,7,1,4.2,4,2.2,1,
XLF,金融,Financials,2023-12-29,36.2,34.65,31.77,32.15,4.47,13.92,12.59,10.89,1.0,36203320,30218300,39167493,0.772,0.91,5.25,14,6,36598621,44823966,0.816,2.333,100.0,4,3,1,2,8,1,3.1,2,2.8,2,
XLI,工業,Industrials,2023-12-29,110.21,104.57,97.49,102.78,5.4,13.05,7.23,8.23,1.0,7407180,7936300,8371813,0.948,1.24,7.07,15,5,8641186,9420060,0.917,3.0,100.0,2,4,5,5,2,1,3.2,3,2.8,2,
XLY,非必需消費,Consumer Discretionary,2023-12-29,87.56,83.63,78.69,82.85,4.7,11.27,5.68,6.83,1.0,7802500,8268600,9240826,0.895,-1.11,6.13,15,5,9998480,9899880,1.01,3.0,100.0,3,5,6,6,4,1,4.2,4,3.6,4,
XLV,醫療保健,Health Care,2023-12-29,130.81,125.88,122.93,126.22,3.91,6.41,3.63,4.4,1.0,5938290,5590000,6690620,0.835,1.51,4.33,15,5,6479346,7734400,0.838,3.0,100.0,7,9,9,8,5,1,8.0,8,4.6,5,剛爆發
XLP,必需消費,Consumer Staples,2023-12-29,67.35,65.84,63.85,68.37,2.29,5.47,-1.49,1.2,0.667,10440410,10412700,11177473,0.932,1.91,2.71,14,5,10186478,12705600,0.802,2.8,100.0,9,10,10,10,3,1,9.5,9,5.0,6,剛爆發
XLRE,房地產,Real Estate,2023-12-29,36.84,34.58,31.0,34.02,6.51,18.83,8.28,10.47,1.0,5354450,5777300,5641973,1.024,1.24,8.75,12,8,5877625,6248175,0.941,1.5,94.71,1,1,4,3,1,9,1.6,1,5.0,6,吃老本
XLC,通訊服務,Communication Services,2023-12-29,70.59,67.76,63.55,62.92,4.19,11.09,12.2,9.92,1.0,5240730,4744400,5734786,0.827,0.08,4.4,13,7,5772415,5994000,0.963,1.857,97.38,5,6,2,4,6,7,4.7,6,5.6,8,
XLB,材料,Materials,2023-12-29,40.85,39.53,37.25,39.11,3.34,9.66,4.44,5.47,1.0,7619640,6992200,9546013,0.732,0.55,4.52,13,7,10319723,12864228,0.802,1.857,94.83,8,7,8,7,9,8,7.7,7,7.8,9,
XLU,公用事業,Utilities,2023-12-29,29.44,29.26,27.14,29.9,0.62,8.48,-1.52,1.52,0.667,28375040,22478000,30692693,0.732,1.47,1.86,9,11,26895733,31765309,0.847,0.818,78.79,10,8,11,9,9,11,9.6,10,9.8,10,
XLE,能源,Energy,2023-12-29,38.73,38.9,41.36,36.87,-0.44,-6.36,5.05,0.83,0.333,31335980,24345400,35292053,0.69,-1.05,0.08,10,10,37007600,38038560,0.973,1.0,81.65,11,11,7,11,11,10,10.2,11,10.6,11,
