sector,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,z_point,z_capital,cpd,cpd_quadrant
綠能環保,2026-08-27,2,169.49,50.0,1,2,-390.4,-195.2,3.64,-0.46,-4.09,⚠️ Price Leading
電子零組件業,2026-08-27,15,94.06,93.3,14,15,58140.6,3876.04,1.66,1.26,-0.41,🚀 Confirmed
半導體業,2026-08-27,2,81.73,100.0,2,2,21224.6,10612.3,1.34,0.17,-1.16,🚀 Confirmed
塑膠工業,2026-08-27,3,71.58,100.0,3,3,-19357.0,-6452.33,1.07,-1.01,-2.09,⚠️ Price Leading
化學生技醫療,2026-08-27,2,64.36,100.0,2,2,5721.7,2860.85,0.88,-0.28,-1.16,⚠️ Price Leading
生技醫療業,2026-08-27,2,47.95,50.0,1,2,527.2,263.6,0.45,-0.43,-0.89,⚠️ Price Leading
電子工業,2026-08-27,53,39.76,84.9,45,53,113058.4,2133.18,0.24,2.86,2.62,🚀 Confirmed
油電燃氣業,2026-08-27,1,37.65,100.0,1,1,-2169.5,-2169.5,0.18,-0.51,-0.7,⚠️ Price Leading
電腦及週邊設備業,2026-08-27,14,36.32,92.9,13,14,122509.6,8750.69,0.15,3.14,2.99,🚀 Confirmed
電機機械,2026-08-27,9,21.62,100.0,9,9,3628.1,403.12,-0.24,-0.34,-0.11,❄️ Weak
金融保險,2026-08-27,19,21.15,42.1,8,19,29123.6,1532.82,-0.25,0.41,0.65,💰 Capital Leading
其他電子業,2026-08-27,2,20.5,100.0,2,2,-3380.8,-1690.4,-0.26,-0.55,-0.28,❄️ Weak
航運業,2026-08-27,5,20.42,60.0,3,5,58323.7,11664.74,-0.27,1.26,1.53,💰 Capital Leading
建材營造,2026-08-27,1,17.01,100.0,1,1,2059.4,2059.4,-0.36,-0.39,-0.03,❄️ Weak
玻璃陶瓷,2026-08-27,1,16.32,100.0,1,1,835.2,835.2,-0.37,-0.42,-0.05,❄️ Weak
電器電纜,2026-08-27,1,15.2,100.0,1,1,6820.4,6820.4,-0.4,-0.25,0.16,❄️ Weak
電子通路業,2026-08-27,3,13.62,0.0,0,3,-7827.6,-2609.2,-0.45,-0.68,-0.23,❄️ Weak
鋼鐵工業,2026-08-27,2,11.59,100.0,2,2,5820.0,2910.0,-0.5,-0.28,0.22,❄️ Weak
其他,2026-08-27,2,10.74,100.0,2,2,1500.7,750.35,-0.52,-0.4,0.12,❄️ Weak
食品工業,2026-08-27,2,6.6,100.0,2,2,11710.5,5855.25,-0.63,-0.1,0.52,❄️ Weak
橡膠工業,2026-08-27,1,4.5,100.0,1,1,-81.5,-81.5,-0.68,-0.45,0.23,❄️ Weak
水泥工業,2026-08-27,2,3.88,50.0,1,2,518.0,259.0,-0.7,-0.43,0.27,❄️ Weak
汽車工業,2026-08-27,1,3.78,0.0,0,1,170.6,170.6,-0.7,-0.44,0.26,❄️ Weak
貿易百貨,2026-08-27,1,3.63,0.0,0,1,1853.0,1853.0,-0.71,-0.39,0.31,❄️ Weak
居家生活,2026-08-27,1,2.11,0.0,0,1,259.8,259.8,-0.75,-0.44,0.31,❄️ Weak
紡織纖維,2026-08-27,2,-3.02,50.0,1,2,2752.8,1376.4,-0.88,-0.37,0.51,❄️ Weak
運動休閒,2026-08-27,1,-5.76,100.0,1,1,-671.6,-671.6,-0.95,-0.47,0.48,❄️ Weak
