symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,earnings_passed
FOX,Communication Services,Fox Corporation (Class B),2024-12-23,45.91,4.25,20.06,46.67,29.41,1.0,6,5,1,4.7,26.09,12.5,False,True,42.18,7.14,1.134,False,47.06,-2.45,1.44,5.12,9.0,11.0,1144400.0,1008890.0,0.818,586100.0,1077720.0,1102033.0,0.532,85.77,1,6,11,5.0,2,,True
WBD,Communication Services,Warner Bros. Discovery,2024-12-23,10.61,1.24,26.61,42.61,28.27,1.0,8,2,3,5.2,173.29,-4885.33,False,True,9.61,21.27,1.072,False,12.7,-16.46,1.14,2.22,9.0,11.0,30547811.0,28501436.0,0.818,16494400.0,27546940.0,32080640.0,0.514,82.82,2,10,13,7.4,7,吃老本,True
FOXA,Communication Services,Fox Corporation (Class A),2024-12-23,48.77,4.99,17.03,44.89,27.95,1.0,3,8,2,4.3,27.05,11.03,False,True,45.03,9.33,1.563,False,49.91,-2.29,1.29,5.91,9.0,11.0,4998333.0,3197572.0,0.818,1255400.0,4365800.0,4303540.0,0.292,93.69,3,3,19,6.2,3,,True
NFLX,Communication Services,Netflix,2024-12-23,90.75,2.34,28.3,34.48,24.9,1.0,7,1,5,4.8,5.32,2.47,False,True,84.63,5.4,1.03,False,94.18,-3.63,0.61,3.44,12.0,8.0,27900333.0,27093625.0,1.5,32262000.0,28130600.0,28541733.0,1.13,92.83,4,4,1,3.4,1,,True
LYV,Communication Services,Live Nation Entertainment,2024-12-23,131.85,-4.63,21.25,40.66,24.48,0.667,14,4,4,9.0,13.07,41.87,False,True,128.94,6.16,0.876,False,141.18,-6.61,-0.26,-5.64,10.0,10.0,2084990.0,2380460.0,1.0,785200.0,1700930.0,1865073.0,0.421,76.84,5,15,17,11.4,11,吃老本,True
TKO,Communication Services,TKO Group Holdings,2024-12-23,141.11,4.39,15.22,33.36,21.58,1.0,5,10,6,6.7,-51.33,21.77,False,True,128.51,6.52,1.357,False,146.38,-3.6,0.16,4.2,10.0,10.0,1087760.0,801390.0,1.0,360000.0,914810.0,932686.0,0.386,91.34,6,5,18,8.0,8,,False
TTWO,Communication Services,Take-Two Interactive,2024-12-23,186.43,-1.04,21.81,19.9,15.14,0.667,9,3,11,7.6,1.58,-11.17,False,True,177.92,5.3,1.066,False,191.91,-2.86,2.78,0.47,10.0,10.0,1432290.0,1343350.0,1.0,1010700.0,1512350.0,1432320.0,0.706,85.05,7,7,4,6.4,4,,True
TMUS,Communication Services,T-Mobile US,2024-12-23,217.36,-9.69,9.09,27.46,13.58,0.667,18,13,7,14.3,7.64,9.58,False,False,225.15,6.96,0.838,False,241.86,-10.13,2.3,-9.42,9.0,11.0,3495022.0,4170781.0,0.818,2150000.0,4293180.0,4282400.0,0.502,72.21,8,17,15,13.0,15,吃老本,True
TTD,Communication Services,Trade Desk (The),2024-12-23,121.39,-5.57,10.91,24.29,13.48,0.667,16,11,9,13.1,4.27,9.54,False,False,126.19,13.26,0.929,False,141.53,-14.23,-3.83,-5.28,9.0,11.0,3395822.0,3654009.0,0.818,2125900.0,3521380.0,3483726.0,0.61,73.84,9,16,7,11.4,11,吃老本,True
T,Communication Services,AT&T,2024-12-23,21.12,-1.3,5.72,22.98,12.6,0.667,10,16,10,11.8,5.07,-0.64,False,True,20.95,6.12,1.121,False,22.2,-4.87,1.28,-1.76,10.0,10.0,39189530.0,34959540.0,1.0,18547500.0,36684840.0,35522513.0,0.522,84.07,10,8,12,9.6,9,,True
META,Communication Services,Meta Platforms,2024-12-23,596.86,4.52,5.8,19.17,12.17,1.0,4,15,12,8.9,13.86,8.45,False,True,584.05,8.65,0.793,False,634.75,-5.97,0.71,5.46,10.0,10.0,11378620.0,14352160.0,1.0,8084200.0,14235720.0,13331300.0,0.606,82.44,11,11,8,10.4,10,,True
GOOGL,Communication Services,Alphabet Inc. (Class A),2024-12-23,191.76,14.22,17.71,6.09,11.03,1.0,1,6,17,5.7,14.83,2.54,False,True,175.77,8.4,1.452,False,200.37,-4.3,2.25,14.03,11.0,9.0,36518600.0,25159022.0,1.222,18891400.0,31049290.0,34324633.0,0.55,100.0,12,1,10,7.2,5,剛爆發,True
GOOG,Communication Services,Alphabet Inc. (Class C),2024-12-23,193.04,13.94,17.53,6.05,10.89,1.0,2,7,18,6.7,14.74,2.54,False,True,177.35,8.49,1.242,False,201.83,-4.36,2.29,13.72,11.0,9.0,23577990.0,18980800.0,1.222,14693000.0,21984720.0,23615613.0,0.622,99.22,13,2,6,7.2,5,剛爆發,True
DIS,Communication Services,Walt Disney Company (The),2024-12-23,109.49,-4.62,16.7,13.37,9.7,0.667,13,9,14,12.0,2.75,16.38,False,True,105.09,5.18,1.128,False,120.36,-9.03,0.16,-4.72,8.0,12.0,8702875.0,7718700.0,0.667,4523800.0,8716560.0,8116526.0,0.557,76.96,14,14,9,13.0,15,,True
CHTR,Communication Services,Charter Communications,2024-12-23,348.65,-12.17,6.88,16.62,6.99,0.667,21,14,13,17.3,3.87,7.47,False,False,370.23,11.95,0.906,False,415.27,-16.04,-1.17,-10.56,8.0,12.0,992550.0,1094933.0,0.667,544000.0,953510.0,1066906.0,0.51,69.06,15,19,14,16.4,18,,True
NWS,Communication Services,News Corp (Class B),2024-12-23,30.47,-4.08,10.44,8.81,6.0,0.667,12,12,15,12.6,40.0,6.25,False,False,30.49,4.91,1.183,False,32.54,-6.36,1.05,-2.96,7.0,13.0,739228.0,624738.0,0.538,468700.0,625750.0,611880.0,0.766,77.43,16,13,3,12.2,14,,True
ECHO,Communication Services,EchoStar,2024-12-23,22.57,-10.76,-19.51,26.73,5.8,0.333,20,23,8,18.5,-70.63,-883.95,False,False,24.12,9.52,1.008,False,30.08,-24.97,-0.18,-9.83,8.0,12.0,1375425.0,1364100.0,0.667,728300.0,1589260.0,1468613.0,0.496,71.68,17,18,16,17.2,19,,True
EA,Communication Services,Electronic Arts,2024-12-23,147.14,-9.5,2.52,6.57,1.54,0.667,17,18,16,17.1,,,,,,,,,,,,,,,,,,,,,,,18,20,20,,20,,False
NWSA,Communication Services,News Corp (Class A),2024-12-23,27.48,-5.32,4.87,1.18,0.48,0.667,15,17,19,16.4,40.0,6.25,False,False,27.98,5.27,1.379,False,29.7,-7.49,0.65,-4.34,9.0,11.0,2530544.0,1835636.0,0.818,1570300.0,2057160.0,2034000.0,0.772,84.06,19,9,2,11.6,13,剛爆發,True
PSKY,Communication Services,Paramount Skydance Corporation,2024-12-23,10.14,-3.72,-3.18,1.02,-1.21,0.333,11,19,20,15.2,-16.36,-15.38,False,False,10.52,12.1,1.074,False,15.03,-32.53,-1.7,-3.0,10.0,10.0,8687340.0,8086000.0,1.0,5766200.0,8792660.0,9118620.0,0.632,81.32,20,12,5,13.8,17,剛爆發,False
VZ,Communication Services,Verizon,2024-12-23,35.56,-9.97,-9.68,-0.08,-4.95,0.0,19,21,21,20.0,,,,,,,,,,,,,,,,,,,,,,,21,20,20,,20,,False
CMCSA,Communication Services,Comcast,2024-12-23,33.02,-12.18,-8.23,-1.62,-5.91,0.0,22,20,22,21.4,,,,,,,,,,,,,,,,,,,,,,,22,20,20,,20,,False
OMC,Communication Services,Omnicom Group,2024-12-23,81.66,-16.82,-15.08,-2.15,-9.05,0.0,23,22,23,22.7,,,,,,,,,,,,,,,,,,,,,,,23,20,20,,20,,False
TSLA,Consumer Discretionary,"Tesla, Inc.",2024-12-23,431.66,25.06,65.73,118.14,81.77,1.0,1,1,1,1.0,20.49,-16.15,False,True,338.59,16.41,0.835,False,488.54,-11.64,-1.03,29.67,13.0,7.0,84122438.0,100739385.0,1.857,82666800.0,102571320.0,99542106.0,0.83,100.0,1,1,3,1.4,1,,True
