sector,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,z_point,z_capital,cpd,cpd_quadrant
綠能環保,2026-08-31,2,143.56,50.0,1,2,-141.2,-70.6,3.52,-0.48,-4.01,⚠️ Price Leading
電子零組件業,2026-08-31,15,78.48,93.3,14,15,70903.4,4726.89,1.58,2.0,0.41,🚀 Confirmed
半導體業,2026-08-31,2,77.51,100.0,2,2,21467.6,10733.8,1.56,0.27,-1.28,🚀 Confirmed
塑膠工業,2026-08-31,3,65.71,100.0,3,3,3187.7,1062.57,1.2,-0.37,-1.57,⚠️ Price Leading
化學生技醫療,2026-08-31,2,49.43,100.0,2,2,5150.9,2575.45,0.72,-0.3,-1.02,⚠️ Price Leading
生技醫療業,2026-08-31,2,41.7,50.0,1,2,-916.5,-458.25,0.49,-0.51,-1.0,⚠️ Price Leading
電腦及週邊設備業,2026-08-31,14,33.99,92.9,13,14,114683.4,8191.67,0.26,3.53,3.27,🚀 Confirmed
油電燃氣業,2026-08-31,1,33.93,100.0,1,1,-1603.9,-1603.9,0.26,-0.53,-0.79,⚠️ Price Leading
電子工業,2026-08-31,53,33.04,71.7,38,53,62831.0,1185.49,0.23,1.72,1.48,🚀 Confirmed
金融保險,2026-08-31,19,21.9,68.4,13,19,28265.8,1487.67,-0.1,0.51,0.61,💰 Capital Leading
航運業,2026-08-31,5,18.34,60.0,3,5,51715.0,10343.0,-0.21,1.33,1.53,💰 Capital Leading
建材營造,2026-08-31,1,15.5,100.0,1,1,2029.7,2029.7,-0.29,-0.41,-0.12,❄️ Weak
其他電子業,2026-08-31,2,13.43,50.0,1,2,-4591.1,-2295.55,-0.35,-0.64,-0.29,❄️ Weak
電機機械,2026-08-31,9,11.78,77.8,7,9,-2727.5,-303.06,-0.4,-0.57,-0.17,❄️ Weak
電子通路業,2026-08-31,3,10.83,0.0,0,3,-8446.0,-2815.33,-0.43,-0.77,-0.34,❄️ Weak
鋼鐵工業,2026-08-31,2,10.69,100.0,2,2,5337.5,2668.75,-0.43,-0.29,0.14,❄️ Weak
其他,2026-08-31,2,9.94,100.0,2,2,1037.8,518.9,-0.46,-0.44,0.01,❄️ Weak
電器電纜,2026-08-31,1,8.12,100.0,1,1,6198.2,6198.2,-0.51,-0.26,0.25,❄️ Weak
食品工業,2026-08-31,2,4.72,100.0,2,2,10246.3,5123.15,-0.61,-0.12,0.49,❄️ Weak
橡膠工業,2026-08-31,1,3.06,100.0,1,1,-282.8,-282.8,-0.66,-0.49,0.17,❄️ Weak
玻璃陶瓷,2026-08-31,1,2.91,100.0,1,1,1856.9,1856.9,-0.67,-0.41,0.25,❄️ Weak
水泥工業,2026-08-31,2,2.58,100.0,2,2,890.4,445.2,-0.68,-0.45,0.23,❄️ Weak
居家生活,2026-08-31,1,1.3,0.0,0,1,243.9,243.9,-0.71,-0.47,0.24,❄️ Weak
汽車工業,2026-08-31,1,0.89,0.0,0,1,-121.7,-121.7,-0.73,-0.48,0.24,❄️ Weak
貿易百貨,2026-08-31,1,-0.2,0.0,0,1,1326.8,1326.8,-0.76,-0.43,0.33,❄️ Weak
紡織纖維,2026-08-31,2,-4.71,50.0,1,2,2137.3,1068.65,-0.89,-0.4,0.49,❄️ Weak
運動休閒,2026-08-31,1,-6.23,100.0,1,1,-1062.2,-1062.2,-0.94,-0.52,0.42,❄️ Weak
