supply_chain,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,node_count,resonance_pct,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
CCL / High-Speed Materials,2026-09-24,4,89.78,50.0,2,4,-17936.5,-4484.13,3,100.0,2.31,-0.42,-2.73,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
Display & Optical,2026-09-24,3,74.57,66.7,2,3,11063.6,3687.87,2,100.0,1.65,0.37,-1.27,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Passive Components,2026-09-24,2,60.07,0.0,0,2,-10658.5,-5329.25,2,100.0,1.02,-0.22,-1.24,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
AI / HPC Semiconductor,2026-09-24,9,59.48,77.8,7,9,110623.1,12291.46,8,100.0,0.99,3.11,2.12,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Biotech / Innovative Drug / CDMO,2026-09-24,1,50.9,0.0,0,1,-8119.1,-8119.1,1,,0.62,-0.15,-0.77,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
Thermal / Liquid Cooling,2026-09-24,4,49.65,75.0,3,4,102.1,25.52,2,100.0,0.57,0.07,-0.49,🚀 Confirmed,⚠️ Price Leading,⚠️ Price Leading → 🚀 Confirmed,ADVANCING,🚀 Confirmed
Advanced Packaging,2026-09-24,8,42.65,62.5,5,8,54360.2,6795.02,3,66.7,0.26,1.56,1.3,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
PCB / HDI / IC Substrate,2026-09-24,10,40.38,40.0,4,10,2920.5,292.05,7,100.0,0.16,0.15,-0.01,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
AI Server / ODM,2026-09-24,13,40.13,38.5,5,13,-79884.4,-6144.95,6,100.0,0.15,-2.13,-2.28,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
Semiconductor Equipment & Materials,2026-09-24,9,37.44,88.9,8,9,4324.4,480.49,7,100.0,0.04,0.19,0.15,🚀 Confirmed,❄️ Weak,❄️ Weak → 🚀 Confirmed,ADVANCING,🚀 Confirmed
Data Center Power / PSU,2026-09-24,4,31.22,50.0,2,4,-18929.0,-4732.25,4,100.0,-0.23,-0.45,-0.22,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Robotics / Automation,2026-09-24,3,30.22,33.3,1,3,1404.9,468.3,2,100.0,-0.28,0.11,0.39,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Shipping / Logistics,2026-09-24,4,24.72,100.0,4,4,8192.7,2048.17,2,100.0,-0.52,0.29,0.81,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Cloud / Data Center / Cybersecurity,2026-09-24,8,23.98,62.5,5,8,-25481.3,-3185.16,4,100.0,-0.55,-0.63,-0.08,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Memory / HBM,2026-09-24,5,23.81,40.0,2,5,-30484.5,-6096.9,5,80.0,-0.56,-0.77,-0.21,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
EV / Auto Electronics,2026-09-24,4,21.03,75.0,3,4,-19098.7,-4774.68,3,100.0,-0.68,-0.46,0.22,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Energy Storage / Battery,2026-09-24,1,20.56,100.0,1,1,-15718.5,-15718.5,1,,-0.7,-0.36,0.33,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Smart Grid / Transformer,2026-09-24,4,9.81,25.0,1,4,4799.1,1199.78,3,66.7,-1.16,0.2,1.37,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Optical Communication / AI Networking,2026-09-24,1,3.38,0.0,0,1,-20006.6,-20006.6,1,,-1.44,-0.48,0.96,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Steel,2026-09-24,1,-1.45,0.0,0,1,-2118.5,-2118.5,1,,-1.65,0.01,1.66,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
