supply_chain,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,node_count,resonance_pct,z_point,z_capital,cpd,cpd_quadrant
Environmental Infrastructure,2026-08-20,2,211.36,0.0,0,2,-772.8,-386.4,2,100.0,3.5,-0.01,-3.51,⚠️ Price Leading
Passive Components,2026-08-20,3,139.55,33.3,1,3,-69356.3,-23118.77,3,100.0,1.96,-2.0,-3.96,⚠️ Price Leading
CCL / High-Speed Materials,2026-08-20,6,96.58,100.0,6,6,3299.6,549.93,5,100.0,1.04,0.11,-0.93,🚀 Confirmed
Display & Optical,2026-08-20,4,56.91,75.0,3,4,-5674.1,-1418.53,2,100.0,0.19,-0.15,-0.34,⚠️ Price Leading
PCB / HDI / IC Substrate,2026-08-20,10,56.29,80.0,8,10,25764.1,2576.41,7,100.0,0.18,0.76,0.59,🚀 Confirmed
Advanced Packaging,2026-08-20,9,49.56,55.6,5,9,-30055.5,-3339.5,3,100.0,0.03,-0.86,-0.89,⚠️ Price Leading
Thermal / Liquid Cooling,2026-08-20,5,45.8,80.0,4,5,33062.7,6612.54,3,100.0,-0.05,0.98,1.02,💰 Capital Leading
Cloud / Data Center / Cybersecurity,2026-08-20,5,37.76,40.0,2,5,-6846.5,-1369.3,3,100.0,-0.22,-0.18,0.04,❄️ Weak
AI / HPC Semiconductor,2026-08-20,9,35.77,55.6,5,9,-53133.7,-5903.74,8,100.0,-0.26,-1.53,-1.26,❄️ Weak
Memory / HBM,2026-08-20,7,33.83,85.7,6,7,64889.9,9269.99,6,100.0,-0.3,1.9,2.21,💰 Capital Leading
AI Server / ODM,2026-08-20,22,33.81,68.2,15,22,58968.3,2680.38,15,93.3,-0.31,1.73,2.03,💰 Capital Leading
Robotics / Automation,2026-08-20,6,33.68,83.3,5,6,10167.7,1694.62,3,100.0,-0.31,0.31,0.62,💰 Capital Leading
Biotech / Innovative Drug / CDMO,2026-08-20,2,32.64,100.0,2,2,1930.7,965.35,2,50.0,-0.33,0.07,0.4,💰 Capital Leading
Semiconductor Equipment & Materials,2026-08-20,14,32.53,35.7,5,14,-14969.7,-1069.26,10,100.0,-0.33,-0.42,-0.09,❄️ Weak
Optical Communication / AI Networking,2026-08-20,6,30.58,50.0,3,6,-8111.3,-1351.88,5,100.0,-0.37,-0.22,0.15,❄️ Weak
EV / Auto Electronics,2026-08-20,4,28.5,75.0,3,4,-43121.5,-10780.38,3,100.0,-0.42,-1.24,-0.82,❄️ Weak
Data Center Power / PSU,2026-08-20,5,26.68,60.0,3,5,-18915.1,-3783.02,5,80.0,-0.46,-0.53,-0.08,❄️ Weak
Solar / Wind Renewable,2026-08-20,1,22.98,100.0,1,1,648.2,648.2,1,,-0.54,0.03,0.57,💰 Capital Leading
Shipping / Logistics,2026-08-20,5,22.31,80.0,4,5,57469.9,11493.98,2,100.0,-0.55,1.68,2.24,💰 Capital Leading
Steel,2026-08-20,2,13.02,100.0,2,2,7785.9,3892.95,2,50.0,-0.75,0.24,0.99,💰 Capital Leading
Smart Grid / Transformer,2026-08-20,6,9.43,83.3,5,6,3961.8,660.3,3,66.7,-0.83,0.13,0.96,💰 Capital Leading
Energy Storage / Battery,2026-08-20,3,7.6,66.7,2,3,-29018.1,-9672.7,3,66.7,-0.87,-0.83,0.04,❄️ Weak
