supply_chain,as_of_date,stock_count,point,breadth_pct,breadth_up,breadth_total,inst_net_20d_est_NTD_M,inst_net_20d_est_NTD_M_per_stock,node_count,resonance_pct,z_point,z_capital,cpd,cpd_quadrant,prev_cpd_quadrant,transition_label,transition_dir,market_state
CCL / High-Speed Materials,2026-09-10,4,111.21,75.0,3,4,-2265.5,-566.38,3,100.0,2.55,0.19,-2.35,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Display & Optical,2026-09-10,3,78.9,66.7,2,3,10782.5,3594.17,2,100.0,1.37,0.57,-0.8,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🔥 Overheated
Biotech / Innovative Drug / CDMO,2026-09-10,1,71.12,0.0,0,1,-6397.4,-6397.4,1,,1.08,0.08,-1.01,🚀 Confirmed,⚠️ Price Leading,⚠️ Price Leading → 🚀 Confirmed,ADVANCING,🚀 Confirmed
Passive Components,2026-09-10,2,70.11,50.0,1,2,-38337.7,-19168.85,2,100.0,1.05,-0.83,-1.88,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
AI / HPC Semiconductor,2026-09-10,9,55.41,77.8,7,9,37259.8,4139.98,8,100.0,0.51,1.32,0.81,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
PCB / HDI / IC Substrate,2026-09-10,10,52.14,50.0,5,10,20808.2,2080.82,7,100.0,0.39,0.85,0.46,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Thermal / Liquid Cooling,2026-09-10,4,50.29,50.0,2,4,-13001.2,-3250.3,2,100.0,0.32,-0.11,-0.43,⚠️ Price Leading,🚀 Confirmed,🚀 Confirmed → ⚠️ Price Leading,REVERSING,⚠️ Price Leading
Advanced Packaging,2026-09-10,8,50.14,62.5,5,8,53158.3,6644.79,3,100.0,0.32,1.77,1.46,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🚀 Confirmed
Memory / HBM,2026-09-10,5,47.77,40.0,2,5,-8242.2,-1648.44,5,100.0,0.23,0.02,-0.21,🚀 Confirmed,🚀 Confirmed,🚀 Confirmed（持平）,STEADY,🔥 Overheated
AI Server / ODM,2026-09-10,13,43.84,30.8,4,13,-92498.0,-7115.23,6,100.0,0.09,-2.38,-2.47,⚠️ Price Leading,⚠️ Price Leading,⚠️ Price Leading（持平）,STEADY,⚠️ Price Leading
Data Center Power / PSU,2026-09-10,4,35.25,25.0,1,4,-43790.8,-10947.7,4,100.0,-0.23,-0.99,-0.76,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Semiconductor Equipment & Materials,2026-09-10,8,35.21,12.5,1,8,-6517.8,-814.73,6,83.3,-0.23,0.07,0.3,💰 Capital Leading,❄️ Weak,❄️ Weak → 💰 Capital Leading,ADVANCING,💰 Capital Leading
Robotics / Automation,2026-09-10,4,30.38,0.0,0,4,514.3,128.57,3,100.0,-0.4,0.27,0.68,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Cloud / Data Center / Cybersecurity,2026-09-10,8,22.09,62.5,5,8,-23267.9,-2908.49,4,100.0,-0.71,-0.4,0.3,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Shipping / Logistics,2026-09-10,4,19.48,100.0,4,4,44395.9,11098.97,2,100.0,-0.8,1.52,2.33,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
EV / Auto Electronics,2026-09-10,4,15.49,25.0,1,4,-56700.7,-14175.17,3,100.0,-0.95,-1.36,-0.41,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Optical Communication / AI Networking,2026-09-10,1,14.88,0.0,0,1,-17143.6,-17143.6,1,,-0.97,-0.23,0.74,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Smart Grid / Transformer,2026-09-10,4,13.44,25.0,1,4,3466.2,866.55,3,100.0,-1.02,0.36,1.38,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
Energy Storage / Battery,2026-09-10,1,10.71,0.0,0,1,-44259.0,-44259.0,1,,-1.12,-1.0,0.12,❄️ Weak,❄️ Weak,❄️ Weak（持平）,STEADY,❄️ Weak
Steel,2026-09-10,1,1.34,100.0,1,1,344.7,344.7,1,,-1.46,0.27,1.73,💰 Capital Leading,💰 Capital Leading,💰 Capital Leading（持平）,STEADY,💰 Capital Leading
