symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
META,Communication Services,Meta Platforms,2025-06-23,731.23,13.39,27.3,22.51,21.43,1.0,3,2,6,3.3,23.11,18.67,False,True,629.77,8.06,1.211,False,737.27,-0.82,7.52,13.82,10.0,10.0,13998140.0,11561430.0,1.0,18775700.0,13263190.0,12325893.0,1.523,97.49,3,9,7,6.2,6,吃老本
ECHO,Communication Services,EchoStar,2025-06-23,28.81,62.49,15.29,27.65,33.27,1.0,1,8,3,3.5,17.98,348.59,False,True,21.64,50.61,0.926,False,32.48,-11.3,14.69,42.84,13.0,7.0,5827423.0,6291257.0,1.857,9332500.0,5790290.0,5366313.0,1.739,100.0,2,1,5,2.2,1,
NFLX,Communication Services,Netflix,2025-06-23,132.31,9.6,41.68,45.79,35.72,1.0,6,1,1,3.5,16.82,1.41,False,True,117.39,10.32,1.203,False,133.13,-0.62,7.45,11.67,12.0,8.0,30249416.0,25139750.0,1.5,40709000.0,27998300.0,27919800.0,1.458,100.0,1,1,8,2.4,2,
RCL,Consumer Discretionary,Royal Caribbean Group,2025-06-23,304.31,20.79,49.52,33.84,34.5,1.0,1,2,3,1.7,7.02,9.0,False,True,241.91,19.96,1.788,False,305.65,-0.44,13.63,21.99,13.0,7.0,3305184.0,1848371.0,1.857,12060600.0,3550300.0,3006446.0,4.012,100.0,2,1,2,1.6,1,
DASH,Consumer Discretionary,DoorDash,2025-06-23,242.32,16.13,32.7,43.09,33.75,1.0,4,4,2,3.6,14.56,-0.57,False,True,204.75,12.98,1.2,False,242.63,-0.13,9.91,18.45,13.0,7.0,4439215.0,3698714.0,1.857,7324600.0,4634400.0,4077380.0,1.796,100.0,3,1,13,4.2,3,
CCL,Consumer Discretionary,Carnival Corporation,2025-06-23,26.97,17.4,37.19,8.69,17.99,1.0,3,3,15,5.4,45.31,485.06,False,True,21.8,21.34,1.197,False,28.41,-5.08,14.68,17.7,13.0,7.0,29540392.0,24678571.0,1.857,46846200.0,35545100.0,29879906.0,1.568,100.0,6,1,15,5.8,5,
DG,Consumer Staples,Dollar General,2025-06-23,111.6,17.69,33.78,52.97,39.35,1.0,2,2,1,1.8,19.57,-41.96,False,True,98.57,4.84,1.475,False,129.31,-13.69,2.64,17.9,8.0,12.0,5106412.0,3462925.0,0.667,3326500.0,3150800.0,3090333.0,1.076,97.6,1,4,15,5.0,2,
DLTR,Consumer Staples,Dollar Tree,2025-06-23,98.7,9.35,35.67,29.89,26.2,1.0,4,1,3,2.9,4.51,4.15,False,True,89.2,6.89,1.131,False,109.36,-9.75,-0.01,8.96,9.0,11.0,5435644.0,4806109.0,0.818,5092500.0,3797840.0,3752340.0,1.357,87.44,3,11,7,7.0,4,吃老本
EL,Consumer Staples,Estée Lauder Companies (The),2025-06-23,78.93,19.64,23.05,8.4,14.87,1.0,1,3,10,3.4,108.8,93.85,False,True,64.51,21.5,1.231,False,111.67,-29.31,6.52,17.23,12.0,8.0,5004800.0,4066400.0,1.5,10753400.0,6022940.0,5046260.0,2.131,100.0,5,1,2,2.8,1,
EQT,Energy,EQT Corporation,2025-06-23,57.63,5.77,10.32,32.35,20.2,1.0,7,2,1,4.3,16.57,31.27,False,True,54.06,11.39,1.049,False,60.31,-4.44,-3.52,5.31,11.0,9.0,7437690.0,7089911.0,1.222,10530900.0,8396760.0,7531633.0,1.398,88.47,1,9,7,5.4,3,吃老本
