ticker,stock_name,supply_chain,as_of_date,chain_point,chain_z_point,chain_state,stock_point,stock_z_in_chain,chain_size,price_lag,early_flag
1802,台玻,CCL / High-Speed Materials,2026-09-18,68.02,2.1,⚠️ Price Leading,-7.56,-1.15,4,3.25,
2383,台光電,CCL / High-Speed Materials,2026-09-18,68.02,2.1,⚠️ Price Leading,34.67,-0.51,4,2.61,
3481,群創,Display & Optical,2026-09-18,61.75,1.77,🚀 Confirmed,33.92,-0.83,3,2.6,🎯 EARLY
3661,世芯-KY,AI / HPC Semiconductor,2026-09-18,47.89,1.04,🚀 Confirmed,0.42,-1.08,9,2.12,🎯 EARLY
2409,友達,Display & Optical,2026-09-18,61.75,1.77,🚀 Confirmed,52.07,-0.29,3,2.06,🎯 EARLY
2308,台達電,Thermal / Liquid Cooling,2026-09-18,36.02,0.41,🚀 Confirmed,5.73,-1.4,4,1.81,🎯 EARLY
6789,采鈺,AI / HPC Semiconductor,2026-09-18,47.89,1.04,🚀 Confirmed,16.45,-0.72,9,1.76,🎯 EARLY
2330,台積電,AI / HPC Semiconductor,2026-09-18,47.89,1.04,🚀 Confirmed,16.69,-0.71,9,1.75,🎯 EARLY
3533,嘉澤,PCB / HDI / IC Substrate,2026-09-18,31.27,0.16,⚠️ Price Leading,-13.65,-1.51,10,1.67,
2379,瑞昱,AI / HPC Semiconductor,2026-09-18,47.89,1.04,🚀 Confirmed,25.62,-0.51,9,1.55,🎯 EARLY
6515,穎崴,Advanced Packaging,2026-09-18,30.82,0.14,🚀 Confirmed,-7.73,-1.39,8,1.53,🎯 EARLY
3034,聯詠,AI / HPC Semiconductor,2026-09-18,47.89,1.04,🚀 Confirmed,27.91,-0.46,9,1.5,🎯 EARLY
1303,南亞,CCL / High-Speed Materials,2026-09-18,68.02,2.1,⚠️ Price Leading,112.11,0.67,4,1.43,
6531,愛普*,AI / HPC Semiconductor,2026-09-18,47.89,1.04,🚀 Confirmed,34.36,-0.31,9,1.35,🎯 EARLY
2313,華通,PCB / HDI / IC Substrate,2026-09-18,31.27,0.16,⚠️ Price Leading,-2.31,-1.13,10,1.29,
2368,金像電,PCB / HDI / IC Substrate,2026-09-18,31.27,0.16,⚠️ Price Leading,1.32,-1.01,10,1.17,
6213,聯茂,CCL / High-Speed Materials,2026-09-18,68.02,2.1,⚠️ Price Leading,132.84,0.99,4,1.11,
2308,台達電,Data Center Power / PSU,2026-09-18,24.8,-0.18,❄️ Weak,5.73,-1.25,4,1.07,
2449,京元電子,Advanced Packaging,2026-09-18,30.82,0.14,🚀 Confirmed,5.4,-0.92,8,1.06,🎯 EARLY
2324,仁寶,AI Server / ODM,2026-09-18,34.66,0.34,⚠️ Price Leading,8.45,-0.71,13,1.05,
2317,鴻海,AI Server / ODM,2026-09-18,34.66,0.34,⚠️ Price Leading,10.58,-0.65,13,0.99,
2382,廣達,AI Server / ODM,2026-09-18,34.66,0.34,⚠️ Price Leading,11.79,-0.62,13,0.96,
3036,文曄,Semiconductor Equipment & Materials,2026-09-18,28.6,0.02,⚠️ Price Leading,-9.19,-0.94,8,0.96,
4938,和碩,AI Server / ODM,2026-09-18,34.66,0.34,⚠️ Price Leading,13.15,-0.58,13,0.92,
2356,英業達,AI Server / ODM,2026-09-18,34.66,0.34,⚠️ Price Leading,19.21,-0.42,13,0.76,
3665,貿聯-KY,AI Server / ODM,2026-09-18,34.66,0.34,⚠️ Price Leading,19.02,-0.42,13,0.76,
2337,旺宏,Memory / HBM,2026-09-18,18.01,-0.54,💰 Capital Leading,-12.94,-1.24,5,0.7,🎯 EARLY
3008,大立光,Display & Optical,2026-09-18,61.75,1.77,🚀 Confirmed,99.26,1.11,3,0.66,
2330,台積電,Advanced Packaging,2026-09-18,30.82,0.14,🚀 Confirmed,16.69,-0.51,8,0.65,🎯 EARLY
6239,力成,Advanced Packaging,2026-09-18,30.82,0.14,🚀 Confirmed,17.63,-0.48,8,0.62,🎯 EARLY
2376,技嘉,AI Server / ODM,2026-09-18,34.66,0.34,⚠️ Price Leading,27.71,-0.19,13,0.53,
3231,緯創,AI Server / ODM,2026-09-18,34.66,0.34,⚠️ Price Leading,28.45,-0.17,13,0.51,
2347,聯強,Semiconductor Equipment & Materials,2026-09-18,28.6,0.02,⚠️ Price Leading,11.83,-0.42,8,0.44,
