symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert,earnings_passed
META,Communication Services,Meta Platforms,2023-08-21,283.01,-12.28,8.95,67.56,32.95,0.667,21,8,1,13.1,2.51,11.2,False,False,295.45,11.27,0.92,False,323.36,-12.48,0.79,-12.28,6.0,14.0,17920616.0,19482221.0,0.429,23701400.0,19862220.0,18560213.0,1.277,65.47,1,21,3,9.4,9,吃老本,True
GOOG,Communication Services,Alphabet Inc. (Class C),2023-08-21,129.55,-1.74,4.19,46.27,23.75,0.667,6,12,2,7.0,7.29,9.45,False,True,124.66,6.12,1.026,False,133.79,-3.17,2.01,-1.74,10.0,10.0,19465260.0,18979390.0,1.0,20678100.0,20040110.0,19044300.0,1.086,82.71,2,6,6,4.4,1,,True
GOOGL,Communication Services,Alphabet Inc. (Class A),2023-08-21,128.74,-2.04,4.23,45.72,23.41,0.667,8,11,3,7.9,7.23,9.52,False,True,124.09,6.07,1.017,False,133.07,-3.26,1.9,-2.04,10.0,10.0,25177720.0,24761880.0,1.0,26762900.0,26402040.0,25044246.0,1.069,82.33,3,7,7,5.4,4,,True
TKO,Communication Services,TKO Group Holdings,2023-08-21,107.28,7.35,13.71,32.88,21.7,1.0,2,4,5,3.2,,,False,True,101.82,8.44,1.306,False,111.39,-3.69,1.21,7.35,10.0,9.0,599370.0,458811.0,1.111,350000.0,461380.0,496693.0,0.705,94.42,4,2,16,5.6,5,,False
TTD,Communication Services,Trade Desk (The),2023-08-21,75.91,-16.08,12.18,38.09,18.07,0.667,23,5,4,13.8,8.51,87.86,False,False,80.24,12.24,0.731,False,91.85,-17.35,5.17,-16.08,9.0,11.0,3168066.0,4332381.0,0.818,2439600.0,3186870.0,4092406.0,0.596,67.49,5,20,20,14.0,15,吃老本,True
NFLX,Communication Services,Netflix,2023-08-21,41.6,-2.29,9.81,31.18,17.47,0.667,9,7,6,7.8,15.36,0.46,False,False,43.12,9.37,1.148,False,48.5,-14.22,2.84,-2.29,11.0,9.0,52570272.0,45799666.0,1.222,53909000.0,48359400.0,46766666.0,1.153,88.18,6,4,5,5.0,2,,True
CMCSA,Communication Services,Comcast,2023-08-21,38.18,0.53,15.98,24.71,16.48,1.0,5,2,8,4.7,15.51,10.92,False,True,36.46,5.01,0.965,False,39.85,-4.19,-0.63,0.53,10.0,10.0,16215039.0,16810083.0,1.0,13925737.0,17008822.0,16841741.0,0.827,81.95,7,9,12,8.8,7,,True
NWS,Communication Services,News Corp (Class B),2023-08-21,20.74,7.83,13.73,21.15,15.97,1.0,1,3,10,3.4,100.0,125.0,False,True,19.81,6.14,0.92,False,21.62,-4.07,0.05,7.83,12.0,7.0,879275.0,956100.0,1.714,865600.0,811170.0,911920.0,0.949,96.53,8,1,8,5.2,3,剛爆發,True
NWSA,Communication Services,News Corp (Class A),2023-08-21,20.26,7.02,11.87,19.69,14.57,1.0,3,6,11,5.5,100.0,125.0,False,True,19.48,6.18,1.204,False,21.14,-4.2,-0.1,7.02,11.0,9.0,2974818.0,2469944.0,1.222,1886000.0,2496230.0,2833466.0,0.666,93.58,9,3,17,8.2,6,剛爆發,True
TTWO,Communication Services,Take-Two Interactive,2023-08-21,141.42,-6.72,1.76,29.39,13.45,0.667,19,16,7,15.7,-13.66,-190.49,False,False,144.9,7.01,0.768,False,153.84,-8.07,2.88,-6.72,8.0,12.0,1269487.0,1652916.0,0.667,1419200.0,1234300.0,1599520.0,0.887,70.56,10,17,9,12.6,10,吃老本,True
CHTR,Communication Services,Charter Communications,2023-08-21,416.78,5.04,26.2,11.2,13.41,1.0,4,1,12,4.7,-0.61,-12.49,False,True,389.59,4.76,0.891,False,467.92,-10.93,-0.88,5.04,11.0,9.0,1135209.0,1273788.0,1.222,939300.0,1290420.0,1150860.0,0.816,86.6,11,5,13,9.0,8,剛爆發,True
LYV,Communication Services,Live Nation Entertainment,2023-08-21,84.79,-5.08,3.21,23.28,11.17,0.667,16,14,9,14.0,38.44,128.69,False,False,89.85,5.04,0.947,False,101.74,-16.66,0.47,-5.08,6.0,14.0,1763750.0,1863207.0,0.429,1076800.0,1023830.0,1283360.0,0.839,70.13,12,19,11,14.6,16,吃老本,True
EA,Communication Services,Electronic Arts,2023-08-21,117.93,-13.17,-5.47,9.39,0.03,0.333,22,20,13,19.6,35.41,-109.55,False,False,127.01,4.78,0.794,False,138.23,-14.69,1.12,-13.17,6.0,14.0,1855266.0,2336857.0,0.429,1308900.0,1625440.0,1820526.0,0.719,62.87,13,22,15,17.0,21,吃老本,True
FOX,Communication Services,Fox Corporation (Class B),2023-08-21,28.94,-3.12,3.08,-8.1,-4.06,0.333,12,15,15,13.5,22.22,9.3,False,False,30.18,7.89,1.014,False,32.78,-11.73,-3.64,-3.12,9.0,11.0,1038666.0,1023890.0,0.818,635200.0,922580.0,1064266.0,0.597,76.7,14,16,19,15.8,19,,True
FOXA,Communication Services,Fox Corporation (Class A),2023-08-21,31.22,-2.44,3.28,-9.0,-4.29,0.333,11,13,16,12.6,22.46,7.33,False,False,32.31,7.16,1.166,False,35.62,-12.35,-3.05,-2.44,9.0,11.0,4559766.0,3911763.0,0.818,2357500.0,3493680.0,4584126.0,0.514,79.99,15,11,21,14.6,16,,True
TMUS,Communication Services,T-Mobile US,2023-08-21,127.52,-5.34,-1.33,-7.66,-5.5,0.0,17,17,14,16.4,8.57,6.84,False,False,131.3,6.18,0.927,False,147.63,-13.62,-2.05,-5.34,7.0,13.0,3593614.0,3877915.0,0.538,5732600.0,3866810.0,3663180.0,1.565,70.27,16,18,1,13.8,14,,True
VZ,Communication Services,Verizon,2023-08-21,27.27,-2.0,-3.01,-10.92,-6.71,0.0,7,19,17,12.6,3.77,0.56,False,False,27.97,2.62,0.95,False,34.07,-19.96,0.51,-2.0,10.0,10.0,19911600.0,20954430.0,1.0,14912100.0,18974470.0,19422606.0,0.768,80.64,17,10,14,13.6,12,剛爆發,True
ECHO,Communication Services,EchoStar,2023-08-21,17.35,-9.73,6.25,-14.78,-8.26,0.333,20,10,19,16.8,-35.67,20.35,False,False,19.07,32.15,1.912,False,24.8,-30.04,-11.66,-9.73,5.0,15.0,1487340.0,777800.0,0.333,434100.0,863720.0,1213173.0,0.358,77.96,18,15,22,17.6,22,,False
OMC,Communication Services,Omnicom Group,2023-08-21,71.91,-3.26,-10.56,-11.48,-9.19,0.0,14,23,18,17.5,-0.06,11.98,False,False,78.82,3.57,1.355,False,89.35,-19.52,-0.06,-3.26,7.0,13.0,1929428.0,1423861.0,0.538,1557100.0,1179770.0,1304880.0,1.193,79.81,19,12,4,13.2,11,剛爆發,False
WBD,Communication Services,Warner Bros. Discovery,2023-08-21,12.27,-4.07,7.26,-21.09,-9.75,0.333,15,9,21,14.4,-25.31,-107.64,False,False,12.88,14.47,1.429,False,16.34,-24.91,-3.99,-4.07,7.0,12.0,20156385.0,14100450.0,0.583,18874000.0,11713040.0,14113093.0,1.337,79.73,20,13,2,13.6,12,剛爆發,True
DIS,Communication Services,Walt Disney Company (The),2023-08-21,80.82,-3.22,-5.58,-16.89,-10.64,0.0,13,21,20,16.8,6.77,-0.91,False,False,85.06,7.98,1.092,False,119.38,-32.3,-3.02,-3.22,9.0,11.0,18487066.0,16922654.0,0.818,16050900.0,13831560.0,18475700.0,0.869,78.25,21,14,10,16.0,20,剛爆發,True
T,Communication Services,AT&T,2023-08-21,12.05,-2.35,-7.34,-24.3,-14.57,0.0,10,22,22,16.0,4.56,2.1,False,False,12.58,3.18,1.206,False,17.81,-32.35,0.43,-2.35,9.0,11.0,39438333.0,32693663.0,0.818,22107700.0,32327740.0,33280506.0,0.664,82.14,22,8,18,15.6,18,剛爆發,True
PSKY,Communication Services,Paramount Skydance Corporation,2023-08-21,13.73,-5.81,-2.86,-34.26,-19.3,0.0,18,18,23,19.0,,,,,,,,,,,,,,,,,,,,,,,23,23,23,,23,,False
CVNA,Consumer Discretionary,Carvana,2023-08-21,8.24,-6.41,250.94,414.36,268.31,0.667,25,1,1,13.0,48.06,19.6,False,True,7.41,13.44,1.245,False,11.44,-27.96,5.08,-6.41,8.0,12.0,67207875.0,53981500.0,0.667,52867500.0,39709150.0,46872166.0,1.128,79.97,1,12,6,6.4,3,吃老本,True
CCL,Consumer Discretionary,Carnival Corporation,2023-08-21,15.73,-14.01,40.96,50.14,31.81,0.667,43,2,2,22.5,8.14,8.83,False,False,17.07,9.11,0.958,False,19.34,-18.67,1.99,-14.01,7.0,13.0,23892928.0,24932546.0,0.538,19060500.0,22319430.0,23167600.0,0.823,67.24,2,24,20,14.4,14,吃老本,True
RCL,Consumer Discretionary,Royal Caribbean Group,2023-08-21,97.02,-8.11,26.29,42.18,25.64,0.667,27,4,5,15.7,14.85,66.76,False,False,98.89,6.7,0.976,False,109.84,-11.67,0.57,-8.11,8.0,12.0,2486025.0,2547225.0,0.667,2328000.0,2400440.0,2316560.0,1.005,72.45,3,19,13,11.4,7,吃老本,True
PHM,Consumer Discretionary,PulteGroup,2023-08-21,75.41,-9.02,17.41,44.75,24.47,0.667,30,9,3,18.3,28.61,30.09,False,False,78.15,12.75,0.934,False,84.2,-10.43,-2.69,-9.02,9.0,11.0,2123322.0,2274018.0,0.818,2898900.0,2464520.0,2202233.0,1.316,72.13,4,21,3,10.6,5,吃老本,True
AMZN,Consumer Discretionary,Amazon,2023-08-21,133.26,0.79,10.95,42.52,24.2,1.0,5,19,4,9.0,91.19,46.82,False,True,131.97,7.93,1.453,False,143.63,-7.22,0.03,0.79,9.0,11.0,65477377.0,45056418.0,0.818,44147500.0,43340060.0,47211713.0,0.935,88.19,5,3,15,6.2,2,,True
DASH,Consumer Discretionary,DoorDash,2023-08-21,78.02,-12.97,15.69,41.62,21.49,0.667,41,14,6,25.9,-2.65,27.23,False,False,80.23,7.33,0.639,False,92.61,-15.75,0.26,-12.97,8.0,12.0,2782487.0,4354208.0,0.667,2322800.0,2943340.0,3069420.0,0.757,63.5,6,25,23,17.0,21,吃老本,False
HAS,Consumer Discretionary,Hasbro,2023-08-21,62.0,12.39,17.31,26.38,20.61,1.0,1,10,11,5.7,-14.47,-77.31,False,True,56.65,11.57,1.666,False,71.56,-13.35,9.28,12.39,10.0,10.0,2511670.0,1507480.0,1.0,3366300.0,1711560.0,1574980.0,2.137,100.0,7,1,1,3.4,1,剛爆發,True
DPZ,Consumer Discretionary,Domino's,2023-08-21,363.5,-5.03,27.49,29.02,20.12,0.667,21,3,8,13.0,0.36,7.36,False,True,354.05,5.77,1.074,False,392.74,-7.44,0.5,-5.03,8.0,12.0,417100.0,388475.0,0.667,383500.0,350250.0,359900.0,1.066,75.97,8,17,10,12.0,8,吃老本,True
DECK,Consumer Discretionary,Deckers Brands,2023-08-21,86.92,-2.35,12.11,30.31,17.6,0.667,13,16,7,12.7,9.02,28.65,False,False,89.83,8.1,0.937,False,94.75,-8.26,-6.42,-2.35,8.0,12.0,1771125.0,1891000.0,0.667,1857600.0,1734420.0,1739720.0,1.068,72.41,9,20,8,13.2,9,吃老本,True
BKNG,Consumer Discretionary,Booking Holdings,2023-08-21,119.17,1.0,17.42,24.06,16.64,1.0,4,8,12,6.8,29.01,8.0,False,True,113.77,7.36,1.149,False,127.36,-6.43,-0.52,1.0,7.0,13.0,8837500.0,7691538.0,0.538,4937500.0,5676750.0,6478166.0,0.762,78.58,10,13,21,13.4,10,,True
TSLA,Consumer Discretionary,"Tesla, Inc.",2023-08-21,238.59,-10.45,23.51,21.19,13.86,0.667,33,6,13,20.9,11.12,-0.43,False,False,257.42,12.36,1.054,False,313.8,-23.97,10.72,-10.45,7.0,13.0,109355028.0,103760276.0,0.538,106612200.0,112988510.0,109850580.0,0.971,74.54,11,18,14,14.4,14,吃老本,True
WSM,Consumer Discretionary,"Williams-Sonoma, Inc.",2023-08-21,66.98,-0.14,24.49,14.28,13.23,0.667,8,5,19,9.3,17.34,-1.66,False,True,62.27,15.97,1.229,False,79.23,-15.46,4.5,-0.14,7.0,13.0,2904028.0,2362246.0,0.538,3046800.0,3516820.0,2853200.0,1.068,81.31,12,10,8,10.4,4,,True
MAR,Consumer Discretionary,Marriott International,2023-08-21,194.65,0.34,16.61,17.96,13.22,1.0,6,11,17,9.7,3.97,13.13,False,True,187.56,5.05,1.046,False,205.04,-5.06,-1.14,0.34,10.0,10.0,2396040.0,2290990.0,1.0,1510400.0,2115080.0,2158853.0,0.7,83.05,13,8,26,13.6,13,,True
DHI,Consumer Discretionary,D. R. Horton,2023-08-21,111.74,-9.7,7.93,26.63,12.87,0.667,31,22,10,24.1,39.71,42.37,False,False,119.07,12.97,0.913,False,128.35,-12.94,-2.02,-9.7,9.0,11.0,2562722.0,2805918.0,0.818,3535900.0,3146300.0,2765660.0,1.279,71.63,14,22,4,15.2,18,吃老本,True
TJX,Consumer Discretionary,TJX Companies,2023-08-21,85.69,2.66,15.8,16.0,12.62,1.0,3,13,18,9.0,9.05,6.51,False,True,82.15,5.49,1.222,False,87.12,-1.64,-0.78,2.66,9.0,11.0,5906955.0,4835327.0,0.818,4277800.0,6780250.0,5986713.0,0.715,84.94,15,6,25,13.4,10,剛爆發,True
CMG,Consumer Discretionary,Chipotle Mexican Grill,2023-08-21,37.54,-1.87,-9.38,27.09,10.73,0.333,11,46,9,21.1,2.98,17.28,False,False,39.91,3.43,0.956,False,43.5,-13.71,1.49,-1.87,9.0,11.0,12122222.0,12678636.0,0.818,8205000.0,10907000.0,10809000.0,0.759,78.48,16,14,22,16.4,19,,True
