sector,sector_name,sector_name_en,as_of_date,t_price,p4w,p13w,p26w,ret_4w,ret_13w,ret_26w,point,di,vol_10d_avg,vol_today,vol_3w_avg,vol_ratio,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,vp_ratio,ud_ratio,vp_score,flow_30d_net_M,flow_30d_gross_M,flow_ratio,flow_up_ratio,dist_20ma_pct,dist_50ma_pct,rsi14_sector,position_20d,resistance_20d,support_20d,ret_4w_rank,ret_13w_rank,ret_26w_rank,point_rank,vol_rank,vp_score_rank,flow_rank,cms_a,cms_a_rank,composite,composite_rank,gap_alert,pct_30d,n_30d,acc_pct_30d,pct_90d,n_90d,acc_pct_90d,pct_365d,n_365d,acc_pct_365d,breadth_pct,breadth_up,breadth_total,breadth_source_date,breadth_30d_up,breadth_30d_down,breadth_30d_ratio,point_5d_avg,acceleration,quadrant,quadrant_zh,quadrant_desc,consecutive_pos_days,health_key,health_emoji,health_zh,health_desc
XLE,能源,Energy,2026-09-02,65.1,58.16,57.54,55.16,11.93,13.13,18.02,15.28,1.0,26496620,27393300,25654406,1.068,4.28,13.59,14,6,25371421,25742666,0.986,2.333,100.0,12270.2,49901.2,0.246,0.633,4.63,10.75,71.7,100.0,65.1,57.5,1,2,2,1,7,1,1,1.5,1,2.2,1,,90.0,10,,91.7,12,,92.3,13,,95.2,20,21,2026-09-01,45,13,77.6,12.96,2.32,leading,領先,資金持續流入、動能未退,16,sweet_spot,✨,甜蜜點,強而未累 · 仍在加速 · 順勢區間
XLV,醫療保健,Health Care,2026-09-02,172.95,164.45,145.76,158.84,5.17,18.66,8.88,10.4,1.0,7178340,7805000,7655420,1.02,-0.34,5.35,11,9,8433409,6698422,1.259,1.222,93.44,4100.7,44156.2,0.093,0.533,1.39,4.81,60.62,75.7,175.68,164.45,2,1,4,3,8,2,2,2.1,2,3.6,2,,66.7,9,,72.7,11,,66.7,12,,71.2,42,59,2026-09-01,75,10,88.2,10.24,0.16,leading,領先,資金持續流入、動能未退,13,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLB,材料,Materials,2026-09-02,52.95,52.64,50.73,52.57,0.59,4.38,0.73,1.6,1.0,11105410,12846600,10280880,1.25,-1.18,1.83,10,9,11410780,9938355,1.148,1.111,87.39,2322.4,17622.2,0.132,0.533,0.3,2.35,54.09,61.9,53.67,51.78,4,5,6,5,4,3,6,4.7,4,4.0,3,,40.0,10,,41.7,12,,38.5,13,,36.0,9,25,2026-09-01,49,10,83.1,2.07,-0.47,weakening,減弱,高位但動能見頂,1,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLF,金融,Financials,2026-09-02,57.66,57.81,51.28,50.99,-0.26,12.44,13.08,9.59,0.667,27333770,31321800,28755713,1.089,-1.03,-0.59,9,11,25785655,28380472,0.909,0.818,77.41,2425.2,50390.1,0.048,0.533,-0.24,1.75,52.77,52.2,58.31,56.95,6,3,3,4,6,7,5,4.5,3,5.6,4,,60.0,10,,66.7,12,,69.2,13,,35.5,27,76,2026-09-01,87,9,90.6,9.74,-0.15,weakening,減弱,高位但動能見頂,20,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLC,通訊服務,Communication Services,2026-09-02,112.42,110.87,115.31,116.05,1.4,-2.51,-3.13,-1.84,0.333,4057260,5123100,4153566,1.233,-0.67,0.34,11,9,3960472,4358455,0.909,1.222,84.17,891.8,16819.0,0.053,0.567,0.77,2.01,54.76,73.9,113.18,110.27,3,9,10,8,5,4,8,6.2,6,5.8,5,,50.0,10,,58.3,12,,53.8,13,,54.2,13,24,2026-09-01,32,18,64.0,-1.86,0.02,improving,改善,落後股翻轉候選,0,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLK,資訊科技,Information Technology,2026-09-02,183.6,185.91,195.53,140.67,-1.24,-6.1,30.52,13.42,0.333,6102810,5698700,5997293,0.95,1.02,-1.77,8,12,5895637,6306575,0.935,0.667,75.71,-9111.2,40429.0,-0.225,0.367,-1.14,0.62,49.72,33.1,190.77,180.05,7,11,1,2,9,9,11,7.0,7,6.2,6,吃老本,10.0,10,,16.7,12,,23.1,13,,41.7,30,72,2026-09-01,60,22,73.2,15.33,-1.91,weakening,減弱,高位但動能見頂,15,neutral,➡️,中性,無明顯訊號
XLP,必需消費,Consumer Staples,2026-09-02,85.53,85.33,81.46,87.75,0.23,4.99,-2.53,0.04,0.667,9067960,8445200,9041826,0.934,-1.14,0.19,10,10,8946660,8214210,1.089,1.0,83.72,3141.6,25782.7,0.122,0.533,-0.06,0.66,50.55,30.7,87.45,84.68,5,4,9,7,10,5,3,5.5,5,6.8,7,,77.8,9,,63.6,11,,66.7,12,,44.1,15,34,2026-09-01,43,15,74.1,-0.23,0.27,improving,改善,落後股翻轉候選,1,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLRE,房地產,Real Estate,2026-09-02,43.73,44.81,43.11,43.17,-2.41,1.43,1.3,0.41,0.667,4941650,7661600,5269300,1.454,-3.02,-3.25,8,11,4386287,5853718,0.749,0.727,70.86,-1734.5,7270.2,-0.239,0.4,-2.23,-2.53,35.3,0.0,45.36,43.73,9,6,5,6,3,10,9,7.3,8,7.0,8,,0.0,10,,0.0,12,,7.7,13,,20.0,6,30,2026-09-01,21,28,42.9,2.13,-1.72,weakening,減弱,高位但動能見頂,13,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
XLU,公用事業,Utilities,2026-09-02,42.67,43.66,42.83,46.56,-2.27,-0.37,-8.35,-4.83,0.0,20877360,29769100,19704326,1.511,-1.48,-3.26,10,9,19548470,22347666,0.875,1.111,79.42,-2576.6,26965.2,-0.096,0.467,-1.8,-4.31,38.26,21.2,44.31,42.23,8,8,11,11,2,6,10,8.6,9,7.2,9,,50.0,10,,41.7,12,,38.5,13,,16.1,5,31,2026-09-01,11,52,17.5,-5.4,0.57,improving,改善,落後股翻轉候選,0,coiling,💤,蓄勢,動能靜止 · 中段整理 · 等方向
XLI,工業,Industrials,2026-09-02,172.78,186.35,171.98,175.77,-7.28,0.47,-1.7,-2.55,0.333,7302540,10830300,6374666,1.699,-3.15,-7.31,7,13,6164200,6010338,1.026,0.538,70.38,1624.6,35288.7,0.046,0.5,-4.9,-4.8,30.63,0.4,186.51,172.73,11,7,8,10,1,11,7,9.2,10,8.6,10,,10.0,10,,8.3,12,,7.7,13,,18.5,15,81,2026-09-01,68,14,82.9,0.0,-2.55,lagging,落後,資金持續流出,0,cold,🧊,冷凍,365d 低位 + 仍在下降 · 資金持續流出
