symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
NFLX,Communication Services,Netflix,2023-11-20,47.96,20.53,15.27,26.57,22.24,1.0,3,3,2,2.8,6.74,15.36,False,True,40.69,10.17,1.108,False,48.5,-1.12,2.7,18.84,15.0,5.0,37038866.0,33437600.0,3.0,14047000.0,33749000.0,32535133.0,0.432,100.0,2,1,4,2.0,1,
META,Communication Services,Meta Platforms,2023-11-20,335.29,13.99,18.47,29.08,22.65,1.0,5,1,1,3.0,20.9,2.51,False,True,311.43,7.0,1.214,False,339.93,-1.37,1.21,17.3,15.0,5.0,17744073.0,14618520.0,3.0,5467500.0,14630130.0,14648113.0,0.373,100.0,1,1,10,2.8,2,
DIS,Communication Services,Walt Disney Company (The),2023-11-20,93.14,21.09,15.24,8.8,13.48,1.0,2,4,12,4.6,15.11,6.77,False,True,82.29,10.27,0.969,False,114.58,-18.72,1.64,20.41,13.0,7.0,14599538.0,15073842.0,1.857,5440500.0,13139720.0,16362360.0,0.333,100.0,5,1,12,4.8,4,
EXPE,Consumer Discretionary,Expedia Group,2023-11-20,134.75,46.56,27.57,41.59,39.33,1.0,1,2,3,1.7,8.23,22.22,False,True,105.79,18.81,1.726,False,136.47,-1.26,5.08,43.54,11.0,9.0,3861136.0,2236811.0,1.222,723200.0,2675690.0,3338493.0,0.217,100.0,3,1,23,6.2,7,
DASH,Consumer Discretionary,DoorDash,2023-11-20,93.81,32.78,20.24,39.1,32.81,1.0,2,4,4,3.0,53.36,-2.65,False,True,81.25,11.7,1.293,False,96.01,-2.29,-1.35,32.07,12.0,8.0,5394791.0,4170850.0,1.5,2749900.0,4412250.0,4662606.0,0.59,100.0,4,1,1,2.2,1,
WSM,Consumer Discretionary,"Williams-Sonoma, Inc.",2023-11-20,88.01,25.87,31.4,63.58,46.11,1.0,5,1,2,3.2,9.59,17.34,False,True,74.67,23.46,1.535,False,88.02,-0.02,7.05,27.26,14.0,6.0,2167100.0,1411866.0,2.333,507600.0,2459460.0,2058680.0,0.247,100.0,2,1,20,5.2,3,
TGT,Consumer Staples,Target Corporation,2023-11-20,119.91,23.87,9.06,-3.58,6.44,0.667,1,3,17,4.8,41.91,26.85,False,True,102.56,22.81,1.4,False,160.55,-25.31,1.17,19.8,10.0,10.0,7246380.0,5177430.0,1.0,1863100.0,8347350.0,6965900.0,0.267,100.0,4,1,23,6.6,5,
SYY,Consumer Staples,Sysco,2023-11-20,66.9,11.88,4.23,3.51,5.78,1.0,4,6,8,5.4,3.08,0.84,False,True,61.9,8.7,1.086,False,78.7,-14.99,2.09,10.2,13.0,6.0,3106261.0,2859050.0,2.167,1023900.0,2728400.0,2637926.0,0.388,100.0,5,1,11,4.6,3,
COST,Consumer Staples,Costco,2023-11-20,569.36,9.1,10.94,17.01,13.52,1.0,9,2,2,5.5,1.76,-8.27,False,True,544.34,5.98,0.964,False,577.57,-1.42,2.21,8.19,14.0,6.0,1647378.0,1709683.0,2.333,645800.0,1700270.0,1659433.0,0.389,100.0,2,1,10,3.2,2,
WMB,Energy,Williams Companies,2023-11-20,32.7,6.67,6.15,29.84,18.13,1.0,3,1,2,2.2,9.69,9.43,False,True,31.24,5.24,0.965,False,32.85,-0.47,4.52,5.03,14.0,6.0,5857578.0,6068600.0,2.333,2022500.0,5816500.0,5797453.0,0.349,100.0,2,1,17,4.6,3,
