Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
2026-09-04,00400A,主動國泰動能高息,40967762,617618687,15.26,15.27,14.89,15.17,0.2900,7174
2026-09-04,00401A,主動摩根台灣鑫收,5626685,79251678,14.20,14.20,13.95,14.13,0.1700,839
2026-09-04,00402A,主動安聯美國科技,1845411,17472033,9.42,9.52,9.42,9.51,0.1600,645
2026-09-04,00403A,主動統一升級50,134610878,1373651907,10.24,10.30,10.06,10.26,0.2000,17871
2026-09-04,00404A,主動聯博動能50,11639856,114313302,9.84,9.89,9.76,9.86,0.1600,1534
2026-09-04,00405A,主動富邦台灣龍耀,38522995,333785485,8.77,8.80,8.54,8.68,0.1100,4663
2026-09-04,00406A,主動中信台灣收益,125639325,1196900636,9.61,9.65,9.43,9.57,0.1100,20635
2026-09-04,00407A,主動凱基台灣,28833124,278947409,9.71,9.82,9.51,9.73,0.1700,3225
2026-09-04,00408A,主動第一金優股息,3071603,32165001,10.50,10.56,10.38,10.53,0.1800,213
2026-09-04,00409A,主動復華全球50,56501502,555254681,9.77,9.92,9.73,9.90,0.3100,5290
2026-09-04,00410A,主動永豐科技趨勢,10194523,122291866,12.16,12.19,11.75,12.18,0.3400,1445
2026-09-04,0050,元大台灣50,46705557,5017991081,107.70,108.00,106.85,107.90,1.7000,49703
2026-09-04,0051,元大中型100,40803,5906634,144.55,145.95,144.00,145.95,1.9500,390
2026-09-04,0052,富邦科技,10899217,679516857,62.45,62.75,61.95,62.70,1.1000,8555
2026-09-04,0053,元大電子,26407,6417653,242.30,243.65,241.30,243.65,3.9500,695
2026-09-04,0055,元大MSCI金融,984778,47843501,48.20,49.00,48.13,49.00,0.8000,1872
2026-09-04,0056,元大高股息,22979939,1266699879,55.15,55.50,54.70,55.40,0.9000,16346
2026-09-04,0057,富邦摩台,30924,9935314,320.55,321.60,320.55,321.60,3.8500,536
2026-09-04,0061,元大寶滬深,148246,3605250,24.19,24.39,24.19,24.36,0.3100,162
2026-09-04,006203,元大MSCI台灣,9841,1920317,194.10,195.80,194.10,195.80,2.0500,531
2026-09-04,006204,永豐臺灣加權,2187,503825,232.25,232.25,232.25,232.25,1.4500,93
2026-09-04,006205,富邦上証,371144,15137930,40.52,40.91,40.52,40.78,0.2800,172
2026-09-04,006206,元大上證50,114751,4381650,38.11,38.30,38.10,38.13,0.3900,133
2026-09-04,006207,復華滬深,117730,3799592,32.27,32.34,32.23,32.34,0.3200,70
2026-09-04,006208,富邦台50,1594212,392563337,246.40,247.50,245.00,247.25,3.4500,6567
2026-09-04,00625K,富邦上証+R,,,,,,,0.0000,
2026-09-04,00631L,元大台灣50正2,149757483,5434412870,36.46,36.70,35.80,36.64,1.2300,38559
2026-09-04,00632R,元大台灣50反1,113182173,1114971087,9.83,9.93,9.79,9.81,-0.1900,12653
2026-09-04,00633L,富邦上証正2,1393172,68071114,48.30,49.20,48.19,48.87,1.2200,459
2026-09-04,00634R,富邦上証反1,25848,80368,3.13,3.13,3.10,3.11,-0.0400,19
2026-09-04,00635U,期元大S&P黃金,2939587,135807317,46.24,46.28,46.13,46.21,0.4500,2090
2026-09-04,00636,國泰中國A50,244769,6777876,27.38,27.78,27.38,27.75,0.3700,170
2026-09-04,00636K,國泰中國A50+U,200,1748,8.74,8.74,8.74,8.74,0.0400,2
2026-09-04,00637L,元大滬深300正2,16116742,323517412,19.81,20.25,19.81,20.12,0.5100,3119
2026-09-04,00638R,元大滬深300反1,45699,302813,6.70,6.70,6.60,6.64,-0.0800,16
2026-09-04,00639,富邦深100,769670,12442317,16.20,16.23,16.09,16.10,0.0900,233
