日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
2026-09-17,寶島股價指數,51308.50,+,444.79,0.87,
2026-09-17,發行量加權股價指數,46288.00,+,439.10,0.96,
2026-09-17,臺灣公司治理100指數,29063.77,+,305.37,1.06,
2026-09-17,臺灣50指數,43060.29,+,453.26,1.06,
2026-09-17,臺灣50權重上限30%指數,36342.65,+,193.98,0.54,
2026-09-17,臺灣中型100指數,35575.24,+,226.34,0.64,
2026-09-17,臺灣資訊科技指數,89495.14,+,"1,007.21",1.14,
2026-09-17,臺灣發達指數,18002.15,+,113.38,0.63,
2026-09-17,臺灣高股息指數,16109.21,+,197.63,1.24,
2026-09-17,臺灣就業99指數,30012.81,+,229.01,0.77,
2026-09-17,臺灣高薪100指數,23775.10,+,196.73,0.83,
2026-09-17,未含金融指數,41084.87,+,410.35,1.01,
2026-09-17,未含電子指數,26075.53,+,363.59,1.41,
2026-09-17,未含金融電子指數,16556.28,+,359.90,2.22,
2026-09-17,小型股300指數,13654.53,+,140.99,1.04,
2026-09-17,水泥窯製類指數,624.37,+,5.13,0.83,
2026-09-17,塑膠化工類指數,1148.56,+,38.46,3.46,
2026-09-17,機電類指數,16021.66,+,135.19,0.85,
2026-09-17,水泥類指數,122.43,+,1.52,1.26,
2026-09-17,食品類指數,1905.03,+,20.79,1.10,
2026-09-17,塑膠類指數,390.02,+,17.97,4.83,
2026-09-17,紡織纖維類指數,465.33,+,8.47,1.85,
2026-09-17,電機機械類指數,531.40,+,6.53,1.24,
2026-09-17,電器電纜類指數,107.21,+,0.95,0.89,
2026-09-17,化學生技醫療類指數,163.58,+,2.52,1.56,
2026-09-17,化學類指數,190.82,+,4.61,2.48,
2026-09-17,生技醫療類指數,92.46,+,1.08,1.18,
2026-09-17,玻璃陶瓷類指數,138.30,+,0.04,0.03,
2026-09-17,造紙類指數,279.48,+,5.31,1.94,
2026-09-17,鋼鐵類指數,118.92,+,1.01,0.86,
2026-09-17,橡膠類指數,191.05,+,2.91,1.55,
2026-09-17,汽車類指數,294.85,+,4.96,1.71,
2026-09-17,電子工業類指數,2912.51,+,24.41,0.85,
2026-09-17,半導體類指數,1563.82,+,23.24,1.51,
2026-09-17,電腦及週邊設備類指數,458.42,+,2.13,0.47,
2026-09-17,光電類指數,71.68,-,0.63,-0.87,
2026-09-17,通信網路類指數,230.99,-,0.09,-0.04,
2026-09-17,電子零組件類指數,859.67,-,17.88,-2.04,
2026-09-17,電子通路類指數,360.29,+,10.35,2.96,
2026-09-17,資訊服務類指數,238.87,-,0.43,-0.18,
2026-09-17,其他電子類指數,271.68,+,1.51,0.56,
2026-09-17,建材營造類指數,456.21,+,7.52,1.68,
2026-09-17,航運類指數,215.01,+,4.08,1.93,
2026-09-17,觀光餐旅類指數,101.60,+,0.65,0.64,
2026-09-17,金融保險類指數,3652.07,+,15.90,0.44,
2026-09-17,貿易百貨類指數,238.12,+,3.43,1.46,
2026-09-17,油電燃氣類指數,115.04,+,6.82,6.30,
2026-09-17,綠能環保類指數,129.28,+,1.70,1.33,
2026-09-17,數位雲端類指數,39.97,+,0.52,1.32,
2026-09-17,運動休閒類指數,56.22,+,0.72,1.30,
2026-09-17,居家生活類指數,99.77,-,0.17,-0.17,
2026-09-17,其他類指數,276.29,+,1.65,0.60,
2026-09-17,臺指日報酬兩倍指數,224095.55,+,"4,211.70",1.92,
2026-09-17,臺指反向一倍指數,1235.52,-,11.95,-0.96,
2026-09-17,電子類兩倍槓桿指數,361951.97,+,"6,016.67",1.69,
2026-09-17,電子類反向指數,765.14,-,6.52,-0.84,
2026-09-17,臺灣生技指數,4211.02,+,67.50,1.63,
2026-09-17,臺灣中小型公司治理指數,19055.71,+,164.91,0.87,
2026-09-17,臺灣IPO指數,8665.64,+,124.68,1.46,
2026-09-17,智慧中立指數,3212.09,+,26.93,0.85,
2026-09-17,臺灣企業社會責任中小型指數,15913.72,+,146.56,0.93,
2026-09-17,特選臺灣電動車代表指數,20950.83,-,64.12,-0.31,
2026-09-17,臺灣科技龍頭通訊指數,25085.05,+,75.69,0.30,
2026-09-17,臺灣全市場指數,15978.29,+,106.23,0.67,
2026-09-17,臺灣全市場半導體指數,20471.92,+,154.81,0.76,
2026-09-17,臺灣智慧移動與電動車指數,17046.48,-,79.38,-0.46,
2026-09-17,特選小資高價30指數,21772.72,-,26.21,-0.12,
2026-09-17,特選臺灣綠能及電動車指數,11670.74,+,95.81,0.83,
2026-09-17,特選臺灣智能車供應鏈聯盟指數,17749.51,+,46.09,0.26,
2026-09-17,臺灣全市場半導體精選30指數,15931.16,+,123.88,0.78,
2026-09-17,特選臺灣高股息30指數,7077.57,+,42.84,0.61,
2026-09-17,臺灣友善環境指數,13415.77,+,113.41,0.85,
2026-09-17,台灣永續價值指數,13741.84,+,115.91,0.85,
2026-09-17,特選臺灣IC設計指數,7630.21,+,31.02,0.41,
2026-09-17,特選臺灣環境永續高股息指數,7263.47,+,91.43,1.27,
2026-09-17,特選臺灣IC設計產業代表指數,11065.34,-,6.27,-0.06,
2026-09-17,特選臺灣綠能指數,9130.59,+,27.71,0.30,
2026-09-17,特選臺灣智慧50指數,11098.75,+,78.94,0.72,
2026-09-17,臺灣晶圓製造指數,16727.60,+,199.56,1.21,
2026-09-17,臺灣精選高息指數,8765.05,+,25.64,0.29,
2026-09-17,臺灣多因子優選高股息30指數,11835.74,+,141.99,1.21,
