Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
2026-09-15,5880,合庫金,23217099,629012559,27.55,27.55,26.80,27.00,-0.4500,26777
2026-09-15,5906,台南-KY,,,,,,,0.0000,
2026-09-15,5907,大洋-KY,244122,1171837,4.83,4.84,4.74,4.82,0.0600,103
2026-09-15,6005,群益證,9479912,296207838,31.85,31.85,31.10,31.10,-1.0000,8363
2026-09-15,6024,群益期,239326,14488319,60.80,60.90,60.30,60.50,-0.6000,353
2026-09-15,6108,競國,2680974,59735022,22.10,22.80,22.10,22.40,0.2500,1254
2026-09-15,6112,邁達特,21595485,1095001366,51.60,52.90,48.10,48.15,-2.4500,14605
2026-09-15,6115,鎰勝,78284,3430129,43.80,43.95,43.70,43.80,-0.0500,70
2026-09-15,6116,彩晶,12653885,173805956,13.85,13.90,13.65,13.65,-0.2000,4985
2026-09-15,6117,迎廣,142267,8698478,62.20,62.20,60.80,61.00,-0.1000,141
2026-09-15,6120,達運,1215164,14431879,12.05,12.10,11.75,11.75,-0.0500,601
2026-09-15,6128,上福,68006,1288043,18.95,19.00,18.85,18.90,-0.0500,49
2026-09-15,6133,金橋,1878837,43746950,23.75,23.75,22.95,22.95,-0.3000,1150
2026-09-15,6136,富爾特,347077,8524259,24.60,24.80,24.20,24.60,-0.1500,134
2026-09-15,6139,亞翔,2055879,1469087124,701.00,726.00,701.00,713.00,10.0000,3619
2026-09-15,6141,柏承,1516835,74313531,48.80,50.00,48.20,48.35,-0.4500,1549
2026-09-15,6142,友勁,244312,2121463,8.88,8.88,8.63,8.70,-0.0800,735
2026-09-15,6152,百一,1176163,17798549,15.45,15.45,15.00,15.05,-0.1500,626
2026-09-15,6153,嘉聯益,1389536,23635473,17.15,17.30,16.85,16.90,-0.2500,740
2026-09-15,6155,鈞寶,555983,31229271,56.00,57.40,55.60,55.60,-0.1000,527
2026-09-15,6164,華興,215445,2402451,11.10,11.35,11.05,11.05,-0.0500,148
2026-09-15,6165,浪凡,142182,6741780,47.95,47.95,47.00,47.00,-0.4000,137
2026-09-15,6166,凌華,812352,89245055,112.00,112.00,108.00,109.00,-1.5000,1248
2026-09-15,6168,宏齊,3346135,99130292,29.65,30.20,29.20,29.25,-0.7000,2641
2026-09-15,6176,瑞儀,1969799,182335666,93.40,94.50,91.60,92.00,-1.6000,6000
2026-09-15,6177,達麗,1288714,59869596,46.75,46.95,46.10,46.85,0.0000,932
2026-09-15,6183,關貿,20811,1903939,90.70,92.20,90.70,91.00,-1.2000,52
2026-09-15,6184,大豐電,200792,7937196,39.70,39.75,39.40,39.55,-0.2500,188
2026-09-15,6189,豐藝,175811,8206982,47.00,47.00,46.40,46.60,-0.4500,444
2026-09-15,6191,精成科,919848,75561420,82.10,83.40,81.00,81.00,-1.0000,2025
2026-09-15,6192,巨路,56394,6193355,109.50,110.50,109.50,109.50,-0.5000,99
2026-09-15,6196,帆宣,1109429,580853434,521.00,530.00,516.00,518.00,-2.0000,2169
2026-09-15,6197,佳必琪,762733,225764938,297.00,300.00,292.00,292.00,-5.0000,2196
2026-09-15,6201,亞弘電,13225,590849,44.90,44.90,44.40,44.90,-0.0500,26
2026-09-15,6202,盛群,698267,37759297,54.60,54.70,53.50,53.70,-1.0000,703
2026-09-15,6205,詮欣,136002,8228845,60.80,61.30,60.00,60.20,-0.6000,172
2026-09-15,6206,飛捷,679676,93684457,136.50,140.50,136.00,137.00,1.0000,1357
2026-09-15,6209,今國光,5765279,441108929,75.90,78.50,75.30,75.60,-0.9000,6442
2026-09-15,6213,聯茂,11540383,6031663931,514.00,531.00,511.00,519.00,4.0000,12913
2026-09-15,6214,精誠,3389449,646164478,189.00,195.00,186.00,190.00,2.5000,18788
2026-09-15,6215,和椿,346228,33487499,96.30,97.60,95.70,95.70,-0.5000,413
2026-09-15,6216,居易,120867,2344080,19.60,19.60,19.25,19.30,-0.3000,132
2026-09-15,6224,聚鼎,1348110,116674195,84.50,88.50,84.40,86.00,1.0000,2022
2026-09-15,6225,天瀚,114514,7120721,60.80,70.00,60.80,63.50,-4.0000,132
2026-09-15,6226,光鼎,81114487,2861882679,33.95,36.30,33.05,36.30,3.3000,29157
2026-09-15,6230,尼得科超眾,396676,45322756,119.00,119.00,108.00,109.00,-7.5000,465
2026-09-15,6235,華孚,238946,9016495,37.80,38.20,37.55,37.55,-0.4000,226
2026-09-15,6239,力成,7964169,2176337889,271.00,279.50,268.00,268.00,-3.5000,11217
2026-09-15,6243,迅杰,156724,5737984,36.90,37.00,36.30,36.40,-0.5000,241
2026-09-15,6257,矽格,2791002,587502209,210.00,214.50,207.50,207.50,-2.5000,3919
2026-09-15,6269,台郡,2615223,166836473,64.30,64.80,63.10,63.30,-1.4000,3123
2026-09-15,6271,同欣電,6201502,1408157566,218.50,234.00,218.50,221.00,1.0000,7665
2026-09-15,6272,驊陞,232216,6248668,27.40,27.65,26.20,26.40,-0.6000,176
2026-09-15,6277,宏正,117501,9008831,76.10,77.40,76.00,76.30,-0.2000,149
2026-09-15,6278,台表科,1557487,284336421,186.00,187.00,180.50,180.50,-5.0000,2094
2026-09-15,6281,全國電,25524,1308899,51.40,51.40,51.20,51.20,-0.1000,33
2026-09-15,6282,康舒,3732535,157686200,42.45,43.20,41.55,41.55,-0.9500,4178
2026-09-15,6283,淳安,155366,2800757,18.20,18.30,17.85,18.05,-0.2500,110
2026-09-15,6285,啟碁,2429329,542478698,221.00,226.00,220.00,222.00,0.0000,3484
2026-09-15,6405,悅城,143069,5337463,37.55,37.90,37.10,37.10,-0.5000,247
2026-09-15,6409,旭隼,274170,239443782,878.00,886.00,865.00,870.00,-4.0000,934
2026-09-15,6412,群電,351266,26111588,74.00,75.10,73.70,73.80,0.0000,883
2026-09-15,6414,樺漢,882570,328948535,373.50,377.50,369.50,369.50,-2.0000,1291
2026-09-15,6415,矽力*-KY,2869603,1172564950,414.00,417.50,403.00,406.00,-8.0000,3289
2026-09-15,6416,瑞祺電通,2341906,280439190,118.50,123.50,117.00,118.00,-1.0000,2074
2026-09-15,6426,統新,2409765,732174301,306.00,312.00,298.00,300.00,-12.0000,6227
2026-09-15,6431,光麗-KY,8034,138536,17.15,17.55,17.05,17.30,-0.2500,12
2026-09-15,6438,迅得,160313,23001239,144.50,145.00,142.50,142.50,-1.5000,287
2026-09-15,6442,光聖,2407912,3716382300,1580.00,1595.00,1505.00,1510.00,-80.0000,9307
2026-09-15,6443,元晶,3113764,72045205,23.35,23.65,22.70,22.70,-0.6500,2200
2026-09-15,6446,藥華藥,2315449,2790832205,1200.00,1220.00,1170.00,1205.00,15.0000,5453
2026-09-15,6449,鈺邦,1204011,256762671,214.00,219.50,208.50,209.50,-5.0000,1235
2026-09-15,6451,訊芯-KY,2301670,932434973,412.50,418.50,393.50,394.00,-23.5000,3947
2026-09-15,6456,GIS-KY,1606173,99778081,62.50,63.40,61.40,61.60,-1.7000,1651
2026-09-15,6464,台數科,24088,1839334,75.90,78.00,75.80,78.00,2.1000,38
2026-09-15,6472,保瑞,460996,189523747,404.00,415.50,404.00,411.00,7.5000,1147
2026-09-15,6477,安集,292810,9878385,33.90,34.15,33.50,33.50,-0.5500,342
2026-09-15,6491,晶碩,590199,229787085,378.00,395.00,376.50,390.00,8.5000,954
2026-09-15,6504,南六,30043,1110080,37.25,37.55,36.55,36.55,-0.7000,41
2026-09-15,6505,台塑化,17586676,1437151596,81.40,83.10,80.00,82.90,0.1000,12139
2026-09-15,6515,穎崴,362102,2339419480,6600.00,6725.00,6305.00,6310.00,-290.0000,6792
2026-09-15,6525,捷敏-KY,531566,67645421,126.00,130.00,125.50,125.50,-2.5000,656
2026-09-15,6526,達發,202854,127336818,637.00,637.00,623.00,623.00,-7.0000,544
2026-09-15,6531,愛普*,4824312,4413111170,953.00,964.00,887.00,890.00,-72.0000,10247
2026-09-15,6533,晶心科,612997,139686696,232.00,234.00,224.00,224.50,-7.5000,1215
2026-09-15,6534,正瀚-創,25539,2303349,91.90,91.90,89.80,89.80,-0.7000,31
2026-09-15,6541,泰福-KY,293163,8979438,30.45,31.20,30.30,30.30,-0.4500,241
2026-09-15,6550,北極星藥業-KY,1026794,10221349,9.90,10.10,9.90,9.90,0.0000,546
2026-09-15,6552,易華電,27835,645819,23.25,23.60,23.05,23.35,0.0000,39
2026-09-15,6558,興能高,173822,4040780,23.30,23.50,23.05,23.05,-0.3500,160
2026-09-15,6573,虹揚-KY,89311,1400807,15.90,15.95,15.55,15.55,-0.3000,74
2026-09-15,6579,研揚,233090,34698290,150.00,150.50,147.50,147.50,-1.5000,360
2026-09-15,6581,鋼聯,36271,3967720,110.00,110.50,108.50,109.00,-1.5000,40
2026-09-15,6582,申豐,21437,668605,31.50,31.50,31.00,31.20,0.0000,55
2026-09-15,6585,鼎基,66736,6897055,104.00,104.00,102.50,102.50,-1.0000,92
2026-09-15,6589,台康生技,620762,30227373,48.00,49.60,47.80,48.65,0.6000,627
2026-09-15,6591,動力-KY,24295,1011261,41.85,42.85,41.40,41.50,-0.1500,43
2026-09-15,6592,和潤企業,155943,9308222,59.80,60.00,59.50,59.70,0.0000,234
2026-09-15,6592A,和潤企業甲特,5100,489710,96.00,96.10,96.00,96.00,0.0000,15
2026-09-15,6592B,和潤企業乙特,160,15127,,,,,0.0000,6
2026-09-15,6598,ABC-KY,107991,2961402,27.60,27.75,27.10,27.15,-0.6000,217
2026-09-15,6605,帝寶,278582,38280001,136.50,138.50,136.00,137.50,1.5000,340
2026-09-15,6606,建德工業,82672,2075377,25.25,25.65,24.95,25.05,-0.2000,53
2026-09-15,6614,資拓宏宇,21860,777538,35.45,35.75,35.45,35.45,0.0000,28
2026-09-15,6625,必應,83413,6137447,73.50,74.30,73.30,73.30,0.0000,96
2026-09-15,6641,基士德-KY,10535,178303,17.15,17.15,16.80,16.80,0.0000,10
2026-09-15,6645,金萬林-創,38894,494142,12.80,12.90,12.60,12.65,-0.3500,32
2026-09-15,6655,科定,14793,1815246,122.50,123.00,122.00,123.00,0.5000,23
2026-09-15,6657,華安,173306,5809251,33.50,34.10,33.20,33.60,-0.2500,185
2026-09-15,6658,聯策,96868,15955729,165.50,168.00,163.00,163.00,-3.0000,328
2026-09-15,6666,羅麗芬-KY,32061,1409067,45.05,45.05,43.60,44.00,-0.2000,33
2026-09-15,6668,中揚光,5594952,242525691,41.50,45.50,40.80,42.70,0.5000,5149
2026-09-15,6669,緯穎,2767688,6392556880,2235.00,2345.00,2235.00,2315.00,45.0000,11407
2026-09-15,6670,復盛應用,164177,44489577,274.00,274.00,270.00,270.50,-2.0000,976
2026-09-15,6671,三能-KY,3496,79705,23.00,23.00,22.55,22.75,0.2000,7
2026-09-15,6672,騰輝電子-KY,4204679,1245722340,294.50,303.50,289.50,291.00,-3.5000,7214
2026-09-15,6674,鋐寶科技,4000,62850,15.75,15.90,15.60,15.60,-0.3000,4
2026-09-15,6689,伊雲谷,7763172,561585042,71.00,74.70,68.00,69.30,-1.2000,6726
2026-09-15,6691,洋基工程,246634,151185369,607.00,623.00,607.00,608.00,-5.0000,676
