日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
2026-09-04,寶島股價指數,51618.00,+,779.72,1.53,
2026-09-04,發行量加權股價指數,46551.13,+,693.47,1.51,
2026-09-04,臺灣公司治理100指數,28969.42,+,374.05,1.31,
2026-09-04,臺灣50指數,43141.07,+,607.74,1.43,
2026-09-04,臺灣50權重上限30%指數,36600.13,+,650.68,1.81,
2026-09-04,臺灣中型100指數,36218.76,+,636.17,1.79,
2026-09-04,臺灣資訊科技指數,89743.34,+,"1,292.63",1.46,
2026-09-04,臺灣發達指數,18746.47,+,321.81,1.75,
2026-09-04,臺灣高股息指數,15869.35,+,284.58,1.83,
2026-09-04,臺灣就業99指數,29953.94,+,515.43,1.75,
2026-09-04,臺灣高薪100指數,23494.35,+,387.19,1.68,
2026-09-04,未含金融指數,41483.93,+,630.85,1.54,
2026-09-04,未含電子指數,25716.82,+,258.58,1.02,
2026-09-04,未含金融電子指數,16621.30,+,147.39,0.89,
2026-09-04,小型股300指數,13932.54,+,198.98,1.45,
2026-09-04,水泥窯製類指數,628.92,+,2.91,0.46,
2026-09-04,塑膠化工類指數,1148.12,+,8.25,0.72,
2026-09-04,機電類指數,16199.13,+,264.54,1.66,
2026-09-04,水泥類指數,123.11,+,0.31,0.25,
2026-09-04,食品類指數,1921.69,+,2.77,0.14,
2026-09-04,塑膠類指數,380.13,+,5.12,1.37,
2026-09-04,紡織纖維類指數,480.95,+,0.86,0.18,
2026-09-04,電機機械類指數,557.45,+,19.09,3.55,
2026-09-04,電器電纜類指數,109.48,+,1.50,1.39,
2026-09-04,化學生技醫療類指數,169.71,-,0.35,-0.21,
2026-09-04,化學類指數,195.05,+,2.02,1.05,
2026-09-04,生技醫療類指數,96.53,-,0.71,-0.73,
2026-09-04,玻璃陶瓷類指數,139.76,+,1.20,0.87,
2026-09-04,造紙類指數,282.93,-,3.00,-1.05,
2026-09-04,鋼鐵類指數,121.54,+,0.26,0.21,
2026-09-04,橡膠類指數,194.74,+,0.93,0.48,
2026-09-04,汽車類指數,299.59,+,5.42,1.84,
