日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
2026-09-21,寶島股價指數,52912.69,+,555.17,1.06,
2026-09-21,發行量加權股價指數,47718.84,+,538.09,1.14,
2026-09-21,臺灣公司治理100指數,29991.69,+,430.75,1.46,
2026-09-21,臺灣50指數,44530.69,+,623.89,1.42,
2026-09-21,臺灣50權重上限30%指數,37849.53,+,669.71,1.80,
2026-09-21,臺灣中型100指數,36209.28,+,43.99,0.12,
2026-09-21,臺灣資訊科技指數,92629.06,+,"1,130.06",1.24,
2026-09-21,臺灣發達指數,18775.50,+,402.47,2.19,
2026-09-21,臺灣高股息指數,16275.45,+,20.88,0.13,
2026-09-21,臺灣就業99指數,30864.59,+,429.41,1.41,
2026-09-21,臺灣高薪100指數,24094.67,+,236.19,0.99,
2026-09-21,未含金融指數,42485.10,+,491.74,1.17,
2026-09-21,未含電子指數,26122.28,+,77.10,0.30,
2026-09-21,未含金融電子指數,16630.47,-,20.35,-0.12,
2026-09-21,小型股300指數,13861.65,+,5.28,0.04,
2026-09-21,水泥窯製類指數,627.26,+,2.55,0.41,
2026-09-21,塑膠化工類指數,1152.63,-,0.66,-0.06,
2026-09-21,機電類指數,16627.93,+,218.52,1.33,
2026-09-21,水泥類指數,121.57,-,0.54,-0.44,
2026-09-21,食品類指數,1895.72,-,11.96,-0.63,
2026-09-21,塑膠類指數,393.68,+,1.71,0.44,
2026-09-21,紡織纖維類指數,461.46,-,2.64,-0.57,
2026-09-21,電機機械類指數,544.34,+,3.68,0.68,
2026-09-21,電器電纜類指數,107.24,-,0.15,-0.14,
2026-09-21,化學生技醫療類指數,162.80,-,1.45,-0.88,
2026-09-21,化學類指數,192.45,+,0.82,0.43,
2026-09-21,生技醫療類指數,91.48,-,1.35,-1.45,
2026-09-21,玻璃陶瓷類指數,141.98,+,2.78,2.00,
2026-09-21,造紙類指數,275.16,-,1.31,-0.47,
2026-09-21,鋼鐵類指數,119.16,-,0.98,-0.82,
2026-09-21,橡膠類指數,190.09,+,0.38,0.20,
2026-09-21,汽車類指數,293.54,-,3.47,-1.17,
2026-09-21,電子工業類指數,3023.56,+,40.12,1.34,
2026-09-21,半導體類指數,1620.40,+,19.39,1.21,
2026-09-21,電腦及週邊設備類指數,467.17,+,1.86,0.40,
2026-09-21,光電類指數,75.41,+,1.34,1.81,
2026-09-21,通信網路類指數,233.47,-,0.58,-0.25,
2026-09-21,電子零組件類指數,916.75,+,29.09,3.28,
2026-09-21,電子通路類指數,366.17,+,0.16,0.04,
2026-09-21,資訊服務類指數,241.48,-,2.98,-1.22,
2026-09-21,其他電子類指數,281.40,+,1.78,0.64,
2026-09-21,建材營造類指數,460.93,-,6.46,-1.38,
2026-09-21,航運類指數,213.52,-,0.53,-0.25,
2026-09-21,觀光餐旅類指數,101.66,+,0.08,0.08,
2026-09-21,金融保險類指數,3646.54,+,29.61,0.82,
2026-09-21,貿易百貨類指數,237.46,-,0.41,-0.17,
2026-09-21,油電燃氣類指數,117.83,+,2.33,2.02,
2026-09-21,綠能環保類指數,132.80,-,1.33,-0.99,
2026-09-21,數位雲端類指數,40.17,-,0.15,-0.37,
2026-09-21,運動休閒類指數,55.80,-,0.27,-0.48,
