日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
2026-09-07,臺灣電子成長高息等權重指數,8469.18,-,42.48,-0.50,
2026-09-07,特選臺灣優利成長指數,7291.74,+,15.43,0.21,
2026-09-07,臺灣價值高息指數,7583.57,-,12.18,-0.16,
2026-09-07,特選臺灣IC設計動能指數,13662.16,+,418.56,3.16,
2026-09-07,臺灣趨勢動能高股息指數,8410.81,+,62.16,0.74,
2026-09-07,特選臺灣科技高息成長指數,8673.20,-,2.97,-0.03,
2026-09-07,特選臺灣AI優息動能指數,7795.98,-,48.93,-0.62,
2026-09-07,臺灣優選AI 50指數,9301.65,-,4.67,-0.05,
2026-09-07,台灣旗艦動能50指數,10834.20,+,228.00,2.15,
2026-09-07,特選臺灣動能趨勢指數,16178.89,+,547.30,3.50,
2026-09-07,特選臺灣動能優息指數,7317.16,+,2.20,0.03,
2026-09-07,特選臺灣璞玉精選收益指數,4664.70,+,4.18,0.09,
2026-09-07,金融類日報酬兩倍指數,123310.00,-,561.97,-0.45,
2026-09-07,金融類日報酬反向一倍指數,1965.56,+,4.45,0.23,
2026-09-07,漲升股利150指數,22110.51,+,348.15,1.60,
2026-09-07,藍籌30指數,28656.90,+,666.34,2.38,
2026-09-07,工業菁英30指數,26672.84,+,442.32,1.69,
2026-09-07,低波動股利精選30指數,13440.08,+,135.12,1.02,
2026-09-07,中小型A級動能50指數,30866.34,+,432.21,1.42,
2026-09-07,特選高息低波指數,12420.66,-,26.01,-0.21,
2026-09-07,臺灣永續指數,26543.63,+,497.96,1.91,
2026-09-07,存股雙十等權重指數,21966.43,-,14.02,-0.06,
2026-09-07,特選大蘋果指數,28903.39,+,617.82,2.18,
2026-09-07,中小型300指數,17775.22,+,5.44,0.03,
2026-09-07,微波高息精選20指數,14240.00,+,422.05,3.05,
2026-09-07,特選世代行動通訊指數,19422.42,+,237.00,1.24,
2026-09-07,智慧投資多因子30指數,8022.03,-,10.05,-0.13,
2026-09-07,臺股期貨指數,25613.55,+,413.31,1.64,
2026-09-07,臺灣上櫃永續指數,13381.54,+,430.74,3.33,
2026-09-07,特選台股領航指數,27277.62,+,811.53,3.07,
2026-09-07,特選Smart多因子指數,19728.51,+,429.89,2.23,
2026-09-07,特選ESG高股息指數,13992.45,+,474.85,3.51,
2026-09-07,特選上櫃ESG成長指數,10057.88,+,410.05,4.25,
2026-09-07,臺灣優息存股指數,6061.57,-,27.25,-0.45,
2026-09-07,特選上櫃ESG永續高股息指數,13495.88,+,87.47,0.65,
2026-09-07,特選臺灣金融高股息存股指數,11494.05,-,28.44,-0.25,
2026-09-07,特選臺灣產業龍頭存股等權重指數,9531.13,-,4.64,-0.05,
2026-09-07,上櫃ESG 30指數,15184.97,+,306.18,2.06,
2026-09-07,臺灣ESG低碳50指數,17676.87,+,360.09,2.08,
2026-09-07,臺灣創新板指數,24823.06,+,77.42,0.31,
2026-09-07,特選上櫃ESG龍頭指數,12988.73,+,124.49,0.97,
2026-09-07,臺灣市值動能50指數,11456.70,+,162.32,1.44,
2026-09-07,臺灣護城河概念優選50指數,10790.72,+,187.95,1.77,
2026-09-07,特選臺灣中小型精選動能100指數,7191.73,+,12.81,0.18,
2026-09-07,特選臺灣大型股25指數,11992.45,+,264.07,2.25,
2026-09-07,特選臺灣TOP 50指數,9490.42,+,170.99,1.83,
2026-09-07,臺灣璞玉指數,5733.98,-,29.22,-0.51,
2026-09-07,特選臺灣市值領航50指數,6687.24,+,123.09,1.88,
2026-09-07,臺灣璞玉中小優選100指數,4991.68,-,38.66,-0.77,
2026-09-07,寶島股價報酬指數,81528.17,+,"1,337.71",1.67,
2026-09-07,發行量加權股價報酬指數,109275.93,+,"1,789.82",1.67,
2026-09-07,臺灣公司治理100報酬指數,45100.95,+,880.91,1.99,
2026-09-07,臺灣50報酬指數,101717.66,+,"2,078.81",2.09,
2026-09-07,臺灣50權重上限30%報酬指數,88844.75,+,"1,822.07",2.09,
2026-09-07,臺灣中型100報酬指數,79509.43,+,345.42,0.44,
2026-09-07,臺灣資訊科技股報酬指數,197435.34,+,"4,403.91",2.28,
2026-09-07,臺灣發達報酬指數,41423.88,+,424.17,1.03,
2026-09-07,臺灣高股息報酬指數,52348.60,+,285.84,0.55,
2026-09-07,臺灣就業99報酬指數,53398.75,+,601.06,1.14,
2026-09-07,臺灣高薪100報酬指數,40948.86,+,240.43,0.59,
2026-09-07,未含金融電子報酬指數,40903.02,+,87.10,0.21,
2026-09-07,小型股300報酬指數,20943.40,-,74.12,-0.35,
2026-09-07,水泥類報酬指數,284.75,-,2.30,-0.80,
2026-09-07,食品類報酬指數,3458.98,-,11.48,-0.33,
