Date,Code,Name,TradeVolume,TradeValue,OpeningPrice,HighestPrice,LowestPrice,ClosingPrice,Change,Transaction
2026-09-14,00400A,主動國泰動能高息,30886201,450028338,14.48,14.78,14.39,14.72,-0.0800,9315
2026-09-14,00401A,主動摩根台灣鑫收,6642835,91820483,13.80,13.92,13.70,13.87,0.0000,1603
2026-09-14,00402A,主動安聯美國科技,2277914,21453771,9.40,9.44,9.37,9.44,-0.0200,603
2026-09-14,00403A,主動統一升級50,147353056,1479173876,10.00,10.15,9.92,10.09,-0.0800,28262
2026-09-14,00404A,主動聯博動能50,21546204,210363699,9.78,9.84,9.69,9.80,-0.0200,3964
2026-09-14,00405A,主動富邦台灣龍耀,38463675,327488100,8.42,8.64,8.35,8.56,-0.0300,5681
2026-09-14,00406A,主動中信台灣收益,193984876,1810754711,9.32,9.45,9.25,9.39,-0.0500,41109
2026-09-14,00407A,主動凱基台灣,21301053,200482996,9.36,9.52,9.30,9.46,-0.0900,4779
2026-09-14,00408A,主動第一金優股息,2760136,28234974,10.18,10.29,10.08,10.22,-0.0400,338
2026-09-14,00409A,主動復華全球50,14936158,141970606,9.54,9.56,9.45,9.53,-0.1000,4071
2026-09-14,00410A,主動永豐科技趨勢,4672597,54282910,11.61,11.72,11.45,11.68,-0.1600,1421
2026-09-14,0050,元大台灣50,91951392,9790702094,106.30,107.15,105.85,106.90,-0.8000,164395
2026-09-14,0051,元大中型100,69675,9945772,144.00,144.00,141.00,143.45,-1.3000,646
2026-09-14,0052,富邦科技,11505257,711913661,61.70,62.15,61.50,61.90,-0.6500,17269
2026-09-14,0053,元大電子,121405,28936205,238.60,239.15,236.65,238.95,-2.2000,2961
2026-09-14,0055,元大MSCI金融,1254556,62028734,49.33,50.45,48.75,50.30,0.9800,2948
2026-09-14,0056,元大高股息,18893508,1039360756,54.90,55.55,54.55,55.40,0.1000,25946
2026-09-14,0057,富邦摩台,18306,5855830,316.10,318.75,315.90,318.35,-2.9000,1244
2026-09-14,0061,元大寶滬深,35584,850024,23.79,24.00,23.77,23.95,0.0300,109
2026-09-14,006203,元大MSCI台灣,21404,4168520,192.75,194.60,191.90,194.60,-1.6500,1416
2026-09-14,006204,永豐臺灣加權,24822,5684808,227.90,230.10,227.90,230.10,-2.0500,137
2026-09-14,006205,富邦上証,171176,6818800,39.65,39.95,39.65,39.82,0.1700,199
2026-09-14,006206,元大上證50,12061,447265,36.72,37.33,36.72,37.19,0.1300,141
2026-09-14,006207,復華滬深,118834,3779982,31.65,31.86,31.59,31.72,0.0100,146
2026-09-14,006208,富邦台50,1997029,487449319,242.90,245.40,242.25,244.65,-1.4500,14035
2026-09-14,00625K,富邦上証+R,,,,,,,0.0000,
2026-09-14,00631L,元大台灣50正2,169333509,5957912190,34.99,35.67,34.84,35.40,-0.5800,69182
2026-09-14,00632R,元大台灣50反1,134596423,1348992087,10.06,10.08,9.94,9.97,0.0600,10799
2026-09-14,00633L,富邦上証正2,564870,26595077,47.12,47.34,46.80,47.00,-0.2000,199
2026-09-14,00634R,富邦上証反1,74200,234486,3.16,3.17,3.15,3.16,0.0100,12
2026-09-14,00635U,期元大S&P黃金,2300637,102934495,44.80,44.91,44.62,44.64,-0.1200,1772
