日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
2026-09-09,寶島股價指數,52320.28,+,87.98,0.17,
2026-09-09,發行量加權股價指數,47183.36,+,77.58,0.16,
2026-09-09,臺灣公司治理100指數,29477.76,-,32.75,-0.11,
2026-09-09,臺灣50指數,43888.31,-,11.98,-0.03,
2026-09-09,臺灣50權重上限30%指數,37105.70,+,31.77,0.09,
2026-09-09,臺灣中型100指數,36325.99,+,239.01,0.66,
2026-09-09,臺灣資訊科技指數,91559.63,+,121.02,0.13,
2026-09-09,臺灣發達指數,18753.32,+,99.68,0.53,
2026-09-09,臺灣高股息指數,15960.43,+,1.42,0.01,
2026-09-09,臺灣就業99指數,30291.88,+,210.24,0.70,
2026-09-09,臺灣高薪100指數,23451.53,-,58.89,-0.25,
2026-09-09,未含金融指數,42119.80,+,132.99,0.32,
2026-09-09,未含電子指數,25812.18,-,40.83,-0.16,
2026-09-09,未含金融電子指數,16797.44,+,145.21,0.87,
2026-09-09,小型股300指數,13817.62,+,97.16,0.71,
2026-09-09,水泥窯製類指數,634.67,+,5.85,0.93,
2026-09-09,塑膠化工類指數,1167.02,+,1.58,0.14,
2026-09-09,機電類指數,16451.98,+,42.13,0.26,
2026-09-09,水泥類指數,123.70,+,1.41,1.15,
2026-09-09,食品類指數,1928.68,-,9.52,-0.49,
2026-09-09,塑膠類指數,394.64,+,4.50,1.15,
2026-09-09,紡織纖維類指數,477.58,+,3.64,0.77,
2026-09-09,電機機械類指數,553.72,+,6.21,1.13,
2026-09-09,電器電纜類指數,109.98,+,1.10,1.01,
2026-09-09,化學生技醫療類指數,167.48,-,2.64,-1.55,
2026-09-09,化學類指數,192.19,+,0.79,0.41,
2026-09-09,生技醫療類指數,95.32,-,2.31,-2.37,
2026-09-09,玻璃陶瓷類指數,142.18,+,0.74,0.52,
2026-09-09,造紙類指數,278.98,+,0.85,0.31,
2026-09-09,鋼鐵類指數,121.64,+,0.30,0.25,
2026-09-09,橡膠類指數,192.73,+,2.10,1.10,
2026-09-09,汽車類指數,296.54,-,0.19,-0.06,
2026-09-09,電子工業類指數,2990.11,+,7.23,0.24,
2026-09-09,半導體類指數,1594.15,-,3.15,-0.20,
2026-09-09,電腦及週邊設備類指數,471.29,+,6.06,1.30,
2026-09-09,光電類指數,76.41,+,2.62,3.55,
2026-09-09,通信網路類指數,235.23,+,3.06,1.32,
2026-09-09,電子零組件類指數,916.63,+,9.70,1.07,
2026-09-09,電子通路類指數,350.64,+,0.32,0.09,
2026-09-09,資訊服務類指數,230.95,+,1.43,0.62,
2026-09-09,其他電子類指數,278.65,+,2.38,0.86,
2026-09-09,建材營造類指數,466.89,+,3.95,0.85,
2026-09-09,航運類指數,211.55,+,3.24,1.56,
2026-09-09,觀光餐旅類指數,102.16,-,0.26,-0.25,
2026-09-09,金融保險類指數,3504.34,-,52.17,-1.47,
2026-09-09,貿易百貨類指數,237.29,+,0.29,0.12,
2026-09-09,油電燃氣類指數,116.69,+,9.60,8.96,
2026-09-09,綠能環保類指數,136.36,-,0.19,-0.14,
2026-09-09,數位雲端類指數,39.05,-,0.06,-0.15,
2026-09-09,運動休閒類指數,57.68,-,0.41,-0.71,
2026-09-09,居家生活類指數,101.32,+,0.79,0.79,
2026-09-09,其他類指數,275.37,-,1.71,-0.62,
2026-09-09,臺指日報酬兩倍指數,232976.41,+,764.87,0.33,
2026-09-09,臺指反向一倍指數,1212.74,-,2.00,-0.16,
2026-09-09,電子類兩倍槓桿指數,381754.47,+,"1,841.69",0.48,
2026-09-09,電子類反向指數,745.78,-,1.81,-0.24,
2026-09-09,臺灣生技指數,4248.66,-,59.91,-1.39,
2026-09-09,臺灣中小型公司治理指數,19120.91,+,78.53,0.41,
2026-09-09,臺灣IPO指數,9171.90,-,31.16,-0.34,
2026-09-09,智慧中立指數,3143.00,+,9.05,0.29,
2026-09-09,臺灣企業社會責任中小型指數,15948.53,+,94.34,0.60,
2026-09-09,特選臺灣電動車代表指數,21968.95,+,316.70,1.46,
2026-09-09,臺灣科技龍頭通訊指數,25832.29,+,98.99,0.38,
2026-09-09,臺灣全市場指數,16301.85,+,26.35,0.16,
2026-09-09,臺灣全市場半導體指數,20947.87,-,39.08,-0.19,
2026-09-09,臺灣智慧移動與電動車指數,17791.89,+,298.55,1.71,
2026-09-09,特選小資高價30指數,22644.51,+,49.72,0.22,
2026-09-09,特選臺灣綠能及電動車指數,11842.86,+,25.55,0.22,
2026-09-09,特選臺灣智能車供應鏈聯盟指數,18392.62,+,68.64,0.37,
2026-09-09,臺灣全市場半導體精選30指數,16311.32,-,5.23,-0.03,
2026-09-09,特選臺灣高股息30指數,6983.80,+,2.68,0.04,
2026-09-09,臺灣友善環境指數,13568.83,+,6.96,0.05,
2026-09-09,台灣永續價值指數,13799.02,-,18.02,-0.13,
2026-09-09,特選臺灣IC設計指數,7732.63,-,71.78,-0.92,
2026-09-09,特選臺灣環境永續高股息指數,7345.87,+,26.74,0.37,
2026-09-09,特選臺灣IC設計產業代表指數,11256.41,-,79.97,-0.71,
2026-09-09,特選臺灣綠能指數,9308.43,+,58.09,0.63,
2026-09-09,特選臺灣智慧50指數,11290.93,-,53.92,-0.48,
2026-09-09,臺灣晶圓製造指數,17073.96,+,135.39,0.80,
2026-09-09,臺灣精選高息指數,8589.05,-,28.24,-0.33,
2026-09-09,臺灣多因子優選高股息30指數,11594.28,+,47.19,0.41,
2026-09-09,特選臺灣優利高填息30指數,12964.56,+,5.56,0.04,
2026-09-09,特選臺灣科技優息指數,14827.49,+,131.24,0.89,
2026-09-09,臺灣半導體收益指數,16069.91,+,100.84,0.63,
2026-09-09,臺灣優選成長高股息指數,12944.13,+,109.73,0.85,
2026-09-09,特選臺灣ESG低碳高息40指數,11200.55,+,10.65,0.10,
2026-09-09,臺灣優選多因子30指數,15838.95,-,180.39,-1.13,
2026-09-09,臺灣創新科技50指數,22184.88,+,50.04,0.23,
2026-09-09,臺灣全市場新經濟產業指數,3901.79,-,2.34,-0.06,
2026-09-09,臺灣ESG永續高股息等權重指數,6994.37,+,23.77,0.34,
2026-09-09,臺灣永續高息中小型指數,7758.24,+,22.36,0.29,
2026-09-09,特選臺灣高息動能指數,10893.94,-,52.68,-0.48,
2026-09-09,臺灣電子成長高息等權重指數,8367.25,+,45.75,0.55,
2026-09-09,特選臺灣優利成長指數,7238.25,+,44.80,0.62,
2026-09-09,臺灣價值高息指數,7577.49,+,60.02,0.80,
2026-09-09,特選臺灣IC設計動能指數,13586.84,-,100.05,-0.73,
2026-09-09,臺灣趨勢動能高股息指數,8360.26,+,28.47,0.34,
2026-09-09,特選臺灣科技高息成長指數,8509.96,+,51.47,0.61,
2026-09-09,特選臺灣AI優息動能指數,7634.44,+,51.99,0.69,
2026-09-09,臺灣優選AI 50指數,9119.04,+,67.80,0.75,
2026-09-09,台灣旗艦動能50指數,10717.70,-,14.84,-0.14,
2026-09-09,特選臺灣動能趨勢指數,15990.74,+,41.01,0.26,
2026-09-09,特選臺灣動能優息指數,7266.71,+,5.89,0.08,
2026-09-09,特選臺灣璞玉精選收益指數,4635.16,+,18.35,0.40,
2026-09-09,金融類日報酬兩倍指數,122562.77,-,"3,704.39",-2.93,
2026-09-09,金融類日報酬反向一倍指數,1970.48,+,28.49,1.47,
2026-09-09,漲升股利150指數,22062.83,+,209.23,0.96,
2026-09-09,藍籌30指數,28255.12,+,36.11,0.13,
2026-09-09,工業菁英30指數,26431.36,+,339.19,1.30,
2026-09-09,低波動股利精選30指數,13396.29,-,83.69,-0.62,
2026-09-09,中小型A級動能50指數,30896.84,+,371.92,1.22,
2026-09-09,特選高息低波指數,12495.69,-,25.17,-0.20,
2026-09-09,臺灣永續指數,26374.39,+,35.35,0.13,
2026-09-09,存股雙十等權重指數,21438.16,+,101.92,0.48,
2026-09-09,特選大蘋果指數,28725.81,+,427.51,1.51,
2026-09-09,中小型300指數,17735.93,+,94.27,0.53,
2026-09-09,微波高息精選20指數,14293.33,+,178.77,1.27,
2026-09-09,特選世代行動通訊指數,19071.62,-,33.81,-0.18,
2026-09-09,智慧投資多因子30指數,8084.95,+,27.63,0.34,
2026-09-09,臺股期貨指數,25460.85,+,111.69,0.44,
2026-09-09,臺灣上櫃永續指數,13298.32,-,70.98,-0.53,
2026-09-09,特選台股領航指數,26764.77,-,144.94,-0.54,
2026-09-09,特選Smart多因子指數,19662.46,+,78.24,0.40,
2026-09-09,特選ESG高股息指數,13939.05,+,14.87,0.11,
2026-09-09,特選上櫃ESG成長指數,9985.79,-,89.41,-0.89,
2026-09-09,臺灣優息存股指數,6073.83,-,15.58,-0.26,
2026-09-09,特選上櫃ESG永續高股息指數,13423.04,+,186.65,1.41,
2026-09-09,特選臺灣金融高股息存股指數,11462.44,-,206.84,-1.77,
2026-09-09,特選臺灣產業龍頭存股等權重指數,9563.51,+,29.61,0.31,
2026-09-09,上櫃ESG 30指數,14999.54,+,0.64,--,
2026-09-09,臺灣ESG低碳50指數,17540.51,+,6.78,0.04,
2026-09-09,臺灣創新板指數,23506.86,-,779.14,-3.21,
2026-09-09,特選上櫃ESG龍頭指數,12955.78,+,183.46,1.44,
2026-09-09,臺灣市值動能50指數,11348.79,+,46.11,0.41,
2026-09-09,臺灣護城河概念優選50指數,10717.04,-,4.30,-0.04,
2026-09-09,特選臺灣中小型精選動能100指數,7196.00,+,48.45,0.68,
2026-09-09,特選臺灣大型股25指數,11925.53,-,23.18,-0.19,
2026-09-09,特選臺灣TOP 50指數,9467.88,-,13.62,-0.14,
2026-09-09,臺灣璞玉指數,5714.45,+,14.80,0.26,
2026-09-09,特選臺灣市值領航50指數,6633.62,+,7.13,0.11,
2026-09-09,臺灣璞玉中小優選100指數,4944.12,+,18.67,0.38,
2026-09-09,寶島股價報酬指數,81292.04,+,139.17,0.17,
2026-09-09,發行量加權股價報酬指數,108959.90,+,182.30,0.17,
2026-09-09,臺灣公司治理100報酬指數,45002.32,-,48.50,-0.11,
2026-09-09,臺灣50報酬指數,101364.68,-,27.67,-0.03,
2026-09-09,臺灣50權重上限30%報酬指數,88224.77,+,75.55,0.09,
2026-09-09,臺灣中型100報酬指數,79501.28,+,541.54,0.69,
2026-09-09,臺灣資訊科技股報酬指數,196969.48,+,265.97,0.14,
2026-09-09,臺灣發達報酬指數,41014.70,+,218.00,0.53,
2026-09-09,臺灣高股息報酬指數,52401.51,+,4.66,0.01,
2026-09-09,臺灣就業99報酬指數,53414.34,+,370.73,0.70,
2026-09-09,臺灣高薪100報酬指數,40655.95,-,102.10,-0.25,
2026-09-09,未含金融電子報酬指數,41252.77,+,356.68,0.87,
2026-09-09,小型股300報酬指數,20846.59,+,147.31,0.71,
2026-09-09,水泥類報酬指數,288.42,+,3.29,1.15,
2026-09-09,食品類報酬指數,3483.09,-,17.18,-0.49,
2026-09-09,塑膠類報酬指數,785.28,+,8.96,1.15,
2026-09-09,紡織纖維類報酬指數,913.68,+,6.96,0.77,
2026-09-09,電機機械類報酬指數,908.05,+,10.20,1.14,
2026-09-09,電器電纜類報酬指數,192.30,+,1.92,1.01,
2026-09-09,化學生技醫療類報酬指數,287.20,-,4.53,-1.55,
2026-09-09,化學類報酬指數,368.04,+,1.52,0.41,
2026-09-09,生技醫療類報酬指數,143.52,-,3.47,-2.36,
2026-09-09,玻璃陶瓷類報酬指數,183.22,+,0.95,0.52,
2026-09-09,造紙類報酬指數,473.13,+,1.43,0.30,
2026-09-09,鋼鐵類報酬指數,231.38,+,0.58,0.25,
2026-09-09,橡膠類報酬指數,356.10,+,3.88,1.10,
2026-09-09,汽車類報酬指數,536.94,-,0.35,-0.07,
2026-09-09,電子工業類報酬指數,6174.98,+,15.14,0.25,
2026-09-09,半導體類報酬指數,3051.07,-,6.04,-0.20,
2026-09-09,電腦及週邊設備類報酬指數,1194.51,+,15.92,1.35,
2026-09-09,光電類報酬指數,125.78,+,4.32,3.56,
2026-09-09,通信網路類報酬指數,558.64,+,7.26,1.32,
2026-09-09,電子零組件類報酬指數,1867.90,+,19.79,1.07,
2026-09-09,電子通路類報酬指數,1021.54,+,0.91,0.09,
2026-09-09,資訊服務類報酬指數,638.10,+,3.93,0.62,
2026-09-09,其他電子類報酬指數,514.06,+,4.39,0.86,
2026-09-09,建材營造類報酬指數,1099.06,+,9.32,0.86,
2026-09-09,航運類報酬指數,479.89,+,7.34,1.55,
2026-09-09,觀光餐旅類報酬指數,163.79,-,0.41,-0.25,
2026-09-09,金融保險類報酬指數,6961.80,-,103.64,-1.47,
2026-09-09,貿易百貨類報酬指數,423.70,+,0.52,0.12,
2026-09-09,油電燃氣類報酬指數,203.18,+,16.72,8.97,
2026-09-09,綠能環保類報酬指數,152.46,-,0.21,-0.14,
2026-09-09,數位雲端類報酬指數,42.85,-,0.07,-0.16,
2026-09-09,運動休閒類報酬指數,67.33,-,0.48,-0.71,
2026-09-09,居家生活類報酬指數,118.40,+,0.92,0.78,
2026-09-09,其他類報酬指數,544.31,-,3.38,-0.62,
2026-09-09,臺灣生技報酬指數,4996.34,-,70.46,-1.39,
2026-09-09,臺灣中小型公司治理報酬指數,28609.94,+,117.50,0.41,
2026-09-09,臺灣IPO報酬指數,11476.14,-,38.99,-0.34,
2026-09-09,智慧中立報酬指數,4508.86,+,12.98,0.29,
2026-09-09,加權指數掩護性臺指買權價外5%報酬指數,17762.00,-,4.21,-0.02,
2026-09-09,臺灣企業社會責任中小型報酬指數,21775.67,+,136.67,0.63,
2026-09-09,特選臺灣電動車代表報酬指數,27619.17,+,398.15,1.46,
2026-09-09,臺灣科技龍頭通訊報酬指數,31489.49,+,120.67,0.38,
2026-09-09,臺灣全市場報酬指數,19555.59,+,32.32,0.17,
2026-09-09,臺灣全市場半導體報酬指數,25357.95,-,47.30,-0.19,
2026-09-09,臺灣智慧移動與電動車報酬指數,21709.55,+,364.29,1.71,
2026-09-09,特選小資高價30報酬指數,26422.19,+,58.02,0.22,
2026-09-09,特選臺灣綠能及電動車報酬指數,14457.36,+,31.19,0.22,
2026-09-09,特選臺灣智能車供應鏈聯盟報酬指數,22099.32,+,82.47,0.37,
2026-09-09,臺灣全市場半導體精選30報酬指數,19340.78,-,6.21,-0.03,
2026-09-09,特選臺灣高股息30報酬指數,11149.15,+,12.13,0.11,
2026-09-09,臺灣友善環境報酬指數,16336.38,+,9.05,0.06,
2026-09-09,台灣永續價值報酬指數,16084.34,-,21.00,-0.13,
2026-09-09,特選臺灣IC設計報酬指數,9563.52,-,88.78,-0.92,
2026-09-09,特選臺灣環境永續高股息報酬指數,11496.28,+,41.84,0.37,
2026-09-09,特選臺灣IC設計產業代表報酬指數,13906.49,-,98.80,-0.71,
2026-09-09,特選臺灣綠能報酬指數,10877.33,+,67.88,0.63,
2026-09-09,特選臺灣智慧50報酬指數,13728.42,-,65.56,-0.48,
2026-09-09,臺灣晶圓製造報酬指數,20254.18,+,160.61,0.80,
2026-09-09,臺灣精選高息報酬指數,13051.96,-,42.91,-0.33,
2026-09-09,臺灣多因子優選高股息30報酬指數,15248.69,+,62.06,0.41,
2026-09-09,特選臺灣優利高填息30報酬指數,17779.47,+,11.13,0.06,
2026-09-09,特選臺灣科技優息報酬指數,18018.88,+,173.40,0.97,
2026-09-09,臺灣半導體收益報酬指數,18878.40,+,118.47,0.63,
2026-09-09,臺灣優選成長高股息報酬指數,15582.19,+,132.09,0.85,
2026-09-09,特選臺灣ESG低碳高息40報酬指數,13550.79,+,12.89,0.10,
2026-09-09,臺灣優選多因子30報酬指數,18045.68,-,205.52,-1.13,
2026-09-09,臺灣創新科技50報酬指數,24640.92,+,55.58,0.23,
2026-09-09,臺灣全市場新經濟產業報酬指數,4503.52,-,2.57,-0.06,
2026-09-09,臺灣ESG永續高股息等權重報酬指數,8449.49,+,28.72,0.34,
2026-09-09,臺灣永續高息中小型報酬指數,9046.08,+,26.08,0.29,
2026-09-09,特選臺灣高息動能報酬指數,12623.34,-,61.04,-0.48,
2026-09-09,臺灣電子成長高息等權重報酬指數,9577.06,+,52.36,0.55,
2026-09-09,特選臺灣優利成長報酬指數,8395.35,+,51.96,0.62,
2026-09-09,臺灣價值高息報酬指數,8777.03,+,74.92,0.86,
2026-09-09,特選臺灣IC設計動能報酬指數,14405.87,-,106.08,-0.73,
2026-09-09,臺灣趨勢動能高股息報酬指數,9623.45,+,32.78,0.34,
2026-09-09,特選臺灣科技高息成長報酬指數,9858.64,+,59.63,0.61,
2026-09-09,特選臺灣AI優息動能報酬指數,8488.10,+,68.04,0.81,
2026-09-09,臺灣優選AI 50報酬指數,10106.38,+,81.52,0.81,
2026-09-09,台灣旗艦動能50報酬指數,11481.34,-,15.91,-0.14,
2026-09-09,特選臺灣動能趨勢報酬指數,17336.18,+,44.46,0.26,
