日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
2026-09-10,寶島股價指數,52044.49,-,275.79,-0.53,
2026-09-10,發行量加權股價指數,46940.49,-,242.87,-0.51,
2026-09-10,臺灣公司治理100指數,29364.78,-,112.98,-0.38,
2026-09-10,臺灣50指數,43698.24,-,190.07,-0.43,
2026-09-10,臺灣50權重上限30%指數,36986.89,-,118.81,-0.32,
2026-09-10,臺灣中型100指數,36084.56,-,241.43,-0.66,
2026-09-10,臺灣資訊科技指數,91322.33,-,237.30,-0.26,
2026-09-10,臺灣發達指數,18303.52,-,449.80,-2.40,
2026-09-10,臺灣高股息指數,15952.93,-,7.50,-0.05,
2026-09-10,臺灣就業99指數,30223.43,-,68.45,-0.23,
2026-09-10,臺灣高薪100指數,23403.48,-,48.05,-0.20,
2026-09-10,未含金融指數,41870.07,-,249.73,-0.59,
2026-09-10,未含電子指數,25775.04,-,37.14,-0.14,
2026-09-10,未含金融電子指數,16710.91,-,86.53,-0.52,
2026-09-10,小型股300指數,13682.68,-,134.94,-0.98,
2026-09-10,水泥窯製類指數,632.75,-,1.92,-0.30,
2026-09-10,塑膠化工類指數,1177.27,+,10.25,0.88,
2026-09-10,機電類指數,16349.78,-,102.20,-0.62,
2026-09-10,水泥類指數,123.79,+,0.09,0.07,
2026-09-10,食品類指數,1920.46,-,8.22,-0.43,
2026-09-10,塑膠類指數,401.22,+,6.58,1.67,
2026-09-10,紡織纖維類指數,471.96,-,5.62,-1.18,
2026-09-10,電機機械類指數,544.00,-,9.72,-1.76,
2026-09-10,電器電纜類指數,108.80,-,1.18,-1.07,
2026-09-10,化學生技醫療類指數,167.22,-,0.26,-0.16,
2026-09-10,化學類指數,189.85,-,2.34,-1.22,
2026-09-10,生技醫療類指數,95.60,+,0.28,0.29,
2026-09-10,玻璃陶瓷類指數,140.76,-,1.42,-1.00,
2026-09-10,造紙類指數,280.47,+,1.49,0.53,
2026-09-10,鋼鐵類指數,120.83,-,0.81,-0.67,
2026-09-10,橡膠類指數,190.82,-,1.91,-0.99,
2026-09-10,汽車類指數,294.33,-,2.21,-0.75,
2026-09-10,電子工業類指數,2972.06,-,18.05,-0.60,
2026-09-10,半導體類指數,1590.00,-,4.15,-0.26,
2026-09-10,電腦及週邊設備類指數,470.94,-,0.35,-0.07,
2026-09-10,光電類指數,75.21,-,1.20,-1.57,
2026-09-10,通信網路類指數,233.87,-,1.36,-0.58,
2026-09-10,電子零組件類指數,895.89,-,20.74,-2.26,
2026-09-10,電子通路類指數,352.65,+,2.01,0.57,
2026-09-10,資訊服務類指數,231.31,+,0.36,0.16,
2026-09-10,其他電子類指數,274.29,-,4.36,-1.56,
2026-09-10,建材營造類指數,461.57,-,5.32,-1.14,
2026-09-10,航運類指數,207.72,-,3.83,-1.81,
2026-09-10,觀光餐旅類指數,101.94,-,0.22,-0.22,
2026-09-10,金融保險類指數,3516.23,+,11.89,0.34,
2026-09-10,貿易百貨類指數,237.83,+,0.54,0.23,
2026-09-10,油電燃氣類指數,115.09,-,1.60,-1.37,
2026-09-10,綠能環保類指數,135.87,-,0.49,-0.36,
2026-09-10,數位雲端類指數,38.46,-,0.59,-1.51,
2026-09-10,運動休閒類指數,56.86,-,0.82,-1.42,
2026-09-10,居家生活類指數,99.63,-,1.69,-1.67,
2026-09-10,其他類指數,274.54,-,0.83,-0.30,
2026-09-10,臺指日報酬兩倍指數,230577.98,-,"2,398.43",-1.03,
2026-09-10,臺指反向一倍指數,1218.98,+,6.24,0.51,
2026-09-10,電子類兩倍槓桿指數,377145.49,-,"4,608.98",-1.21,
2026-09-10,電子類反向指數,750.28,+,4.50,0.60,
2026-09-10,臺灣生技指數,4258.51,+,9.85,0.23,
2026-09-10,臺灣中小型公司治理指數,18981.74,-,139.17,-0.73,
2026-09-10,臺灣IPO指數,9032.24,-,139.66,-1.52,
2026-09-10,智慧中立指數,3137.19,-,5.81,-0.18,
2026-09-10,臺灣企業社會責任中小型指數,15837.52,-,111.01,-0.70,
2026-09-10,特選臺灣電動車代表指數,21458.87,-,510.08,-2.32,
2026-09-10,臺灣科技龍頭通訊指數,25654.99,-,177.30,-0.69,
2026-09-10,臺灣全市場指數,16223.61,-,78.24,-0.48,
2026-09-10,臺灣全市場半導體指數,20976.17,+,28.30,0.14,
2026-09-10,臺灣智慧移動與電動車指數,17688.55,-,103.34,-0.58,
2026-09-10,特選小資高價30指數,22535.60,-,108.91,-0.48,
2026-09-10,特選臺灣綠能及電動車指數,11778.28,-,64.58,-0.55,
2026-09-10,特選臺灣智能車供應鏈聯盟指數,18265.13,-,127.49,-0.69,
2026-09-10,臺灣全市場半導體精選30指數,16298.49,-,12.83,-0.08,
2026-09-10,特選臺灣高股息30指數,6941.17,-,42.63,-0.61,
2026-09-10,臺灣友善環境指數,13503.06,-,65.77,-0.48,
