日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
2026-09-18,寶島股價指數,52357.52,+,"1,049.02",2.04,
2026-09-18,發行量加權股價指數,47180.75,+,892.75,1.93,
2026-09-18,臺灣公司治理100指數,29560.94,+,497.17,1.71,
2026-09-18,臺灣50指數,43906.80,+,846.51,1.97,
2026-09-18,臺灣50權重上限30%指數,37179.82,+,837.17,2.30,
2026-09-18,臺灣中型100指數,36165.29,+,590.05,1.66,
2026-09-18,臺灣資訊科技指數,91499.00,+,"2,003.86",2.24,
2026-09-18,臺灣發達指數,18373.03,+,370.88,2.06,
2026-09-18,臺灣高股息指數,16254.57,+,145.36,0.90,
2026-09-18,臺灣就業99指數,30435.18,+,422.37,1.41,
2026-09-18,臺灣高薪100指數,23858.48,+,83.38,0.35,
2026-09-18,未含金融指數,41993.36,+,908.49,2.21,
2026-09-18,未含電子指數,26045.18,-,30.35,-0.12,
2026-09-18,未含金融電子指數,16650.82,+,94.54,0.57,
2026-09-18,小型股300指數,13856.37,+,201.84,1.48,
2026-09-18,水泥窯製類指數,624.71,+,0.34,0.05,
2026-09-18,塑膠化工類指數,1153.29,+,4.73,0.41,
2026-09-18,機電類指數,16409.41,+,387.75,2.42,
2026-09-18,水泥類指數,122.11,-,0.32,-0.26,
2026-09-18,食品類指數,1907.68,+,2.65,0.14,
2026-09-18,塑膠類指數,391.97,+,1.95,0.50,
2026-09-18,紡織纖維類指數,464.10,-,1.23,-0.26,
2026-09-18,電機機械類指數,540.66,+,9.26,1.74,
2026-09-18,電器電纜類指數,107.39,+,0.18,0.17,
2026-09-18,化學生技醫療類指數,164.25,+,0.67,0.41,
2026-09-18,化學類指數,191.63,+,0.81,0.42,
2026-09-18,生技醫療類指數,92.83,+,0.37,0.40,
2026-09-18,玻璃陶瓷類指數,139.20,+,0.90,0.65,
2026-09-18,造紙類指數,276.47,-,3.01,-1.08,
2026-09-18,鋼鐵類指數,120.14,+,1.22,1.03,
2026-09-18,橡膠類指數,189.71,-,1.34,-0.70,
2026-09-18,汽車類指數,297.01,+,2.16,0.73,
2026-09-18,電子工業類指數,2983.44,+,70.93,2.44,
2026-09-18,半導體類指數,1601.01,+,37.19,2.38,
2026-09-18,電腦及週邊設備類指數,465.31,+,6.89,1.50,
2026-09-18,光電類指數,74.07,+,2.39,3.33,
2026-09-18,通信網路類指數,234.05,+,3.06,1.32,
2026-09-18,電子零組件類指數,887.66,+,27.99,3.26,
2026-09-18,電子通路類指數,366.01,+,5.72,1.59,
2026-09-18,資訊服務類指數,244.46,+,5.59,2.34,
2026-09-18,其他電子類指數,279.62,+,7.94,2.92,
2026-09-18,建材營造類指數,467.39,+,11.18,2.45,
2026-09-18,航運類指數,214.05,-,0.96,-0.45,
2026-09-18,觀光餐旅類指數,101.58,-,0.02,-0.02,
2026-09-18,金融保險類指數,3616.93,-,35.14,-0.96,
2026-09-18,貿易百貨類指數,237.87,-,0.25,-0.10,
