日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
2026-09-15,寶島股價指數,50423.78,-,414.51,-0.82,
2026-09-15,發行量加權股價指數,45511.49,-,351.03,-0.77,
2026-09-15,臺灣公司治理100指數,28601.48,-,154.26,-0.54,
2026-09-15,臺灣50指數,42396.99,-,245.86,-0.58,
2026-09-15,臺灣50權重上限30%指數,35808.45,-,390.00,-1.08,
2026-09-15,臺灣中型100指數,34816.97,-,485.79,-1.38,
2026-09-15,臺灣資訊科技指數,88110.79,-,586.56,-0.66,
2026-09-15,臺灣發達指數,17694.87,-,62.38,-0.35,
2026-09-15,臺灣高股息指數,15665.35,-,182.35,-1.15,
2026-09-15,臺灣就業99指數,29339.76,-,334.63,-1.13,
2026-09-15,臺灣高薪100指數,23313.02,-,229.14,-0.97,
2026-09-15,未含金融指數,40402.18,-,298.36,-0.73,
2026-09-15,未含電子指數,25471.23,-,312.79,-1.21,
2026-09-15,未含金融電子指數,16108.36,-,213.71,-1.31,
2026-09-15,小型股300指數,13320.82,-,147.53,-1.10,
2026-09-15,水泥窯製類指數,609.51,-,6.66,-1.08,
2026-09-15,塑膠化工類指數,1099.92,-,28.16,-2.50,
2026-09-15,機電類指數,15776.97,-,104.46,-0.66,
2026-09-15,水泥類指數,120.57,-,0.10,-0.08,
2026-09-15,食品類指數,1886.20,-,4.82,-0.25,
2026-09-15,塑膠類指數,368.77,-,16.01,-4.16,
2026-09-15,紡織纖維類指數,459.55,-,4.87,-1.05,
2026-09-15,電機機械類指數,520.38,-,4.04,-0.77,
2026-09-15,電器電纜類指數,105.40,-,1.32,-1.24,
2026-09-15,化學生技醫療類指數,159.38,-,0.10,-0.06,
2026-09-15,化學類指數,184.10,-,1.81,-0.97,
2026-09-15,生技醫療類指數,90.46,+,0.29,0.32,
2026-09-15,玻璃陶瓷類指數,132.79,-,4.02,-2.94,
2026-09-15,造紙類指數,274.06,-,2.44,-0.88,
2026-09-15,鋼鐵類指數,117.21,-,1.16,-0.98,
2026-09-15,橡膠類指數,187.52,-,0.37,-0.20,
2026-09-15,汽車類指數,291.66,-,2.41,-0.82,
2026-09-15,電子工業類指數,2868.27,-,18.90,-0.65,
2026-09-15,半導體類指數,1532.71,-,8.34,-0.54,
2026-09-15,電腦及週邊設備類指數,454.55,-,4.08,-0.89,
2026-09-15,光電類指數,69.76,-,0.73,-1.04,
2026-09-15,通信網路類指數,230.71,-,0.79,-0.34,
2026-09-15,電子零組件類指數,863.87,-,9.76,-1.12,
2026-09-15,電子通路類指數,350.58,-,1.79,-0.51,
2026-09-15,資訊服務類指數,238.01,+,2.30,0.98,
2026-09-15,其他電子類指數,268.45,-,2.21,-0.82,
2026-09-15,建材營造類指數,446.26,-,4.83,-1.07,
2026-09-15,航運類指數,207.05,-,3.11,-1.48,
2026-09-15,觀光餐旅類指數,100.95,-,0.25,-0.25,
2026-09-15,金融保險類指數,3584.87,-,39.70,-1.10,
2026-09-15,貿易百貨類指數,235.35,-,0.52,-0.22,
2026-09-15,油電燃氣類指數,110.98,+,0.10,0.09,
2026-09-15,綠能環保類指數,126.44,-,2.82,-2.18,
2026-09-15,數位雲端類指數,39.36,-,0.41,-1.03,
2026-09-15,運動休閒類指數,55.63,+,0.28,0.51,
2026-09-15,居家生活類指數,101.39,+,0.68,0.68,
2026-09-15,其他類指數,273.19,-,1.69,-0.61,
2026-09-15,臺指日報酬兩倍指數,216671.17,-,"3,368.35",-1.53,
2026-09-15,臺指反向一倍指數,1256.79,+,9.55,0.77,
2026-09-15,電子類兩倍槓桿指數,351080.85,-,"4,657.47",-1.31,
2026-09-15,電子類反向指數,777.03,+,5.05,0.65,
2026-09-15,臺灣生技指數,4086.99,+,4.70,0.12,
2026-09-15,臺灣中小型公司治理指數,18753.36,-,202.46,-1.07,
2026-09-15,臺灣IPO指數,8386.88,-,154.19,-1.81,
2026-09-15,智慧中立指數,3179.52,-,1.78,-0.06,
2026-09-15,臺灣企業社會責任中小型指數,15573.98,-,143.53,-0.91,
2026-09-15,特選臺灣電動車代表指數,20715.13,-,71.78,-0.35,
2026-09-15,臺灣科技龍頭通訊指數,24774.80,-,223.42,-0.89,
2026-09-15,臺灣全市場指數,15705.17,-,159.24,-1.00,
2026-09-15,臺灣全市場半導體指數,19951.87,-,328.98,-1.62,
2026-09-15,臺灣智慧移動與電動車指數,16907.77,-,359.15,-2.08,
2026-09-15,特選小資高價30指數,21579.44,-,367.94,-1.68,
2026-09-15,特選臺灣綠能及電動車指數,11419.02,-,114.36,-0.99,
2026-09-15,特選臺灣智能車供應鏈聯盟指數,17522.06,-,181.15,-1.02,
2026-09-15,臺灣全市場半導體精選30指數,15579.84,-,201.42,-1.28,
2026-09-15,特選臺灣高股息30指數,6945.09,-,36.13,-0.52,
2026-09-15,臺灣友善環境指數,13186.61,-,123.39,-0.93,
2026-09-15,台灣永續價值指數,13471.90,-,50.49,-0.37,
2026-09-15,特選臺灣IC設計指數,7415.51,-,230.16,-3.01,
2026-09-15,特選臺灣環境永續高股息指數,7170.97,-,56.19,-0.78,
2026-09-15,特選臺灣IC設計產業代表指數,10708.53,-,301.88,-2.74,
2026-09-15,特選臺灣綠能指數,8949.75,+,13.59,0.15,
2026-09-15,特選臺灣智慧50指數,10872.97,-,92.27,-0.84,
2026-09-15,臺灣晶圓製造指數,16152.37,-,232.82,-1.42,
2026-09-15,臺灣精選高息指數,8602.72,-,79.05,-0.91,
2026-09-15,臺灣多因子優選高股息30指數,11562.86,-,108.13,-0.93,
2026-09-15,特選臺灣優利高填息30指數,12914.09,-,58.42,-0.45,
2026-09-15,特選臺灣科技優息指數,14440.70,-,119.30,-0.82,
2026-09-15,臺灣半導體收益指數,15487.75,-,243.39,-1.55,
2026-09-15,臺灣優選成長高股息指數,12546.20,-,94.80,-0.75,
2026-09-15,特選臺灣ESG低碳高息40指數,10937.03,-,78.17,-0.71,
2026-09-15,臺灣優選多因子30指數,15893.89,-,119.74,-0.75,
2026-09-15,臺灣創新科技50指數,21053.59,-,322.52,-1.51,
2026-09-15,臺灣全市場新經濟產業指數,3772.86,-,18.89,-0.50,
2026-09-15,臺灣ESG永續高股息等權重指數,6878.61,-,58.01,-0.84,
2026-09-15,臺灣永續高息中小型指數,7574.85,-,91.68,-1.20,
2026-09-15,特選臺灣高息動能指數,10976.92,-,85.74,-0.78,
2026-09-15,臺灣電子成長高息等權重指數,8233.26,-,41.95,-0.51,
2026-09-15,特選臺灣優利成長指數,7044.50,-,77.77,-1.09,
2026-09-15,臺灣價值高息指數,7461.36,-,69.75,-0.93,
2026-09-15,特選臺灣IC設計動能指數,12665.81,-,279.46,-2.16,
2026-09-15,臺灣趨勢動能高股息指數,8299.07,-,79.12,-0.94,
2026-09-15,特選臺灣科技高息成長指數,8305.67,-,76.44,-0.91,
2026-09-15,特選臺灣AI優息動能指數,7420.21,-,51.26,-0.69,
2026-09-15,臺灣優選AI 50指數,8847.03,-,87.67,-0.98,
