日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
2026-09-14,寶島股價指數,50838.29,-,340.57,-0.67,
2026-09-14,發行量加權股價指數,45862.52,-,322.33,-0.70,
2026-09-14,臺灣公司治理100指數,28755.74,-,165.14,-0.57,
2026-09-14,臺灣50指數,42642.85,-,318.04,-0.74,
2026-09-14,臺灣50權重上限30%指數,36198.45,-,151.35,-0.42,
2026-09-14,臺灣中型100指數,35302.76,-,288.91,-0.81,
2026-09-14,臺灣資訊科技指數,88697.35,-,920.61,-1.03,
2026-09-14,臺灣發達指數,17757.25,-,136.32,-0.76,
2026-09-14,臺灣高股息指數,15847.70,+,6.56,0.04,
2026-09-14,臺灣就業99指數,29674.39,-,127.46,-0.43,
2026-09-14,臺灣高薪100指數,23542.16,+,175.18,0.75,
2026-09-14,未含金融指數,40700.54,-,389.84,-0.95,
2026-09-14,未含電子指數,25784.02,+,78.59,0.31,
2026-09-14,未含金融電子指數,16322.07,-,163.31,-0.99,
2026-09-14,小型股300指數,13468.35,-,57.90,-0.43,
2026-09-14,水泥窯製類指數,616.17,-,8.24,-1.32,
2026-09-14,塑膠化工類指數,1128.08,-,16.60,-1.45,
2026-09-14,機電類指數,15881.43,-,154.79,-0.97,
2026-09-14,水泥類指數,120.67,-,2.07,-1.69,
2026-09-14,食品類指數,1891.02,-,12.64,-0.66,
2026-09-14,塑膠類指數,384.78,-,4.16,-1.07,
2026-09-14,紡織纖維類指數,464.42,-,4.73,-1.01,
2026-09-14,電機機械類指數,524.42,-,13.45,-2.50,
2026-09-14,電器電纜類指數,106.72,-,0.97,-0.90,
2026-09-14,化學生技醫療類指數,159.48,-,3.45,-2.12,
2026-09-14,化學類指數,185.91,-,1.88,-1.00,
2026-09-14,生技醫療類指數,90.17,-,2.40,-2.59,
2026-09-14,玻璃陶瓷類指數,136.81,-,0.87,-0.63,
2026-09-14,造紙類指數,276.50,-,0.85,-0.31,
2026-09-14,鋼鐵類指數,118.37,-,0.93,-0.78,
2026-09-14,橡膠類指數,187.89,-,1.94,-1.02,
2026-09-14,汽車類指數,294.07,+,0.84,0.29,
2026-09-14,電子工業類指數,2887.17,-,27.49,-0.94,
2026-09-14,半導體類指數,1541.05,-,17.18,-1.10,
