日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
2026-09-24,寶島股價指數,53232.40,-,143.86,-0.27,
2026-09-24,發行量加權股價指數,48024.60,-,132.69,-0.28,
2026-09-24,臺灣公司治理100指數,30217.85,-,111.23,-0.37,
2026-09-24,臺灣50指數,44827.02,-,197.80,-0.44,
2026-09-24,臺灣50權重上限30%指數,38304.76,-,35.88,-0.09,
2026-09-24,臺灣中型100指數,36443.33,+,87.43,0.24,
2026-09-24,臺灣資訊科技指數,93582.24,-,425.52,-0.45,
2026-09-24,臺灣發達指數,18848.03,+,91.83,0.49,
2026-09-24,臺灣高股息指數,16124.93,-,5.25,-0.03,
2026-09-24,臺灣就業99指數,31025.87,+,29.59,0.10,
2026-09-24,臺灣高薪100指數,23903.70,-,131.55,-0.55,
2026-09-24,未含金融指數,42874.71,-,95.70,-0.22,
2026-09-24,未含電子指數,25756.32,-,48.47,-0.19,
2026-09-24,未含金融電子指數,16516.50,+,56.75,0.34,
2026-09-24,小型股300指數,13893.26,+,25.89,0.19,
2026-09-24,水泥窯製類指數,633.52,-,1.32,-0.21,
2026-09-24,塑膠化工類指數,1142.36,+,17.65,1.57,
2026-09-24,機電類指數,16812.26,-,48.84,-0.29,
2026-09-24,水泥類指數,124.79,-,1.44,-1.14,
2026-09-24,食品類指數,1886.18,-,16.01,-0.84,
2026-09-24,塑膠類指數,390.28,+,13.55,3.60,
2026-09-24,紡織纖維類指數,461.76,+,0.51,0.11,
2026-09-24,電機機械類指數,544.43,+,0.75,0.14,
2026-09-24,電器電纜類指數,106.21,-,0.18,-0.17,
2026-09-24,化學生技醫療類指數,161.11,-,2.20,-1.35,
2026-09-24,化學類指數,190.92,-,1.31,-0.68,
2026-09-24,生技醫療類指數,90.44,-,1.51,-1.64,
2026-09-24,玻璃陶瓷類指數,139.13,+,2.21,1.61,
2026-09-24,造紙類指數,273.15,-,0.85,-0.31,
2026-09-24,鋼鐵類指數,120.50,+,1.02,0.85,
2026-09-24,橡膠類指數,190.02,-,0.72,-0.38,
2026-09-24,汽車類指數,289.73,-,2.62,-0.90,
2026-09-24,電子工業類指數,3057.70,-,9.07,-0.30,
2026-09-24,半導體類指數,1631.12,-,10.78,-0.66,
2026-09-24,電腦及週邊設備類指數,467.03,+,3.29,0.71,
2026-09-24,光電類指數,74.83,+,0.29,0.39,
2026-09-24,通信網路類指數,234.79,+,0.22,0.09,
2026-09-24,電子零組件類指數,961.88,+,10.98,1.15,
2026-09-24,電子通路類指數,372.37,+,3.19,0.86,
2026-09-24,資訊服務類指數,239.01,+,0.62,0.26,
2026-09-24,其他電子類指數,282.62,-,3.25,-1.14,
2026-09-24,建材營造類指數,444.67,-,2.98,-0.67,
2026-09-24,航運類指數,212.21,-,0.19,-0.09,
2026-09-24,觀光餐旅類指數,101.52,-,0.08,-0.08,
2026-09-24,金融保險類指數,3563.15,-,30.54,-0.85,
2026-09-24,貿易百貨類指數,235.61,-,0.82,-0.35,
2026-09-24,油電燃氣類指數,116.19,-,0.08,-0.07,
2026-09-24,綠能環保類指數,132.45,+,0.78,0.59,
2026-09-24,數位雲端類指數,39.68,-,0.41,-1.02,
2026-09-24,運動休閒類指數,56.00,-,0.10,-0.18,
2026-09-24,居家生活類指數,99.73,-,0.41,-0.41,
2026-09-24,其他類指數,273.22,-,0.83,-0.30,
2026-09-24,臺指日報酬兩倍指數,241093.06,-,"1,335.95",-0.55,
2026-09-24,臺指反向一倍指數,1190.17,+,3.27,0.28,
2026-09-24,電子類兩倍槓桿指數,398589.89,-,"2,371.70",-0.59,
2026-09-24,電子類反向指數,728.15,+,2.15,0.30,
2026-09-24,臺灣生技指數,4119.74,-,66.27,-1.58,
2026-09-24,臺灣中小型公司治理指數,19270.66,+,4.69,0.02,
2026-09-24,臺灣IPO指數,8656.87,-,65.84,-0.75,
2026-09-24,臺灣企業社會責任中小型指數,16161.08,+,38.32,0.24,
2026-09-24,特選臺灣電動車代表指數,22004.60,+,23.11,0.11,
2026-09-24,臺灣科技龍頭通訊指數,26596.02,-,72.16,-0.27,
2026-09-24,臺灣全市場指數,16645.60,-,27.26,-0.16,
2026-09-24,臺灣全市場半導體指數,21947.05,-,66.77,-0.30,
2026-09-24,臺灣智慧移動與電動車指數,18764.83,+,113.75,0.61,
2026-09-24,特選小資高價30指數,23645.57,+,97.92,0.42,
2026-09-24,特選臺灣綠能及電動車指數,12166.72,+,19.59,0.16,
2026-09-24,特選臺灣智能車供應鏈聯盟指數,18931.76,-,42.09,-0.22,
2026-09-24,臺灣全市場半導體精選30指數,16895.40,-,92.32,-0.54,
2026-09-24,特選臺灣高股息30指數,6961.45,-,13.37,-0.19,
2026-09-24,臺灣友善環境指數,13938.85,-,44.68,-0.32,
2026-09-24,台灣永續價值指數,14110.74,-,94.14,-0.66,
2026-09-24,特選臺灣IC設計指數,8600.77,-,33.76,-0.39,
2026-09-24,特選臺灣環境永續高股息指數,7168.35,-,3.99,-0.06,
2026-09-24,特選臺灣IC設計產業代表指數,12285.88,-,63.27,-0.51,
2026-09-24,特選臺灣綠能指數,9723.44,-,8.80,-0.09,
2026-09-24,特選臺灣智慧50指數,11479.22,-,89.50,-0.77,
2026-09-24,臺灣晶圓製造指數,17821.18,-,126.57,-0.71,
2026-09-24,臺灣精選高息指數,8662.13,-,69.34,-0.79,
2026-09-24,臺灣多因子優選高股息30指數,11837.32,-,73.54,-0.62,
2026-09-24,特選臺灣優利高填息30指數,13084.88,-,2.30,-0.02,
2026-09-24,特選臺灣科技優息指數,15075.46,+,12.21,0.08,
2026-09-24,臺灣半導體收益指數,16850.94,-,80.62,-0.48,
2026-09-24,臺灣優選成長高股息指數,12850.10,-,34.86,-0.27,
2026-09-24,特選臺灣ESG低碳高息40指數,11422.95,-,20.24,-0.18,
2026-09-24,臺灣優選多因子30指數,16056.15,-,118.37,-0.73,
2026-09-24,臺灣創新科技50指數,23484.71,+,65.75,0.28,
2026-09-24,臺灣全市場新經濟產業指數,3827.61,-,4.58,-0.12,
2026-09-24,臺灣ESG永續高股息等權重指數,7049.62,+,12.51,0.18,
2026-09-24,臺灣永續高息中小型指數,7770.76,-,9.17,-0.12,
2026-09-24,特選臺灣高息動能指數,11053.27,-,46.18,-0.42,
2026-09-24,臺灣電子成長高息等權重指數,8449.47,+,42.77,0.51,
2026-09-24,臺灣價值高息指數,7696.45,-,3.83,-0.05,
2026-09-24,特選臺灣IC設計動能指數,14418.25,-,49.72,-0.34,
2026-09-24,臺灣趨勢動能高股息指數,8575.93,-,2.18,-0.03,
2026-09-24,特選臺灣科技高息成長指數,8528.83,-,8.16,-0.10,
2026-09-24,特選臺灣AI優息動能指數,7645.08,+,11.45,0.15,
2026-09-24,臺灣優選AI 50指數,9227.10,-,6.79,-0.07,
2026-09-24,台灣旗艦動能50指數,10639.71,-,64.17,-0.60,
2026-09-24,特選臺灣動能趨勢指數,16749.04,+,25.56,0.15,
2026-09-24,特選臺灣動能優息指數,7208.16,-,19.11,-0.26,
2026-09-24,特選臺灣璞玉精選收益指數,4603.26,-,1.22,-0.03,
2026-09-24,金融類日報酬兩倍指數,126561.80,-,"2,188.30",-1.70,
2026-09-24,金融類日報酬反向一倍指數,1935.65,+,16.31,0.85,
2026-09-24,漲升股利150指數,22741.14,+,14.25,0.06,
2026-09-24,藍籌30指數,29527.76,+,49.02,0.17,
2026-09-24,工業菁英30指數,26886.87,-,116.89,-0.43,
2026-09-24,低波動股利精選30指數,13732.06,-,159.79,-1.15,
2026-09-24,中小型A級動能50指數,31929.97,+,476.28,1.51,
2026-09-24,特選高息低波指數,12602.97,-,48.88,-0.39,
2026-09-24,臺灣永續指數,27137.32,-,31.06,-0.11,
2026-09-24,存股雙十等權重指數,21743.22,+,102.68,0.47,
2026-09-24,特選大蘋果指數,30138.87,+,173.14,0.58,
2026-09-24,中小型300指數,17749.67,+,25.30,0.14,
2026-09-24,微波高息精選20指數,14764.99,-,251.83,-1.68,
2026-09-24,特選世代行動通訊指數,19653.31,+,244.41,1.26,
2026-09-24,臺股期貨指數,25880.22,-,114.55,-0.44,
2026-09-24,臺灣上櫃永續指數,13491.35,-,141.71,-1.04,
2026-09-24,特選台股領航指數,28282.00,+,107.29,0.38,
2026-09-24,特選Smart多因子指數,20191.08,-,44.67,-0.22,
2026-09-24,特選ESG高股息指數,14664.34,-,71.69,-0.49,
2026-09-24,臺灣優息存股指數,6102.39,-,29.34,-0.48,
2026-09-24,特選上櫃ESG永續高股息指數,13894.80,-,65.56,-0.47,
2026-09-24,特選臺灣金融高股息存股指數,11673.53,-,104.74,-0.89,
2026-09-24,特選臺灣產業龍頭存股等權重指數,9467.77,+,10.34,0.11,
2026-09-24,上櫃ESG 30指數,15328.06,-,20.94,-0.14,
2026-09-24,臺灣ESG低碳50指數,18001.62,-,58.30,-0.32,
2026-09-24,臺灣創新板指數,21925.73,+,15.76,0.07,
2026-09-24,特選上櫃ESG龍頭指數,13072.51,-,37.97,-0.29,
2026-09-24,臺灣市值動能50指數,11573.99,-,28.89,-0.25,
2026-09-24,臺灣護城河概念優選50指數,10882.10,-,61.09,-0.56,
2026-09-24,特選臺灣中小型精選動能100指數,7263.35,+,47.67,0.66,
2026-09-24,特選臺灣大型股25指數,12155.26,-,80.24,-0.66,
2026-09-24,特選臺灣TOP 50指數,9680.72,-,36.92,-0.38,
2026-09-24,臺灣璞玉指數,5754.00,-,1.13,-0.02,
2026-09-24,特選臺灣市值領航50指數,6743.78,-,18.91,-0.28,
2026-09-24,臺灣璞玉中小優選100指數,4927.38,+,5.77,0.12,
2026-09-24,寶島股價報酬指數,82815.07,-,223.76,-0.27,
2026-09-24,發行量加權股價報酬指數,111049.87,-,306.77,-0.28,
2026-09-24,臺灣公司治理100報酬指數,46204.43,-,170.09,-0.37,
2026-09-24,臺灣50報酬指數,103707.05,-,457.60,-0.44,
2026-09-24,臺灣50權重上限30%報酬指數,91155.18,-,85.38,-0.09,
2026-09-24,臺灣中型100報酬指數,79795.28,+,191.44,0.24,
2026-09-24,臺灣資訊科技股報酬指數,201703.50,-,917.15,-0.45,
2026-09-24,臺灣發達報酬指數,41221.84,+,200.84,0.49,
2026-09-24,臺灣高股息報酬指數,52941.62,-,17.22,-0.03,
2026-09-24,臺灣就業99報酬指數,54724.24,+,52.20,0.10,
2026-09-24,臺灣高薪100報酬指數,41450.37,-,228.11,-0.55,
