日期,指數,收盤指數,漲跌,漲跌點數,漲跌百分比,特殊處理註記
2026-09-03,寶島股價指數,50838.28,-,419.33,-0.82,
2026-09-03,發行量加權股價指數,45857.66,-,307.06,-0.67,
2026-09-03,臺灣公司治理100指數,28595.37,-,77.10,-0.27,
2026-09-03,臺灣50指數,42533.33,-,96.79,-0.23,
2026-09-03,臺灣50權重上限30%指數,35949.45,-,182.89,-0.51,
2026-09-03,臺灣中型100指數,35582.59,-,668.16,-1.84,
2026-09-03,臺灣資訊科技指數,88450.71,-,536.94,-0.60,
2026-09-03,臺灣發達指數,18424.66,-,132.41,-0.71,
2026-09-03,臺灣高股息指數,15584.77,-,191.41,-1.21,
2026-09-03,臺灣就業99指數,29438.51,-,346.57,-1.16,
2026-09-03,臺灣高薪100指數,23107.16,+,135.02,0.59,
2026-09-03,未含金融指數,40853.08,-,381.32,-0.92,
2026-09-03,未含電子指數,25458.24,+,30.13,0.12,
2026-09-03,未含金融電子指數,16473.91,-,240.38,-1.44,
2026-09-03,小型股300指數,13733.56,-,249.03,-1.78,
2026-09-03,水泥窯製類指數,626.01,-,9.48,-1.49,
2026-09-03,塑膠化工類指數,1139.87,-,40.52,-3.43,
2026-09-03,機電類指數,15934.59,-,141.33,-0.88,
2026-09-03,水泥類指數,122.80,-,0.50,-0.41,
2026-09-03,食品類指數,1918.92,-,16.00,-0.83,
2026-09-03,塑膠類指數,375.01,-,21.62,-5.45,
2026-09-03,紡織纖維類指數,480.09,-,3.04,-0.63,
2026-09-03,電機機械類指數,538.36,-,13.85,-2.51,
2026-09-03,電器電纜類指數,107.98,-,1.26,-1.15,
2026-09-03,化學生技醫療類指數,170.06,-,0.97,-0.57,
2026-09-03,化學類指數,193.03,-,5.62,-2.83,
2026-09-03,生技醫療類指數,97.24,+,0.40,0.41,
2026-09-03,玻璃陶瓷類指數,138.56,-,4.99,-3.48,
2026-09-03,造紙類指數,285.93,+,0.98,0.34,
2026-09-03,鋼鐵類指數,121.28,+,0.12,0.10,
2026-09-03,橡膠類指數,193.81,-,1.88,-0.96,
2026-09-03,汽車類指數,294.17,-,1.26,-0.43,
2026-09-03,電子工業類指數,2895.81,-,24.95,-0.85,
2026-09-03,半導體類指數,1532.13,-,2.38,-0.16,
2026-09-03,電腦及週邊設備類指數,473.62,-,11.80,-2.43,
2026-09-03,光電類指數,75.61,-,4.18,-5.24,
2026-09-03,通信網路類指數,236.92,-,1.99,-0.83,
2026-09-03,電子零組件類指數,892.86,-,25.93,-2.82,
2026-09-03,電子通路類指數,347.26,-,1.87,-0.54,
2026-09-03,資訊服務類指數,227.96,-,1.68,-0.73,
2026-09-03,其他電子類指數,270.37,-,2.74,-1.00,
2026-09-03,建材營造類指數,460.58,+,1.70,0.37,
2026-09-03,航運類指數,212.14,+,2.96,1.42,
2026-09-03,觀光餐旅類指數,102.72,-,0.54,-0.52,
2026-09-03,金融保險類指數,3481.59,+,74.66,2.19,
2026-09-03,貿易百貨類指數,236.00,-,0.42,-0.18,
2026-09-03,油電燃氣類指數,103.34,-,2.55,-2.41,
2026-09-03,綠能環保類指數,128.49,+,1.33,1.05,
